Data_Receita;UF;RECEITA;DolarComercial;ICMS;ICMS_DvAtTrb;ICMS_TOTAL;ST_EXTERNO;ST_INTERNO;ICMS_SIMP_NACIO;IPVA;IGPM;IBC_Br;Exportacao;Importacao;SalarioMinimo;ResvInternac;Tx_SELIC_Perd;INPC;SINAP_Alto;SINAP_Baixo;SINAP_Minimo;SINAP_Normal;TxDesocupados;TxIPCA;Petroleo_Brent_Brasil;IPP;PIB_MenBR;AnimaisVivos;CalcChapArtFloresArtif;EXPT_SLZ_TOTAL;EXPT_SLZ_ProdIndQuim;GordOleosAnimVeget;InstrAparFoto;MadCarvVegObrMad;MaqAparEletro;MatTexteis;MatTransporte;MercdProdDiv;MetaisCcomuns;ObrPedGesCimCerVid;PastMadCelulo;PlastBorracha;PelCourBolsas;Prod_InduAlim;Prod_Minerais;Prod_ReinoVegetal;TransacoesEspeciais;PIB_Mun;FtInvRndPrCap_Mun;PrcInvRndPrCpMn;RndPrCap_Mun;VA_BrtAdm;VA_BrtAgro;VA_BrtIndust;VA_BrtServExclAdm;VA_ImpostosProd_;VA_BrtTotal;FtPOPULACAO;Per_EntreCapitais;PerPopulacaoUF;POPULACAO;PercResSP_Nom;PercResSP_Prim;CFEM_MA;CFEM_Total;CFEM_Mun;Veic_PgtoIPVA;Coef_IPM;Gasolina_Brasil;FinMA_MnRestPrim;FinMA_MnRestNom;FinMA_Mn_JrNom;Ajustes_MA_Munic;DvLq_Gov_MA;DvLq_Sao_Luis_MA;DvLq_MA_ExcCapital;ICMS_DvAtTrb_Muns;ICMS_Muns;IPVA_Muns;TOTAL_ArrecMun;Coef_CIFPM_SLZ;Realizado
16/01/2010;MA;CFEM;1,7798;119205090,8;34587,19;242934163;31747766,08;74995612;5794728,55;7182153;19,68;125,81;11153005703;11628213109;510;4,28E+11;8,65;0,88;0;0;0;0;7,227602398;1,75;138,54;0;2,84E+11;0;0;61783854;49522890;0;0;0;0;0;0;0;11566677;0;0;0;0;0;0;0;694287;11395641000;0,4;3704;11901,27;1117909000;17031000;2466595000;5684821000;2109285000;9286355000;9276732000;0,4;3704;9477,43;11487645000;0,4;26287,93;16529553,1;15323,92;24672,83;40,418358;2,59;104630;109743,33;5113,33;-3590;3695180;-78646,67;-153590;20840,5;152076818;15010,94;152112669,4;0,5287648;16307,14
18/01/2010;MA;FEP;1,7798;119205090,8;34587,19;242934163;31747766,08;74995612;5794728,55;7182153;19,68;125,81;11153005703;11628213109;510;4,28E+11;8,65;0,88;0;0;0;0;7,227602398;1,75;138,54;0;2,84E+11;0;0;61783854;49522890;0;0;0;0;0;0;0;11566677;0;0;0;0;0;0;0;694287;11395641000;0,4;3704;11901,27;1117909000;17031000;2466595000;5684821000;2109285000;9286355000;9276732000;0,4;3704;9477,43;11487645000;0,4;26287,93;16529553,1;15323,92;24672,83;40,418358;2,59;104630;109743,33;5113,33;-3590;3695180;-78646,67;-153590;20840,5;152076818;15010,94;152112669,4;0,5287648;299523,16
19/01/2010;MA;FPM;1,7798;119205090,8;34587,19;242934163;31747766,08;74995612;5794728,55;7182153;19,68;125,81;11153005703;11628213109;510;4,28E+11;8,65;0,88;0;0;0;0;7,227602398;1,75;138,54;0;2,84E+11;0;0;61783854;49522890;0;0;0;0;0;0;0;11566677;0;0;0;0;0;0;0;694287;11395641000;0,4;3704;11901,27;1117909000;17031000;2466595000;5684821000;2109285000;9286355000;9276732000;0,4;3704;9477,43;11487645000;0,4;26287,93;16529553,1;15323,92;24672,83;40,418358;2,59;104630;109743,33;5113,33;-3590;3695180;-78646,67;-153590;20840,5;152076818;15010,94;152112669,4;0,5287648;16354473,68
20/01/2010;MA;ICMS;1,7798;119205090,8;34587,19;242934163;31747766,08;74995612;5794728,55;7182153;19,68;125,81;11153005703;11628213109;510;4,28E+11;8,65;0,88;0;0;0;0;7,227602398;1,75;138,54;0;2,84E+11;0;0;61783854;49522890;0;0;0;0;0;0;0;11566677;0;0;0;0;0;0;0;694287;11395641000;0,4;3704;11901,27;1117909000;17031000;2466595000;5684821000;2109285000;9286355000;9276732000;0,4;3704;9477,43;11487645000;0,4;26287,93;16529553,1;15323,92;24672,83;40,418358;2,59;104630;109743,33;5113,33;-3590;3695180;-78646,67;-153590;20840,5;152076818;15010,94;152112669,4;0,5287648;21995046,37
21/01/2010;MA;IPI;1,7798;119205090,8;34587,19;242934163;31747766,08;74995612;5794728,55;7182153;19,68;125,81;11153005703;11628213109;510;4,28E+11;8,65;0,88;0;0;0;0;7,227602398;1,75;138,54;0;2,84E+11;0;0;61783854;49522890;0;0;0;0;0;0;0;11566677;0;0;0;0;0;0;0;694287;11395641000;0,4;3704;11901,27;1117909000;17031000;2466595000;5684821000;2109285000;9286355000;9276732000;0,4;3704;9477,43;11487645000;0,4;26287,93;16529553,1;15323,92;24672,83;40,418358;2,59;104630;109743,33;5113,33;-3590;3695180;-78646,67;-153590;20840,5;152076818;15010,94;152112669,4;0,5287648;307612,85
22/01/2010;MA;IPVA;1,7798;119205090,8;34587,19;242934163;31747766,08;74995612;5794728,55;7182153;19,68;125,81;11153005703;11628213109;510;4,28E+11;8,65;0,88;0;0;0;0;7,227602398;1,75;138,54;0;2,84E+11;0;0;61783854;49522890;0;0;0;0;0;0;0;11566677;0;0;0;0;0;0;0;694287;11395641000;0,4;3704;11901,27;1117909000;17031000;2466595000;5684821000;2109285000;9286355000;9276732000;0,4;3704;9477,43;11487645000;0,4;26287,93;16529553,1;15323,92;24672,83;40,418358;2,59;104630;109743,33;5113,33;-3590;3695180;-78646,67;-153590;20840,5;152076818;15010,94;152112669,4;0,5287648;1287166,27
16/02/2010;MA;CFEM;1,8416;107267721,4;35017,79;212775152;28973996,89;61221034,88;4263317,79;23556749;35,90511278;127,61;12066643269;11936118599;510;4,44E+11;8,65;0,7;0;0;0;0;7,350056346;1,78;135,26;26,26;2,83E+11;0;0;77276499;33828667;0;0;0;0;0;0;0;41758723;0;0;0;0;0;0;0;1689109;11395641000;0,4;3704;11901,27;1117909000;17031000;2466595000;5684821000;2109285000;9286355000;9276732000;0,4;3704;9477,43;11487645000;0,4;117954,53;54934514,27;21683,32;27458,83;40,418358;2,61;104630;109743,33;5113,33;-3590;3695180;-78646,67;-153590;11395,56;133237916,4;100478,77;133351118,9;0,5287648;14094,16
18/02/2010;MA;FEP;1,8416;107267721,4;35017,79;212775152;28973996,89;61221034,88;4263317,79;23556749;35,90511278;127,61;12066643269;11936118599;510;4,44E+11;8,65;0,7;0;0;0;0;7,350056346;1,78;135,26;26,26;2,83E+11;0;0;77276499;33828667;0;0;0;0;0;0;0;41758723;0;0;0;0;0;0;0;1689109;11395641000;0,4;3704;11901,27;1117909000;17031000;2466595000;5684821000;2109285000;9286355000;9276732000;0,4;3704;9477,43;11487645000;0,4;117954,53;54934514,27;21683,32;27458,83;40,418358;2,61;104630;109743,33;5113,33;-3590;3695180;-78646,67;-153590;11395,56;133237916,4;100478,77;133351118,9;0,5287648;338333,2
19/02/2010;MA;FPM;1,8416;107267721,4;35017,79;212775152;28973996,89;61221034,88;4263317,79;23556749;35,90511278;127,61;12066643269;11936118599;510;4,44E+11;8,65;0,7;0;0;0;0;7,350056346;1,78;135,26;26,26;2,83E+11;0;0;77276499;33828667;0;0;0;0;0;0;0;41758723;0;0;0;0;0;0;0;1689109;11395641000;0,4;3704;11901,27;1117909000;17031000;2466595000;5684821000;2109285000;9286355000;9276732000;0,4;3704;9477,43;11487645000;0,4;117954,53;54934514,27;21683,32;27458,83;40,418358;2,61;104630;109743,33;5113,33;-3590;3695180;-78646,67;-153590;11395,56;133237916,4;100478,77;133351118,9;0,5287648;24189163,02
20/02/2010;MA;ICMS;1,8416;107267721,4;35017,79;212775152;28973996,89;61221034,88;4263317,79;23556749;35,90511278;127,61;12066643269;11936118599;510;4,44E+11;8,65;0,7;0;0;0;0;7,350056346;1,78;135,26;26,26;2,83E+11;0;0;77276499;33828667;0;0;0;0;0;0;0;41758723;0;0;0;0;0;0;0;1689109;11395641000;0,4;3704;11901,27;1117909000;17031000;2466595000;5684821000;2109285000;9286355000;9276732000;0,4;3704;9477,43;11487645000;0,4;117954,53;54934514,27;21683,32;27458,83;40,418358;2,61;104630;109743,33;5113,33;-3590;3695180;-78646,67;-153590;11395,56;133237916,4;100478,77;133351118,9;0,5287648;21826912,04
