;uf;receita;seletor;seletor_model;stringFeatures;SARIMAX;TotalTime;best_p;d;best_q;best_P;D;best_Q;s;best_AIC;RMSE;Data;Predicao;Realizado
0;MA;CFEM;KBest;GradientBoostingRegressor;x_3,DolarComercial,ICMS_TOTAL,ST_EXTERNO,ICMS_SIMP_NACIO,IPVA,Exportacao,Importacao,SalarioMinimo,ResvInternac,Tx_SELIC_Perd,SINAP_Alto,SINAP_Baixo,SINAP_Minimo,SINAP_Normal,TxIPCA,IPP,PIB_MenBR,EXPT_SLZ_TOTAL,EXPT_SLZ_ProdIndQuim,MetaisCcomuns,Prod_Minerais,PIB_Mun,RndPrCap_Mun,VA_BrtAdm,VA_BrtIndust,VA_BrtServExclAdm,VA_ImpostosProd_,VA_BrtTotal,PercResSP_Nom,CFEM_MA,CFEM_Mun,Coef_IPM,Gasolina_Brasil,Ajustes_MA_Munic,DvLq_Gov_MA,ICMS_Muns,TOTAL_ArrecMun;SARIMAX;0.05;3;1;1;3;0;0;4;396.23362367145194;15562.630673796768;2022-01-16;477.58;14208.74
1;MA;CFEM;KBest;GradientBoostingRegressor;x_3,DolarComercial,ICMS_TOTAL,ST_EXTERNO,ICMS_SIMP_NACIO,IPVA,Exportacao,Importacao,SalarioMinimo,ResvInternac,Tx_SELIC_Perd,SINAP_Alto,SINAP_Baixo,SINAP_Minimo,SINAP_Normal,TxIPCA,IPP,PIB_MenBR,EXPT_SLZ_TOTAL,EXPT_SLZ_ProdIndQuim,MetaisCcomuns,Prod_Minerais,PIB_Mun,RndPrCap_Mun,VA_BrtAdm,VA_BrtIndust,VA_BrtServExclAdm,VA_ImpostosProd_,VA_BrtTotal,PercResSP_Nom,CFEM_MA,CFEM_Mun,Coef_IPM,Gasolina_Brasil,Ajustes_MA_Munic,DvLq_Gov_MA,ICMS_Muns,TOTAL_ArrecMun;SARIMAX;0.05;3;1;1;3;0;0;4;396.23362367145194;15562.630673796768;2022-02-16;-1644.84;15555.34
2;MA;FEP;RegressionLasso;XGBRegressor;x_3,x_2,x_1,DolarComercial,ICMS,ICMS_DvAtTrb,ICMS_TOTAL,ST_EXTERNO,ST_INTERNO,ICMS_SIMP_NACIO,IPVA,IGPM,IBC_Br,Exportacao,Importacao,SalarioMinimo,ResvInternac,Tx_SELIC_Perd,INPC,SINAP_Alto,SINAP_Baixo,SINAP_Minimo,SINAP_Normal,TxDesocupados,TxIPCA,Petroleo_Brent_Brasil,IPP,PIB_MenBR,EXPT_SLZ_TOTAL,EXPT_SLZ_ProdIndQuim,PrcInvRndPrCpMn;SARIMAX;0.02;0;1;3;0;0;0;4;39.20065847305685;644966.9866345199;2022-01-18;1337569.39;719937.71
3;MA;FEP;RegressionLasso;XGBRegressor;x_3,x_2,x_1,DolarComercial,ICMS,ICMS_DvAtTrb,ICMS_TOTAL,ST_EXTERNO,ST_INTERNO,ICMS_SIMP_NACIO,IPVA,IGPM,IBC_Br,Exportacao,Importacao,SalarioMinimo,ResvInternac,Tx_SELIC_Perd,INPC,SINAP_Alto,SINAP_Baixo,SINAP_Minimo,SINAP_Normal,TxDesocupados,TxIPCA,Petroleo_Brent_Brasil,IPP,PIB_MenBR,EXPT_SLZ_TOTAL,EXPT_SLZ_ProdIndQuim,PrcInvRndPrCpMn;SARIMAX;0.02;0;1;3;0;0;0;4;39.20065847305685;644966.9866345199;2022-02-18;1457248.23;786058.29
4;MA;FPM;RegressionRidge;GradientBoostingRegressor;x_3,x_1,IPVA,IGPM,IBC_Br,Importacao,TxDesocupados,TxIPCA,Petroleo_Brent_Brasil,PIB_MenBR,TransacoesEspeciais,CFEM_MA,CFEM_Total,Gasolina_Brasil,FinMA_MnRestPrim,FinMA_MnRestNom,DvLq_Sao_Luis_MA,DvLq_MA_ExcCapital,ICMS_Muns,TOTAL_ArrecMun;SARIMAX;0.04;2;1;3;3;0;3;4;55.25406137743995;6045139.308727914;2022-01-19;65447588.17;56972497.09
5;MA;FPM;RegressionRidge;GradientBoostingRegressor;x_3,x_1,IPVA,IGPM,IBC_Br,Importacao,TxDesocupados,TxIPCA,Petroleo_Brent_Brasil,PIB_MenBR,TransacoesEspeciais,CFEM_MA,CFEM_Total,Gasolina_Brasil,FinMA_MnRestPrim,FinMA_MnRestNom,DvLq_Sao_Luis_MA,DvLq_MA_ExcCapital,ICMS_Muns,TOTAL_ArrecMun;SARIMAX;0.04;2;1;3;3;0;3;4;55.25406137743995;6045139.308727914;2022-02-19;73747581.1;74870189.54
6;MA;ICMS;KBest;GradientBoostingRegressor;x_1,DolarComercial,ICMS,ICMS_TOTAL,ST_EXTERNO,ICMS_SIMP_NACIO,SalarioMinimo,ResvInternac,SINAP_Alto,SINAP_Baixo,SINAP_Minimo,SINAP_Normal,TxDesocupados,PIB_MenBR,EXPT_SLZ_ProdIndQuim,MetaisCcomuns,Prod_Minerais,PIB_Mun,RndPrCap_Mun,VA_BrtAdm,VA_BrtIndust,VA_BrtServExclAdm,VA_ImpostosProd_,VA_BrtTotal,PercResSP_Nom,Coef_IPM,Gasolina_Brasil,DvLq_Gov_MA,DvLq_Sao_Luis_MA,Coef_CIFPM_SLZ;SARIMAX;0.02;2;1;2;0;0;0;4;-105.75899481284574;14621429.092409912;2022-01-20;70991507.32;70700563.89
7;MA;ICMS;KBest;GradientBoostingRegressor;x_1,DolarComercial,ICMS,ICMS_TOTAL,ST_EXTERNO,ICMS_SIMP_NACIO,SalarioMinimo,ResvInternac,SINAP_Alto,SINAP_Baixo,SINAP_Minimo,SINAP_Normal,TxDesocupados,PIB_MenBR,EXPT_SLZ_ProdIndQuim,MetaisCcomuns,Prod_Minerais,PIB_Mun,RndPrCap_Mun,VA_BrtAdm,VA_BrtIndust,VA_BrtServExclAdm,VA_ImpostosProd_,VA_BrtTotal,PercResSP_Nom,Coef_IPM,Gasolina_Brasil,DvLq_Gov_MA,DvLq_Sao_Luis_MA,Coef_CIFPM_SLZ;SARIMAX;0.02;2;1;2;0;0;0;4;-105.75899481284574;14621429.092409912;2022-02-20;73927126.15;53251349.76
8;MA;IPI;RegressionRidge;XGBRegressor;x_3,x_2,DolarComercial,ICMS,ICMS_DvAtTrb,ICMS_TOTAL,ST_EXTERNO,ST_INTERNO,ICMS_SIMP_NACIO,IPVA,IGPM,IBC_Br,Exportacao,ResvInternac,Tx_SELIC_Perd,INPC,SINAP_Alto,SINAP_Baixo,SINAP_Minimo,SINAP_Normal,TxDesocupados,TxIPCA,Petroleo_Brent_Brasil,IPP,PIB_MenBR,EXPT_SLZ_TOTAL,EXPT_SLZ_ProdIndQuim,MetaisCcomuns,Prod_Minerais,TransacoesEspeciais,PIB_Mun,RndPrCap_Mun,VA_BrtAdm,VA_BrtAgro,VA_BrtIndust,VA_BrtServExclAdm,VA_ImpostosProd_,VA_BrtTotal,CFEM_MA,CFEM_Total,CFEM_Mun,Veic_PgtoIPVA,Coef_IPM,FinMA_MnRestPrim,FinMA_MnRestNom,FinMA_Mn_JrNom,Ajustes_MA_Munic,DvLq_Gov_MA,DvLq_Sao_Luis_MA,DvLq_MA_ExcCapital,ICMS_DvAtTrb_Muns,ICMS_Muns,IPVA_Muns,TOTAL_ArrecMun,Coef_CIFPM_SLZ;SARIMAX;0.06;0;1;3;3;0;1;4;135.62010056346543;100663.26750304825;2022-01-21;729366.2;702313.98
9;MA;IPI;RegressionRidge;XGBRegressor;x_3,x_2,DolarComercial,ICMS,ICMS_DvAtTrb,ICMS_TOTAL,ST_EXTERNO,ST_INTERNO,ICMS_SIMP_NACIO,IPVA,IGPM,IBC_Br,Exportacao,ResvInternac,Tx_SELIC_Perd,INPC,SINAP_Alto,SINAP_Baixo,SINAP_Minimo,SINAP_Normal,TxDesocupados,TxIPCA,Petroleo_Brent_Brasil,IPP,PIB_MenBR,EXPT_SLZ_TOTAL,EXPT_SLZ_ProdIndQuim,MetaisCcomuns,Prod_Minerais,TransacoesEspeciais,PIB_Mun,RndPrCap_Mun,VA_BrtAdm,VA_BrtAgro,VA_BrtIndust,VA_BrtServExclAdm,VA_ImpostosProd_,VA_BrtTotal,CFEM_MA,CFEM_Total,CFEM_Mun,Veic_PgtoIPVA,Coef_IPM,FinMA_MnRestPrim,FinMA_MnRestNom,FinMA_Mn_JrNom,Ajustes_MA_Munic,DvLq_Gov_MA,DvLq_Sao_Luis_MA,DvLq_MA_ExcCapital,ICMS_DvAtTrb_Muns,ICMS_Muns,IPVA_Muns,TOTAL_ArrecMun,Coef_CIFPM_SLZ;SARIMAX;0.06;0;1;3;3;0;1;4;135.62010056346543;100663.26750304825;2022-02-21;698715.52;558950.13
