indice;uf;receita;seletor;seletor_model;features;k features;modelo_trinamamento;LearnRate;LastEpoch;LastmodelLos;LastmodelRMSE;BestSavedEpoch;BestSavedmodelLos;BestSavedmodelRMSE;Data;Predicao;Realizado
0;MA;CFEM;KBest;GradientBoostingRegressor;x_3,DolarComercial,ICMS_TOTAL,ST_EXTERNO,ICMS_SIMP_NACIO,IPVA,Exportacao,Importacao,SalarioMinimo,ResvInternac,Tx_SELIC_Perd,SINAP_Alto,SINAP_Baixo,SINAP_Minimo,SINAP_Normal,TxIPCA,IPP,PIB_MenBR,EXPT_SLZ_TOTAL,EXPT_SLZ_ProdIndQuim,MetaisCcomuns,Prod_Minerais,PIB_Mun,RndPrCap_Mun,VA_BrtAdm,VA_BrtIndust,VA_BrtServExclAdm,VA_ImpostosProd_,VA_BrtTotal,PercResSP_Nom,CFEM_MA,CFEM_Mun,Coef_IPM,Gasolina_Brasil,Ajustes_MA_Munic,DvLq_Gov_MA,ICMS_Muns,TOTAL_ArrecMun;38;CNN;1,00E-04;110;0,9826;0,9912;7;0,3217;0,5672;16/01/2022;27016,19;14208,74
1;MA;CFEM;KBest;GradientBoostingRegressor;x_3,DolarComercial,ICMS_TOTAL,ST_EXTERNO,ICMS_SIMP_NACIO,IPVA,Exportacao,Importacao,SalarioMinimo,ResvInternac,Tx_SELIC_Perd,SINAP_Alto,SINAP_Baixo,SINAP_Minimo,SINAP_Normal,TxIPCA,IPP,PIB_MenBR,EXPT_SLZ_TOTAL,EXPT_SLZ_ProdIndQuim,MetaisCcomuns,Prod_Minerais,PIB_Mun,RndPrCap_Mun,VA_BrtAdm,VA_BrtIndust,VA_BrtServExclAdm,VA_ImpostosProd_,VA_BrtTotal,PercResSP_Nom,CFEM_MA,CFEM_Mun,Coef_IPM,Gasolina_Brasil,Ajustes_MA_Munic,DvLq_Gov_MA,ICMS_Muns,TOTAL_ArrecMun;38;CNN;1,00E-04;110;0,9826;0,9912;7;0,3217;0,5672;16/02/2022;33758,11;15555,34
14;MA;CFEM;KBest;GradientBoostingRegressor;x_3,DolarComercial,ICMS_TOTAL,ST_EXTERNO,ICMS_SIMP_NACIO,IPVA,Exportacao,Importacao,SalarioMinimo,ResvInternac,Tx_SELIC_Perd,SINAP_Alto,SINAP_Baixo,SINAP_Minimo,SINAP_Normal,TxIPCA,IPP,PIB_MenBR,EXPT_SLZ_TOTAL,EXPT_SLZ_ProdIndQuim,MetaisCcomuns,Prod_Minerais,PIB_Mun,RndPrCap_Mun,VA_BrtAdm,VA_BrtIndust,VA_BrtServExclAdm,VA_ImpostosProd_,VA_BrtTotal,PercResSP_Nom,CFEM_MA,CFEM_Mun,Coef_IPM,Gasolina_Brasil,Ajustes_MA_Munic,DvLq_Gov_MA,ICMS_Muns,TOTAL_ArrecMun;38;LSTM;1,00E-04;100;0,035;0,187;14;0,0195;0,1397;16/01/2022;16337,71;14208,74
15;MA;CFEM;KBest;GradientBoostingRegressor;x_3,DolarComercial,ICMS_TOTAL,ST_EXTERNO,ICMS_SIMP_NACIO,IPVA,Exportacao,Importacao,SalarioMinimo,ResvInternac,Tx_SELIC_Perd,SINAP_Alto,SINAP_Baixo,SINAP_Minimo,SINAP_Normal,TxIPCA,IPP,PIB_MenBR,EXPT_SLZ_TOTAL,EXPT_SLZ_ProdIndQuim,MetaisCcomuns,Prod_Minerais,PIB_Mun,RndPrCap_Mun,VA_BrtAdm,VA_BrtIndust,VA_BrtServExclAdm,VA_ImpostosProd_,VA_BrtTotal,PercResSP_Nom,CFEM_MA,CFEM_Mun,Coef_IPM,Gasolina_Brasil,Ajustes_MA_Munic,DvLq_Gov_MA,ICMS_Muns,TOTAL_ArrecMun;38;LSTM;1,00E-04;100;0,035;0,187;14;0,0195;0,1397;16/02/2022;16404,42;15555,34
28;MA;CFEM;KBest;GradientBoostingRegressor;x_3,DolarComercial,ICMS_TOTAL,ST_EXTERNO,ICMS_SIMP_NACIO,IPVA,Exportacao,Importacao,SalarioMinimo,ResvInternac,Tx_SELIC_Perd,SINAP_Alto,SINAP_Baixo,SINAP_Minimo,SINAP_Normal,TxIPCA,IPP,PIB_MenBR,EXPT_SLZ_TOTAL,EXPT_SLZ_ProdIndQuim,MetaisCcomuns,Prod_Minerais,PIB_Mun,RndPrCap_Mun,VA_BrtAdm,VA_BrtIndust,VA_BrtServExclAdm,VA_ImpostosProd_,VA_BrtTotal,PercResSP_Nom,CFEM_MA,CFEM_Mun,Coef_IPM,Gasolina_Brasil,Ajustes_MA_Munic,DvLq_Gov_MA,ICMS_Muns,TOTAL_ArrecMun;38;LSTM_COMPLEX;1,00E-04;50;0,0451;0,2124;16;0,037;0,1924;16/01/2022;17828,79;14208,74
29;MA;CFEM;KBest;GradientBoostingRegressor;x_3,DolarComercial,ICMS_TOTAL,ST_EXTERNO,ICMS_SIMP_NACIO,IPVA,Exportacao,Importacao,SalarioMinimo,ResvInternac,Tx_SELIC_Perd,SINAP_Alto,SINAP_Baixo,SINAP_Minimo,SINAP_Normal,TxIPCA,IPP,PIB_MenBR,EXPT_SLZ_TOTAL,EXPT_SLZ_ProdIndQuim,MetaisCcomuns,Prod_Minerais,PIB_Mun,RndPrCap_Mun,VA_BrtAdm,VA_BrtIndust,VA_BrtServExclAdm,VA_ImpostosProd_,VA_BrtTotal,PercResSP_Nom,CFEM_MA,CFEM_Mun,Coef_IPM,Gasolina_Brasil,Ajustes_MA_Munic,DvLq_Gov_MA,ICMS_Muns,TOTAL_ArrecMun;38;LSTM_COMPLEX;1,00E-04;50;0,0451;0,2124;16;0,037;0,1924;16/02/2022;18459,08;15555,34
42;MA;CFEM;KBest;GradientBoostingRegressor;x_3,DolarComercial,ICMS_TOTAL,ST_EXTERNO,ICMS_SIMP_NACIO,IPVA,Exportacao,Importacao,SalarioMinimo,ResvInternac,Tx_SELIC_Perd,SINAP_Alto,SINAP_Baixo,SINAP_Minimo,SINAP_Normal,TxIPCA,IPP,PIB_MenBR,EXPT_SLZ_TOTAL,EXPT_SLZ_ProdIndQuim,MetaisCcomuns,Prod_Minerais,PIB_Mun,RndPrCap_Mun,VA_BrtAdm,VA_BrtIndust,VA_BrtServExclAdm,VA_ImpostosProd_,VA_BrtTotal,PercResSP_Nom,CFEM_MA,CFEM_Mun,Coef_IPM,Gasolina_Brasil,Ajustes_MA_Munic,DvLq_Gov_MA,ICMS_Muns,TOTAL_ArrecMun;38;GRU;1,00E-04;80;0,0464;0,2155;38;0,0329;0,1815;16/01/2022;14414,89;14208,74
43;MA;CFEM;KBest;GradientBoostingRegressor;x_3,DolarComercial,ICMS_TOTAL,ST_EXTERNO,ICMS_SIMP_NACIO,IPVA,Exportacao,Importacao,SalarioMinimo,ResvInternac,Tx_SELIC_Perd,SINAP_Alto,SINAP_Baixo,SINAP_Minimo,SINAP_Normal,TxIPCA,IPP,PIB_MenBR,EXPT_SLZ_TOTAL,EXPT_SLZ_ProdIndQuim,MetaisCcomuns,Prod_Minerais,PIB_Mun,RndPrCap_Mun,VA_BrtAdm,VA_BrtIndust,VA_BrtServExclAdm,VA_ImpostosProd_,VA_BrtTotal,PercResSP_Nom,CFEM_MA,CFEM_Mun,Coef_IPM,Gasolina_Brasil,Ajustes_MA_Munic,DvLq_Gov_MA,ICMS_Muns,TOTAL_ArrecMun;38;GRU;1,00E-04;80;0,0464;0,2155;38;0,0329;0,1815;16/02/2022;11574,28;15555,34
12;MA;CFEM AFETADOS;LinearRegression;GradientBoostingRegressor;x_3,x_2,ICMS_DvAtTrb,ICMS_TOTAL,ST_EXTERNO,Importacao,CFEM_MA,CFEM_Total,Gasolina_Brasil,FinMA_Mn_JrNom,Ajustes_MA_Munic,IPVA_Muns;12;CNN;1,00E-04;30;19.144;13.836;25;18.926;13.757;23/01/2022;8118175,5;7379090,1
13;MA;CFEM AFETADOS;LinearRegression;GradientBoostingRegressor;x_3,x_2,ICMS_DvAtTrb,ICMS_TOTAL,ST_EXTERNO,Importacao,CFEM_MA,CFEM_Total,Gasolina_Brasil,FinMA_Mn_JrNom,Ajustes_MA_Munic,IPVA_Muns;12;CNN;1,00E-04;30;19.144;13.836;25;18.926;13.757;23/02/2022;3686449,5;7745104,35
