DATA;INPC;INPC_Nr_Indice;INPC_AC_ANO;INPC_AC12M
15/01/1999;0.65;1474.58;0.65;2.28
15/02/1999;1.29;1493.6;1.95;3.05
15/03/1999;1.28;1512.72;3.25;3.86
15/04/1999;0.47;1519.83;3.74;3.88
15/05/1999;0.05;1520.59;3.79;3.19
15/06/1999;0.07;1521.65;3.86;3.1
15/07/1999;0.74;1532.91;4.63;4.16
15/08/1999;0.55;1541.34;5.21;5.25
15/09/1999;0.39;1547.35;5.62;5.99
15/10/1999;0.96;1562.2;6.63;6.89
15/11/1999;0.94;1576.88;7.63;8.08
15/12/1999;0.74;1588.55;8.43;8.43
15/01/2000;0.61;1598.24;0.61;8.39
15/02/2000;0.05;1599.04;0.66;7.06
15/03/2000;0.13;1601.12;0.79;5.84
15/04/2000;0.09;1602.56;0.88;5.44
15/05/2000;-0.05;1601.76;0.83;5.34
15/06/2000;0.3;1606.57;1.13;5.58
15/07/2000;1.39;1628.9;2.54;6.26
15/08/2000;1.21;1648.61;3.78;6.96
15/09/2000;0.43;1655.7;4.23;7.0
15/10/2000;0.16;1658.35;4.39;6.15
15/11/2000;0.29;1663.16;4.7;5.47
15/12/2000;0.55;1672.31;5.27;5.27
15/01/2001;0.77;1685.19;0.77;5.44
15/02/2001;0.49;1693.45;1.26;5.9
15/03/2001;0.48;1701.58;1.75;6.27
15/04/2001;0.84;1715.87;2.6;7.07
15/05/2001;0.57;1725.65;3.19;7.73
15/06/2001;0.6;1736.0;3.81;8.06
15/07/2001;1.11;1755.27;4.96;7.76
15/08/2001;0.79;1769.14;5.79;7.31
15/09/2001;0.44;1776.92;6.26;7.32
15/10/2001;0.94;1793.62;7.25;8.16
15/11/2001;1.29;1816.76;8.64;9.24
15/12/2001;0.74;1830.2;9.44;9.44
15/01/2002;1.07;1849.78;1.07;9.77
15/02/2002;0.31;1855.51;1.38;9.57
15/03/2002;0.62;1867.01;2.01;9.72
15/04/2002;0.68;1879.71;2.71;9.55
15/05/2002;0.09;1881.4;2.8;9.03
15/06/2002;0.61;1892.88;3.42;9.04
15/07/2002;1.15;1914.65;4.61;9.08
15/08/2002;0.86;1931.12;5.51;9.16
15/09/2002;0.83;1947.15;6.39;9.58
15/10/2002;1.57;1977.72;8.06;10.26
15/11/2002;3.39;2044.76;11.72;12.55
15/12/2002;2.7;2099.97;14.74;14.74
15/01/2003;2.47;2151.84;2.47;16.33
15/02/2003;1.46;2183.26;3.97;17.66
15/03/2003;1.37;2213.17;5.39;18.54
15/04/2003;1.38;2243.71;6.84;19.36
15/05/2003;0.99;2265.92;7.9;20.44
15/06/2003;-0.06;2264.56;7.84;19.64
15/07/2003;0.04;2265.47;7.88;18.32
15/08/2003;0.18;2269.55;8.08;17.53
15/09/2003;0.82;2288.16;8.96;17.51
15/10/2003;0.39;2297.08;9.39;16.15
15/11/2003;0.37;2305.58;9.79;12.76
15/12/2003;0.54;2318.03;10.38;10.38
15/01/2004;0.83;2337.27;0.83;8.62
15/02/2004;0.39;2346.39;1.22;7.47
15/03/2004;0.57;2359.76;1.8;6.62
15/04/2004;0.41;2369.43;2.22;5.6
15/05/2004;0.4;2378.91;2.63;4.99
15/06/2004;0.5;2390.8;3.14;5.57
15/07/2004;0.73;2408.25;3.89;6.3
15/08/2004;0.5;2420.29;4.41;6.64
15/09/2004;0.17;2424.4;4.59;5.95
15/10/2004;0.17;2428.52;4.77;5.72
15/11/2004;0.44;2439.21;5.23;5.8
15/12/2004;0.86;2460.19;6.13;6.13
15/01/2005;0.57;2474.21;0.57;5.86
15/02/2005;0.44;2485.1;1.01;5.91
15/03/2005;0.73;2503.24;1.75;6.08
15/04/2005;0.91;2526.02;2.68;6.61
15/05/2005;0.7;2543.7;3.39;6.93
15/06/2005;-0.11;2540.9;3.28;6.28
15/07/2005;0.03;2541.66;3.31;5.54
15/08/2005;0.0;2541.66;3.31;5.01
15/09/2005;0.15;2545.47;3.47;4.99
15/10/2005;0.58;2560.23;4.07;5.42
15/11/2005;0.54;2574.05;4.63;5.53
15/12/2005;0.4;2584.35;5.05;5.05
15/01/2006;0.38;2594.17;0.38;4.85
15/02/2006;0.23;2600.14;0.61;4.63
15/03/2006;0.27;2607.16;0.88;4.15
15/04/2006;0.12;2610.29;1.0;3.34
15/05/2006;0.13;2613.68;1.13;2.75
15/06/2006;-0.07;2611.85;1.06;2.79
15/07/2006;0.11;2614.72;1.18;2.87
15/08/2006;-0.02;2614.2;1.16;2.85
15/09/2006;0.16;2618.38;1.32;2.86
15/10/2006;0.43;2629.64;1.75;2.71
15/11/2006;0.42;2640.68;2.18;2.59
15/12/2006;0.62;2657.05;2.81;2.81
15/01/2007;0.49;2670.07;0.49;2.93
15/02/2007;0.42;2681.28;0.91;3.12
15/03/2007;0.44;2693.08;1.36;3.3
15/04/2007;0.26;2700.08;1.62;3.44
15/05/2007;0.26;2707.1;1.88;3.57
15/06/2007;0.31;2715.49;2.2;3.97
15/07/2007;0.32;2724.18;2.53;4.19
15/08/2007;0.59;2740.25;3.13;4.82
15/09/2007;0.25;2747.1;3.39;4.92
15/10/2007;0.3;2755.34;3.7;4.78
15/11/2007;0.43;2767.19;4.15;4.79
15/12/2007;0.97;2794.03;5.16;5.16
15/01/2008;0.69;2813.31;0.69;5.36
15/02/2008;0.48;2826.81;1.17;5.43
15/03/2008;0.51;2841.23;1.69;5.5
