DATA;TaxaIPCA;IPCA_Indice;IPCA_VarMES;IpcaBase;IPCA_VarTRIM;IPCA_VarSEM;IPCA_VarANO;IPCA_Var12M
15/06/2023;0.92;6659.95;-0.08;1.0;0.76;2.87;2.87;3.16
15/05/2023;1.23;6665.28;0.23;0.9992;1.56;3.59;2.95;3.94
15/04/2023;1.61;6649.99;0.61;1.00149816;2.18;3.78;2.72;4.18
15/03/2023;1.71;6609.67;0.71;1.0076072987759999;2.09;3.76;2.09;4.65
15/02/2023;1.84;6563.07;0.84;1.0147613105973097;2.0;2.73;1.37;5.6
15/01/2023;1.53;6508.4;0.53;1.023285305606327;1.57;1.5;0.53;5.77
15/12/2022;1.62;6474.09;0.62;1.0287087177260406;1.63;0.28;5.79;5.79
15/11/2022;1.41;6434.2;0.41;1.035086711775942;0.71;0.33;5.13;5.9
15/10/2022;1.59;6407.93;0.59;1.0393305672942232;-0.06;0.39;4.7;6.47
15/09/2022;0.71;6370.34;-0.29;1.0454626176412594;-1.32;0.86;4.09;7.17
15/08/2022;0.64;6388.87;-0.36;1.0424307760500997;-0.37;2.79;4.39;8.73
15/07/2022;0.3199999999999999;6411.95;-0.68;1.0386780252563192;0.46;4.21;4.77;10.07
15/06/2022;1.67;6455.85;0.67;1.0316150146845762;2.22;5.49;5.49;11.89
15/05/2022;1.47;6412.88;0.47;1.0385268352829629;3.18;5.55;4.78;11.73
15/04/2022;2.06;6382.88;1.06;1.0434079114087926;3.73;6.05;4.29;12.13
15/03/2022;2.62;6315.93;1.62;1.0544680352697258;3.2;6.25;3.2;11.3
15/02/2022;2.01;6215.24;1.01;1.0715504174410955;2.3;5.77;1.56;10.54
15/01/2022;1.54;6153.09;0.54;1.0823730766572506;2.24;5.63;0.54;10.38
15/12/2021;1.73;6120.04;0.73;1.0882178912711997;2.96;6.07;10.06;10.06
15/11/2021;1.95;6075.69;0.95;1.0961618818774796;3.4;5.86;9.26;10.74
15/10/2021;2.25;6018.51;1.25;1.1065754197553157;3.32;5.73;8.24;10.67
15/09/2021;2.16;5944.21;1.16;1.120407612502257;3.02;4.75;6.9;10.25
15/08/2021;1.87;5876.05;0.87;1.1334043408072834;2.38;4.51;5.67;9.68
15/07/2021;1.96;5825.37;0.96;1.1432649585723067;2.34;4.5;4.76;8.99
15/06/2021;1.53;5769.98;0.53;1.1542403021746008;1.68;3.77;3.77;8.35
15/05/2021;1.83;5739.56;0.83;1.1603577757761263;2.08;4.61;3.22;8.06
15/04/2021;1.31;5692.31;0.31;1.1699887453150681;2.11;4.67;2.37;6.76
15/03/2021;1.93;5674.72;0.93;1.173615710425545;2.05;5.25;2.05;6.1
15/02/2021;1.86;5622.43;0.86;1.1845303365325026;2.48;4.95;1.11;5.2
15/01/2021;1.25;5574.49;0.25;1.194717297426682;2.51;4.3;0.25;4.56
15/12/2020;2.35;5560.59;1.35;1.1977040906702487;3.13;4.42;4.52;4.52
15/11/2020;1.89;5486.52;0.89;1.2138730958942971;2.41;3.29;3.13;4.31
15/10/2020;1.86;5438.12;0.86;1.2246765664477561;1.75;1.99;2.22;3.92
15/09/2020;1.64;5391.75;0.64;1.2352087849192068;1.24;0.81;1.34;3.14
15/08/2020;1.24;5357.46;0.24;1.2431141211426897;0.86;0.24;0.7;2.44
15/07/2020;1.36;5344.63;0.36;1.246097595033432;0.24;0.25;0.46;2.31
15/06/2020;1.26;5325.46;0.26;1.2505835463755526;-0.43;0.1;0.1;2.13
15/05/2020;0.62;5311.65;-0.38;1.2538350635961288;-0.62;0.99;-0.16;1.88
15/04/2020;0.69;5331.91;-0.31;1.2490704903544636;0.01;1.89;0.22;2.4
15/03/2020;1.07;5348.49;0.07;1.2451983718343647;0.53;2.31;0.53;3.3
15/02/2020;1.25;5344.75;0.25;1.2460700106946485;1.62;2.2;0.46;4.01
15/01/2020;1.21;5331.42;0.21;1.2491851857213851;1.88;2.05;0.21;4.19
15/12/2019;2.15;5320.25;1.15;1.2518084746114;1.77;2.03;4.31;4.31
15/11/2019;1.51;5259.76;0.51;1.266204272069431;0.57;0.88;3.12;3.27
15/10/2019;1.1;5233.07;0.1;1.2726619138569852;0.17;0.5;2.6;2.54
15/09/2019;0.96;5227.84;-0.04;1.2739345757708422;0.26;0.97;2.49;2.89
15/08/2019;1.11;5229.93;0.11;1.273425001940534;0.31;1.77;2.54;3.43
15/07/2019;1.19;5224.18;0.19;1.2748257694426688;0.33;2.1;2.42;3.22
15/06/2019;1.01;5214.27;0.01;1.2772479384046098;0.71;2.23;2.23;3.37
15/05/2019;1.13;5213.75;0.13;1.2773756631984503;1.46;2.37;2.22;4.66
15/04/2019;1.5699999999999998;5206.98;0.57;1.2790362515606084;1.76;2.02;2.09;4.94
15/03/2019;1.75;5177.47;0.75;1.2863267581945037;1.51;1.9;1.51;4.58
15/02/2019;1.43;5138.93;0.43;1.2959742088809627;0.9;1.63;0.75;3.89
15/01/2019;1.32;5116.93;0.32;1.3015468979791507;0.26;1.1;0.32;3.78
15/12/2018;1.15;5100.61;0.15;1.3057118480526841;0.39;1.11;3.75;3.75
15/11/2018;0.79;5092.97;-0.21;1.3076704158247632;0.72;2.23;3.59;4.05
