Data,AnimaisVivos,CalcChapArtFloresArtif,EXPORT_SLZ_TOTAL,EXPT_SLZ_ProdIndQuim,GordOleosAnimVeget,InstrAparFoto,MadCarvVegObrMad,MaqAparEletro,MatTexteis,MatTransporte,MercdProdDiv,MetaisCcomuns,"Objetos de arte, de coleção e antiguidades",ObrPedGesCimCerVid,PastMadCelulo,PedrasPreciosas,PlastBorracha,PelCourBolsas,Prod_InduAlim,Prod_Minerais,Prod_ReinoVegetal,TransacoesEspeciais
2000-11-15 00:00:00,"153640,00","0,00","61497727,00","1615272,00","15540,00","0,00","201000,00","0,00","0,00","0,00","0,00","56798387,00",,"0,00","0,00",0,"0,00","0,00","0,00","2482008,00","0,00","231880,00"
2000-12-15 00:00:00,"217822,00","0,00","47785304,00","1649473,00","15680,00","0,00","135095,00","0,00","0,00","0,00","0,00","43229401,00",,"0,00","0,00",0,"0,00","0,00","0,00","1815188,00","0,00","722645,00"
2001-01-15 00:00:00,"137413,00","0,00","27077781,00","2503022,00","0,00","0,00","140065,00","0,00","0,00","12356,00","0,00","20723422,00",,"0,00","0,00",0,"0,00","0,00","0,00","3182325,00","0,00","379178,00"
2001-02-15 00:00:00,"181890,00","0,00","41729789,00","812872,00","31360,00","0,00","265330,00","0,00","0,00","0,00","0,00","40178776,00",,"0,00","0,00",0,"0,00","0,00","0,00","0,00","0,00","259561,00"
2001-03-15 00:00:00,"214752,00","0,00","35269685,00","2808624,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","28891348,00",,"0,00","0,00",0,"0,00","0,00","0,00","2470051,00","14943,00","869967,00"
2001-04-15 00:00:00,"104667,00","0,00","35089628,00","2126800,00","14096,00","0,00","199890,00","0,00","0,00","0,00","0,00","23219919,00",,"0,00","0,00",0,"0,00","0,00","0,00","3460426,00","5491092,00","472738,00"
2001-05-15 00:00:00,"103739,00","0,00","58537270,00","2969453,00","0,00","0,00","130565,00","0,00","0,00","0,00","0,00","29603524,00",,"0,00","0,00",0,"0,00","0,00","0,00","13807007,00","11101795,00","821187,00"
2001-06-15 00:00:00,"85280,00","0,00","47587504,00","1916900,00","0,00","0,00","124644,00","600,00","0,00","0,00","0,00","23254852,00",,"0,00","0,00",0,"0,00","0,00","0,00","0,00","21761911,00","443317,00"
2001-07-15 00:00:00,"158275,00","0,00","36784065,00","576231,00","0,00","0,00","130895,00","42281,00","0,00","0,00","0,00","17838715,00",,"0,00","0,00",0,"285,00","0,00","0,00","6000135,00","11789176,00","248072,00"
2001-08-15 00:00:00,"184609,00","0,00","27285183,00","227431,00","0,00","0,00","56215,00","0,00","0,00","0,00","0,00","15536508,00",,"0,00","0,00",0,"0,00","0,00","0,00","1393354,00","9742839,00","144227,00"
