Data,PercResSP_Nominal,PercResSP_Primario
2022-06-15 00:00:00,3.67,-1.7
2022-05-15 00:00:00,10.5,4.98
2022-04-15 00:00:00,2.28,-3.75
2022-03-15 00:00:00,8.02,0.96
2022-02-15 00:00:00,8.34,2.64
2022-01-15 00:00:00,-5.81,-10.94
2021-12-15 00:00:00,4.17,-1.8
2021-11-15 00:00:00,4.43,-0.51
2021-10-15 00:00:00,2.08,-3.91
2021-09-15 00:00:00,4.82,-0.12
2021-08-15 00:00:00,5.99,1.5
2021-07-15 00:00:00,7.01,2.26
2021-06-15 00:00:00,14.46,10.47
2021-05-15 00:00:00,7.12,2.96
2021-04-15 00:00:00,1.05,-2.29
2021-03-15 00:00:00,4.07,-0.54
2021-02-15 00:00:00,6.71,3.35
2021-01-15 00:00:00,-3.21,-6.63
2020-12-15 00:00:00,11.48,6.53
2020-11-15 00:00:00,7.31,3.04
2020-10-15 00:00:00,5.06,0.48
2020-09-15 00:00:00,16.02,11.84
2020-08-15 00:00:00,19.12,15.46
2020-07-15 00:00:00,18.11,13.97
2020-06-15 00:00:00,36.09,32.76
2020-05-15 00:00:00,25.17,22.38
2020-04-15 00:00:00,19.35,16.45
2020-03-15 00:00:00,7.12,3.43
2020-02-15 00:00:00,7.31,4.41
2020-01-15 00:00:00,-3.5,-7.5
2019-12-15 00:00:00,7.38,2.54
2019-11-15 00:00:00,6.58,2.83
2019-10-15 00:00:00,2.48,-1.33
2019-09-15 00:00:00,6.49,3.32
2019-08-15 00:00:00,6.25,2.61
2019-07-15 00:00:00,4.38,0.21
2019-06-15 00:00:00,4.94,2.03
2019-05-15 00:00:00,7.2,2.14
2019-04-15 00:00:00,4.33,-1.04
2019-03-15 00:00:00,10.61,3.39
2019-02-15 00:00:00,9.75,3.57
2019-01-15 00:00:00,-3.39,-6.14
2018-12-15 00:00:00,9.2,5.49
2018-11-15 00:00:00,8.69,2.8
2018-10-15 00:00:00,0.33,-1.72
2018-09-15 00:00:00,6.79,4.2
2018-08-15 00:00:00,13.46,3.49
2018-07-15 00:00:00,4.87,0.43
2018-06-15 00:00:00,10.89,2.56
2018-05-15 00:00:00,10.05,1.97
2018-04-15 00:00:00,4.27,-0.93
2018-03-15 00:00:00,10.12,4.34
2018-02-15 00:00:00,8.47,3.52
2018-01-15 00:00:00,-1.53,-6.64
2017-12-15 00:00:00,9.6,3.83
2017-11-15 00:00:00,5.26,0.05
2017-10-15 00:00:00,5.21,-0.87
2017-09-15 00:00:00,9.7,4.07
2017-08-15 00:00:00,8.82,1.77
2017-07-15 00:00:00,7.31,2.53
2017-06-15 00:00:00,9.48,3.67
2017-05-15 00:00:00,12.57,5.8
2017-04-15 00:00:00,3.03,-2.17
2017-03-15 00:00:00,9.6,2.09
2017-02-15 00:00:00,10.72,5.65
2017-01-15 00:00:00,0.2,-5.14
2016-12-15 00:00:00,16.88,11.73
2016-11-15 00:00:00,13.47,7.26
2016-10-15 00:00:00,-2.27,-7.29
2016-09-15 00:00:00,11.13,5.06
2016-08-15 00:00:00,10.71,4.14
2016-07-15 00:00:00,7.72,2.28
2016-06-15 00:00:00,4.94,1.99
2016-05-15 00:00:00,10.39,3.42
2016-04-15 00:00:00,1.95,-1.67
2016-03-15 00:00:00,0.68,1.68
2016-02-15 00:00:00,9.67,5.39
2016-01-15 00:00:00,6.62,-4.37
2015-12-15 00:00:00,20.43,11.79
2015-11-15 00:00:00,6.23,4.21
2015-10-15 00:00:00,3.8,2.38
2015-09-15 00:00:00,15.21,1.36
2015-08-15 00:00:00,10.01,1.34
2015-07-15 00:00:00,12.21,1.23
2015-06-15 00:00:00,6.28,1.74
2015-05-15 00:00:00,10.86,1.75
2015-04-15 00:00:00,-3.13,-2.16
2015-03-15 00:00:00,12.69,-0.3
2015-02-15 00:00:00,12.62,1.43
2015-01-15 00:00:00,1.23,-2.15
2014-12-15 00:00:00,7.95,-0.13
2014-11-15 00:00:00,7.1,1.28
2014-10-15 00:00:00,3.15,-0.94
2014-09-15 00:00:00,12.84,4.27
2014-08-15 00:00:00,6.21,2.46
2014-07-15 00:00:00,6.49,0.36
2014-06-15 00:00:00,4.83,0.63
2014-05-15 00:00:00,6.17,2.27
2014-04-15 00:00:00,-1.13,-3.49
2014-03-15 00:00:00,1.49,-0.67
2014-02-15 00:00:00,2.78,0.74
2014-01-15 00:00:00,2.61,-2.75
2013-12-15 00:00:00,1.27,-3.22
2013-11-15 00:00:00,-0.58,-6.16
2013-10-15 00:00:00,1.47,-1.13
2013-09-15 00:00:00,4.47,2.4
2013-08-15 00:00:00,4.7,0.02
2013-07-15 00:00:00,3.4,-0.88
2013-06-15 00:00:00,3.36,-0.34
2013-05-15 00:00:00,3.56,-1.18
2013-04-15 00:00:00,1.97,-1.64
2013-03-15 00:00:00,3.71,-0.26
2013-02-15 00:00:00,6.3,1.81
2013-01-15 00:00:00,-1.46,-6.38
2012-12-15 00:00:00,-2.24,-6.74
2012-11-15 00:00:00,5.69,1.34
2012-10-15 00:00:00,0.74,-2.35
2012-09-15 00:00:00,1.56,-0.27
2012-08-15 00:00:00,2.66,-0.3
2012-07-15 00:00:00,2.33,-0.95
2012-06-15 00:00:00,2.58,-0.53
2012-05-15 00:00:00,3.43,-0.41
2012-04-15 00:00:00,0.12,-2.99
2012-03-15 00:00:00,2.69,-1.89
2012-02-15 00:00:00,2.56,-1.44
2012-01-15 00:00:00,-0.22,-5.56
2011-12-15 00:00:00,4.12,-0.59
2011-11-15 00:00:00,2.91,-1.26
2011-10-15 00:00:00,1,-2.99
2011-09-15 00:00:00,1.96,-1.63
2011-08-15 00:00:00,4.93,-0.56
2011-07-15 00:00:00,1.73,-2.99
2011-06-15 00:00:00,2.1,-2.7
2011-05-15 00:00:00,4.07,-1.22
2011-04-15 00:00:00,0.12,-4.31
2011-03-15 00:00:00,1.77,-2.72
2011-02-15 00:00:00,3.8,-0.78
2011-01-15 00:00:00,0.72,-4.25
2010-12-15 00:00:00,-0.48,-4.38
2010-11-15 00:00:00,3.09,-0.5
2010-10-15 00:00:00,0.79,-2.09
2010-09-15 00:00:00,-4.67,-7.6
2010-08-15 00:00:00,2.96,-1.07
2010-07-15 00:00:00,4.02,-0.2
2010-06-15 00:00:00,2.54,-0.26
2010-05-15 00:00:00,4.58,0.44
2010-04-15 00:00:00,-1.8,-5.33
2010-03-15 00:00:00,5.08,1.19
2010-02-15 00:00:00,3.58,0.26
2010-01-15 00:00:00,0.08,-4.76
2009-12-15 00:00:00,3.4,-0.63
2009-11-15 00:00:00,0.77,-3.51
2009-10-15 00:00:00,0.29,-3.7
2009-09-15 00:00:00,7.6,2.75
2009-08-15 00:00:00,3.31,-1.4
2009-07-15 00:00:00,4.78,-0.62
2009-06-15 00:00:00,4.5,0.41
2009-05-15 00:00:00,4.54,0.1
2009-04-15 00:00:00,0.59,-4.15
2009-03-15 00:00:00,2.42,-2.21
2009-02-15 00:00:00,4.44,-0.36
2009-01-15 00:00:00,3.19,-1.97
2008-12-15 00:00:00,13.23,8
2008-11-15 00:00:00,6.01,1.19
2008-10-15 00:00:00,-5.32,-5.06
2008-09-15 00:00:00,0.99,-1.95
2008-08-15 00:00:00,-0.24,-2.72
2008-07-15 00:00:00,1.1,-2.89
2008-06-15 00:00:00,0.6,-2.72
2008-05-15 00:00:00,2.07,-1.93
2008-04-15 00:00:00,-2.03,-6.67
2008-03-15 00:00:00,-1.05,-4.48
2008-02-15 00:00:00,2.15,-1.76
2008-01-15 00:00:00,-3.33,-7.2
2007-12-15 00:00:00,6.32,3.65
2007-11-15 00:00:00,1.21,-1.98
2007-10-15 00:00:00,-1.06,-4.1
2007-09-15 00:00:00,2.25,-0.4
2007-08-15 00:00:00,2.43,-1.5
2007-07-15 00:00:00,2.39,-2.18
2007-06-15 00:00:00,1.44,-2.47
2007-05-15 00:00:00,3.18,-2.37
2007-04-15 00:00:00,-2,-6.85
2007-03-15 00:00:00,2.83,-1.77
2007-02-15 00:00:00,2.49,-1.33
2007-01-15 00:00:00,-0.54,-5.74
2006-12-15 00:00:00,5.86,2.66
2006-11-15 00:00:00,3.91,0.05
2006-10-15 00:00:00,1.03,-3.55
2006-09-15 00:00:00,3.64,-0.05
2006-08-15 00:00:00,2.36,-3.47
2006-07-15 00:00:00,2.2,-1.77
2006-06-15 00:00:00,2.35,-3.57
2006-05-15 00:00:00,3.36,-1.59
2006-04-15 00:00:00,-3.73,-8.66
2006-03-15 00:00:00,3.36,-2.87
2006-02-15 00:00:00,2.78,-1.84
2006-01-15 00:00:00,5.31,-1.83
2005-12-15 00:00:00,6.77,2.25
2005-11-15 00:00:00,5.03,-0.18
2005-10-15 00:00:00,2.71,-3.29
2005-09-15 00:00:00,6.29,-1.59
2005-08-15 00:00:00,3.63,-2.53
2005-07-15 00:00:00,3.28,-3.1
2005-06-15 00:00:00,4.42,-3.35
2005-05-15 00:00:00,4.44,-1.25
2005-04-15 00:00:00,-3.12,-8.05
2005-03-15 00:00:00,1.57,-4.06
2005-02-15 00:00:00,3.98,-1.31
2005-01-15 00:00:00,1.3,-5.27
2004-12-15 00:00:00,6.75,1.71
2004-11-15 00:00:00,2.91,-1.41
2004-10-15 00:00:00,1.93,-3.17
2004-09-15 00:00:00,1.57,-2.43
2004-08-15 00:00:00,2.23,-2.26
2004-07-15 00:00:00,1.43,-2.42
2004-06-15 00:00:00,0.6,-3.31
2004-05-15 00:00:00,0.32,-2.95
2004-04-15 00:00:00,-1.06,-4.76
2004-03-15 00:00:00,1.31,-3.71
2004-02-15 00:00:00,-0.15,-3.44
2004-01-15 00:00:00,1.56,-5.04
2003-12-15 00:00:00,15.43,5.05
2003-11-15 00:00:00,2.88,-1.43
2003-10-15 00:00:00,-0.62,-2.98
2003-09-15 00:00:00,2.71,-2.75
2003-08-15 00:00:00,5.58,-1.81
2003-07-15 00:00:00,9.15,-2.32
2003-06-15 00:00:00,7.64,-0.65
2003-05-15 00:00:00,6.17,-2.42
2003-04-15 00:00:00,-3.47,-7.33
2003-03-15 00:00:00,2.07,-2.47
2003-02-15 00:00:00,2.07,-3.49
2003-01-15 00:00:00,1.81,-5.37
2002-12-15 00:00:00,0.65,3.24
2002-11-15 00:00:00,4.94,-1.18
2002-10-15 00:00:00,-1.06,-3.28
2002-09-15 00:00:00,1.1,-4.9
2002-08-15 00:00:00,-9.59,-1.17
2002-07-15 00:00:00,7.3,-1.69
2002-06-15 00:00:00,1.19,-1.5
2002-05-15 00:00:00,4.5,-1.53
2002-04-15 00:00:00,0.97,-4.81
2002-03-15 00:00:00,3.36,-2
2002-02-15 00:00:00,1.59,-1.97
2002-01-15 00:00:00,-1.41,-6.28
2001-12-15 00:00:00,12.19,5.18
2001-11-15 00:00:00,3.79,-0.77
2001-10-15 00:00:00,3.96,-1.68
2001-09-15 00:00:00,0.05,-1.87
2001-08-15 00:00:00,1.79,-2.23
2001-07-15 00:00:00,2.09,-1.18
2001-06-15 00:00:00,2.57,-1.37
2001-05-15 00:00:00,-2.17,-3.66
2001-04-15 00:00:00,-4.87,-6.11
2001-03-15 00:00:00,0.37,-3.63
2001-02-15 00:00:00,1.01,-1.11
2001-01-15 00:00:00,3.05,-2.59
2000-12-15 00:00:00,5.75,2.33
2000-11-15 00:00:00,1.17,-1.91
2000-10-15 00:00:00,4.32,1.34
2000-09-15 00:00:00,-1.39,-1.76
2000-08-15 00:00:00,-2.09,-4.45
2000-07-15 00:00:00,2.42,-0.44
2000-06-15 00:00:00,4.63,-1.69
2000-05-15 00:00:00,2.08,-3.31
2000-04-15 00:00:00,1.4,-2.42
2000-03-15 00:00:00,-0.21,-5.4
2000-02-15 00:00:00,1.79,-2.66
2000-01-15 00:00:00,1.92,-1.28
1999-12-15 00:00:00,7.1,1.25
1999-11-15 00:00:00,0.85,-0.44
1999-10-15 00:00:00,2.47,-0.88
1999-09-15 00:00:00,-1.85,-4.03
1999-08-15 00:00:00,-0.2,-3.32
1999-07-15 00:00:00,1.81,-4.2
1999-06-15 00:00:00,4.2,-4.29
1999-05-15 00:00:00,1.26,-0.13
1999-04-15 00:00:00,3.09,-1.48
1999-03-15 00:00:00,5.51,-3.94
1999-02-15 00:00:00,2.05,-2.21
