idUF;sigla;nome;regiao.id;regiao.sigla;regiao.nome;nomeMaiusculo
11;RO;Rondônia;1;N;Norte;RONDONIA
12;AC;Acre;1;N;Norte;ACRE
13;AM;Amazonas;1;N;Norte;AMAZONAS
14;RR;Roraima;1;N;Norte;RORAIMA
15;PA;Pará;1;N;Norte;PARA
16;AP;Amapá;1;N;Norte;AMAPA
17;TO;Tocantins;1;N;Norte;TOCANTINS
21;MA;Maranhão;2;NE;Nordeste;MARANHAO
22;PI;Piauí;2;NE;Nordeste;PIAUI
23;CE;Ceará;2;NE;Nordeste;CEARA
24;RN;Rio Grande do Norte;2;NE;Nordeste;RIO GRANDE DO NORTE
25;PB;Paraíba;2;NE;Nordeste;PARAIBA
26;PE;Pernambuco;2;NE;Nordeste;PERNAMBUCO
27;AL;Alagoas;2;NE;Nordeste;ALAGOAS
28;SE;Sergipe;2;NE;Nordeste;SERGIPE
29;BA;Bahia;2;NE;Nordeste;BAHIA
31;MG;Minas Gerais;3;SE;Sudeste;MINAS GERAIS
32;ES;Espírito Santo;3;SE;Sudeste;ESPIRITO SANTO
33;RJ;Rio de Janeiro;3;SE;Sudeste;RIO DE JANEIRO
35;SP;São Paulo;3;SE;Sudeste;SAO PAULO
41;PR;Paraná;4;S;Sul;PARANA
42;SC;Santa Catarina;4;S;Sul;SANTA CATARINA
43;RS;Rio Grande do Sul;4;S;Sul;RIO GRANDE DO SUL
50;MS;Mato Grosso do Sul;5;CO;Centro-Oeste;MATO GROSSO DO SUL
51;MT;Mato Grosso;5;CO;Centro-Oeste;MATO GROSSO
52;GO;Goiás;5;CO;Centro-Oeste;GOIAS
53;DF;Distrito Federal;5;CO;Centro-Oeste;DISTRITO FEDERAL
