idMun;Municipio;idUF;sigla;nomeUF;MunicipioUF;MunUFMaiuscula
1100015;Alta Floresta D'Oeste;11;RO;Rondônia;Alta Floresta D'Oeste - RO;ALTA FLORESTA D'OESTE - RO
1100023;Ariquemes;11;RO;Rondônia;Ariquemes - RO;ARIQUEMES - RO
1100031;Cabixi;11;RO;Rondônia;Cabixi - RO;CABIXI - RO
1100049;Cacoal;11;RO;Rondônia;Cacoal - RO;CACOAL - RO
1100056;Cerejeiras;11;RO;Rondônia;Cerejeiras - RO;CEREJEIRAS - RO
1100064;Colorado do Oeste;11;RO;Rondônia;Colorado do Oeste - RO;COLORADO DO OESTE - RO
1100072;Corumbiara;11;RO;Rondônia;Corumbiara - RO;CORUMBIARA - RO
1100080;Costa Marques;11;RO;Rondônia;Costa Marques - RO;COSTA MARQUES - RO
1100098;Espigão D'Oeste;11;RO;Rondônia;Espigão D'Oeste - RO;ESPIGÃO D'OESTE - RO
1100106;Guajará-Mirim;11;RO;Rondônia;Guajará-Mirim - RO;GUAJARÁ-MIRIM - RO
1100114;Jaru;11;RO;Rondônia;Jaru - RO;JARU - RO
1100122;Ji-Paraná;11;RO;Rondônia;Ji-Paraná - RO;JI-PARANÁ - RO
1100130;Machadinho D'Oeste;11;RO;Rondônia;Machadinho D'Oeste - RO;MACHADINHO D'OESTE - RO
1100148;Nova Brasilândia D'Oeste;11;RO;Rondônia;Nova Brasilândia D'Oeste - RO;NOVA BRASILÂNDIA D'OESTE - RO
1100155;Ouro Preto do Oeste;11;RO;Rondônia;Ouro Preto do Oeste - RO;OURO PRETO DO OESTE - RO
1100189;Pimenta Bueno;11;RO;Rondônia;Pimenta Bueno - RO;PIMENTA BUENO - RO
1100205;Porto Velho;11;RO;Rondônia;Porto Velho - RO;PORTO VELHO - RO
1100254;Presidente Médici;11;RO;Rondônia;Presidente Médici - RO;PRESIDENTE MÉDICI - RO
1100262;Rio Crespo;11;RO;Rondônia;Rio Crespo - RO;RIO CRESPO - RO
1100288;Rolim de Moura;11;RO;Rondônia;Rolim de Moura - RO;ROLIM DE MOURA - RO
1100296;Santa Luzia D'Oeste;11;RO;Rondônia;Santa Luzia D'Oeste - RO;SANTA LUZIA D'OESTE - RO
1100304;Vilhena;11;RO;Rondônia;Vilhena - RO;VILHENA - RO
1100320;São Miguel do Guaporé;11;RO;Rondônia;São Miguel do Guaporé - RO;SÃO MIGUEL DO GUAPORÉ - RO
1100338;Nova Mamoré;11;RO;Rondônia;Nova Mamoré - RO;NOVA MAMORÉ - RO
1100346;Alvorada D'Oeste;11;RO;Rondônia;Alvorada D'Oeste - RO;ALVORADA D'OESTE - RO
1100379;Alto Alegre dos Parecis;11;RO;Rondônia;Alto Alegre dos Parecis - RO;ALTO ALEGRE DOS PARECIS - RO
1100403;Alto Paraíso;11;RO;Rondônia;Alto Paraíso - RO;ALTO PARAÍSO - RO
1100452;Buritis;11;RO;Rondônia;Buritis - RO;BURITIS - RO
1100502;Novo Horizonte do Oeste;11;RO;Rondônia;Novo Horizonte do Oeste - RO;NOVO HORIZONTE DO OESTE - RO
1100601;Cacaulândia;11;RO;Rondônia;Cacaulândia - RO;CACAULÂNDIA - RO
1100700;Campo Novo de Rondônia;11;RO;Rondônia;Campo Novo de Rondônia - RO;CAMPO NOVO DE RONDÔNIA - RO
1100809;Candeias do Jamari;11;RO;Rondônia;Candeias do Jamari - RO;CANDEIAS DO JAMARI - RO
1100908;Castanheiras;11;RO;Rondônia;Castanheiras - RO;CASTANHEIRAS - RO
1100924;Chupinguaia;11;RO;Rondônia;Chupinguaia - RO;CHUPINGUAIA - RO
1100940;Cujubim;11;RO;Rondônia;Cujubim - RO;CUJUBIM - RO
1101005;Governador Jorge Teixeira;11;RO;Rondônia;Governador Jorge Teixeira - RO;GOVERNADOR JORGE TEIXEIRA - RO
1101104;Itapuã do Oeste;11;RO;Rondônia;Itapuã do Oeste - RO;ITAPUÃ DO OESTE - RO
1101203;Ministro Andreazza;11;RO;Rondônia;Ministro Andreazza - RO;MINISTRO ANDREAZZA - RO
1101302;Mirante da Serra;11;RO;Rondônia;Mirante da Serra - RO;MIRANTE DA SERRA - RO
1101401;Monte Negro;11;RO;Rondônia;Monte Negro - RO;MONTE NEGRO - RO
1101435;Nova União;11;RO;Rondônia;Nova União - RO;NOVA UNIÃO - RO
1101450;Parecis;11;RO;Rondônia;Parecis - RO;PARECIS - RO
1101468;Pimenteiras do Oeste;11;RO;Rondônia;Pimenteiras do Oeste - RO;PIMENTEIRAS DO OESTE - RO
1101476;Primavera de Rondônia;11;RO;Rondônia;Primavera de Rondônia - RO;PRIMAVERA DE RONDÔNIA - RO
1101484;São Felipe D'Oeste;11;RO;Rondônia;São Felipe D'Oeste - RO;SÃO FELIPE D'OESTE - RO
1101492;São Francisco do Guaporé;11;RO;Rondônia;São Francisco do Guaporé - RO;SÃO FRANCISCO DO GUAPORÉ - RO
1101500;Seringueiras;11;RO;Rondônia;Seringueiras - RO;SERINGUEIRAS - RO
1101559;Teixeirópolis;11;RO;Rondônia;Teixeirópolis - RO;TEIXEIRÓPOLIS - RO
1101609;Theobroma;11;RO;Rondônia;Theobroma - RO;THEOBROMA - RO
1101708;Urupá;11;RO;Rondônia;Urupá - RO;URUPÁ - RO
1101757;Vale do Anari;11;RO;Rondônia;Vale do Anari - RO;VALE DO ANARI - RO
1101807;Vale do Paraíso;11;RO;Rondônia;Vale do Paraíso - RO;VALE DO PARAÍSO - RO
1200013;Acrelândia;12;AC;Acre;Acrelândia - AC;ACRELÂNDIA - AC
1200054;Assis Brasil;12;AC;Acre;Assis Brasil - AC;ASSIS BRASIL - AC
1200104;Brasiléia;12;AC;Acre;Brasiléia - AC;BRASILÉIA - AC
1200138;Bujari;12;AC;Acre;Bujari - AC;BUJARI - AC
1200179;Capixaba;12;AC;Acre;Capixaba - AC;CAPIXABA - AC
1200203;Cruzeiro do Sul;12;AC;Acre;Cruzeiro do Sul - AC;CRUZEIRO DO SUL - AC
1200252;Epitaciolândia;12;AC;Acre;Epitaciolândia - AC;EPITACIOLÂNDIA - AC
1200302;Feijó;12;AC;Acre;Feijó - AC;FEIJÓ - AC
1200328;Jordão;12;AC;Acre;Jordão - AC;JORDÃO - AC
1200336;Mâncio Lima;12;AC;Acre;Mâncio Lima - AC;MÂNCIO LIMA - AC
1200344;Manoel Urbano;12;AC;Acre;Manoel Urbano - AC;MANOEL URBANO - AC
1200351;Marechal Thaumaturgo;12;AC;Acre;Marechal Thaumaturgo - AC;MARECHAL THAUMATURGO - AC
1200385;Plácido de Castro;12;AC;Acre;Plácido de Castro - AC;PLÁCIDO DE CASTRO - AC
1200393;Porto Walter;12;AC;Acre;Porto Walter - AC;PORTO WALTER - AC
1200401;Rio Branco;12;AC;Acre;Rio Branco - AC;RIO BRANCO - AC
1200427;Rodrigues Alves;12;AC;Acre;Rodrigues Alves - AC;RODRIGUES ALVES - AC
