CO_SH4;NO_SH4_POR;NO_SH2_POR;NO_SEC_POR
101;Cavalos, asininos e muares, vivos;Animais vivos;Animais vivos e produtos do reino animal
102;Animais vivos da espécie bovina;Animais vivos;Animais vivos e produtos do reino animal
103;Animais vivos da espécie suína;Animais vivos;Animais vivos e produtos do reino animal
104;Animais vivos das espécies ovina e caprina;Animais vivos;Animais vivos e produtos do reino animal
105;Galos, galinhas, patos, gansos, perus, peruas e galinhas-d'angola (pintadas), das espécies domésticas, vivos;Animais vivos;Animais vivos e produtos do reino animal
106;Outros animais vivos;Animais vivos;Animais vivos e produtos do reino animal
201;Carnes de animais da espécie bovina, frescas ou refrigeradas;Carnes e miudezas, comestíveis;Animais vivos e produtos do reino animal
202;Carnes de animais da espécie bovina, congeladas;Carnes e miudezas, comestíveis;Animais vivos e produtos do reino animal
203;Carnes de animais da espécie suína, frescas, refrigeradas ou congeladas;Carnes e miudezas, comestíveis;Animais vivos e produtos do reino animal
204;Carnes de animais das espécies ovina ou caprina, frescas, refrigeradas ou congeladas;Carnes e miudezas, comestíveis;Animais vivos e produtos do reino animal
205;Carnes de animais das espécies cavalar, asinina e muar, frescas, refrigeradas ou congeladas;Carnes e miudezas, comestíveis;Animais vivos e produtos do reino animal
206;Miudezas comestíveis de animais das espécies bovina, suína, ovina, caprina, cavalar, asinina e muar, frescas, refrigeradas ou congeladas;Carnes e miudezas, comestíveis;Animais vivos e produtos do reino animal
207;Carnes e miudezas comestíveis, frescas, refrigeradas ou congeladas, das aves da posição 0105;Carnes e miudezas, comestíveis;Animais vivos e produtos do reino animal
208;Outras carnes e miudezas comestíveis, frescas, refrigeradas ou congeladas;Carnes e miudezas, comestíveis;Animais vivos e produtos do reino animal
209;Toucinho sem partes magras, gorduras de porco e de aves, não fundidas nem extraídas de outro modo, frescos, refrigerados, congelados, salgados ou em salmoura, secos ou defumados;Carnes e miudezas, comestíveis;Animais vivos e produtos do reino animal
210;"Carnes e miudezas, comestíveis, salgadas ou em salmoura, secas ou defumadas; farinhas e pós, comestíveis, de carnes ou de miudezas";Carnes e miudezas, comestíveis;Animais vivos e produtos do reino animal
301;Peixes vivos;Peixes e crustáceos, moluscos e outros invertebrados aquáticos;Animais vivos e produtos do reino animal
302;Peixes frescos ou refrigerados, exceto os filés de peixes e outra carne de peixes da posição 03.04;Peixes e crustáceos, moluscos e outros invertebrados aquáticos;Animais vivos e produtos do reino animal
303;Peixes congelados, exceto os filés de peixes e outra carne de peixes da posição 03.04;Peixes e crustáceos, moluscos e outros invertebrados aquáticos;Animais vivos e produtos do reino animal
304;Filés de peixes e outra carne de peixes (mesmo picada), frescos, refrigerados ou congelados;Peixes e crustáceos, moluscos e outros invertebrados aquáticos;Animais vivos e produtos do reino animal
305;"Peixes secos, salgados ou em salmoura; peixes defumados, mesmo cozidos antes ou durante a defumação; farinhas, pós e pellets, de peixe, próprios para alimentação humana";Peixes e crustáceos, moluscos e outros invertebrados aquáticos;Animais vivos e produtos do reino animal
