Data,idUF,id_Muni,sigla,TotRecTributaria,IPVA,ICMS_STS_TRANSPORTE,ICMS_STS_COMUNICACAO,ICMS_STC_VAREJISTA,ICMS_STC_ATACADISTA,ICMS_Setor_SECUNDARIO,ICMS_Setor_PRIMARIO,ICMS_PetroCombusLubr,ICMS_ENERGIA,ICMS_OUTRAS,ICMS_DivAtiva,ICMS_ST_OUTROS
2000-02-15 00:00:00,15,1501402,PA,95833980,2241639,2862819,6324570,34954811,12543912,13086015,2210825,6480962,6972745,356391,72901,6459691
2000-02-15 00:00:00,17,1721000,TO,21284312,737470,609180,2082182,0,7191737,778148,1183546,6076768,1919769,0,196793,7145
2000-02-15 00:00:00,21,2111300,MA,52704712,1509081,685794,4668537,7257192,9115334,10126916,517261,14179988,2661084,35790,0,259187
2000-02-15 00:00:00,23,2304400,CE,149610118,14129005,2225643,14288357,17162348,20400768,37326627,289551,24087673,15204984,2359958,751540,851860
2000-02-15 00:00:00,27,2704302,AL,44135197,2185625,949057,3722299,8484882,3657849,11891177,0,192038,2781385,9108091,0,235976
2000-02-15 00:00:00,29,2927408,BA,298655606,3802691,5252464,25394826,34527259,22422258,82709919,3573169,78679643,25272183,2853824,1322333,6536882
2000-02-15 00:00:00,31,3106200,MG,609005190,78740194,15198000,34480000,51381000,36213000,159035000,4451000,125582000,72421000,12491000,1644508,2625000
2000-02-15 00:00:00,50,5002704,MS,91033767,6059268,944899,8064626,12306969,12044837,2091932,10265605,19003347,6252634,0,220349,7823243
2000-03-15 00:00:00,15,1501402,PA,89521778,4151036,2842910,8707051,27615331,12378098,12666546,2023081,5412147,4790466,381821,83568,7432152
2000-03-15 00:00:00,17,1721000,TO,21457995,790704,1692080,12148,646409,7180808,752445,1283256,6834354,1828685,0,136721,0
2000-03-15 00:00:00,21,2111300,MA,53543181,2377282,2223498,3753067,6854457,9661277,10159632,671074,12064070,3409814,76168,0,352707
2000-03-15 00:00:00,23,2304400,CE,153861744,13646626,1986153,12937972,16267357,19192611,39267430,211558,31282492,14465788,2672617,723139,520582
2000-03-15 00:00:00,27,2704302,AL,41000573,2191198,690068,3755379,8333304,3248110,8668252,0,262562,4571254,8444961,0,203783
2000-03-15 00:00:00,29,2927408,BA,297387371,5150483,4727076,27650778,27637401,25375513,78061515,3441494,86076510,23524298,2370866,1455081,7621763
2000-03-15 00:00:00,31,3106200,MG,639962720,76936681,14392000,34924000,48464000,43989000,187741000,4594000,123955000,75052000,10961000,1721104,2586000
2000-03-15 00:00:00,50,5002704,MS,94549245,7351787,990942,8784175,13092822,18234994,2294357,13452046,19177689,5943559,54167,285119,1972453
2000-04-15 00:00:00,15,1501402,PA,93734000,3160318,2657721,9561494,18657776,18831436,11502006,1885896,11223938,7452522,252721,109290,7421909
2000-04-15 00:00:00,17,1721000,TO,20509896,820211,508420,1696579,0,7229802,699170,1021439,6060131,2113097,0,54502,21406
2000-04-15 00:00:00,21,2111300,MA,40708977,2765977,590158,3610115,6866631,6160471,5811920,567354,8963290,3228328,57348,0,259078
2000-04-15 00:00:00,23,2304400,CE,146526983,4152292,1994825,20737775,14300544,19918834,39993920,189789,23386671,15481944,3168161,697127,397765
2000-04-15 00:00:00,27,2704302,AL,45921321,2102323,591994,3838000,7254173,3561180,10537984,0,222795,4740837,12010453,0,206883
2000-04-15 00:00:00,29,2927408,BA,301946842,6320329,4578688,27988308,26507975,25425208,70740191,3181183,90631535,25302578,6394813,1334744,7427278
2000-04-15 00:00:00,31,3106200,MG,604183220,22060446,14435000,36883000,44638000,44338000,194240000,7444000,138366000,67510000,16763000,1451581,2946000
2000-04-15 00:00:00,50,5002704,MS,95965689,2848462,1105895,7772351,12874178,17435433,2860231,15985845,22353272,6220197,1705,241408,1888965
2000-05-15 00:00:00,15,1501402,PA,91686193,3615241,2629587,12270148,17977035,13552704,13349222,2433810,6565771,8179541,449082,86956,9256871
2000-05-15 00:00:00,17,1721000,TO,21741896,829906,610375,1418160,0,7844387,754351,1067843,6453820,2052664,0,387592,11337
2000-05-15 00:00:00,21,2111300,MA,49072966,3783381,491277,5777618,8882714,5635398,5988554,763385,7991792,7094543,43465,0,263463
2000-05-15 00:00:00,23,2304400,CE,145458796,2843716,1753986,16133731,15840369,20635465,42277045,151198,24362605,14472269,4847806,743231,472954
2000-05-15 00:00:00,27,2704302,AL,45085252,3166424,664035,4379264,8199825,3421005,9480314,0,459571,4706652,9438018,1089,245636
2000-05-15 00:00:00,29,2927408,BA,307575469,12102619,4659015,27959403,27076401,25762638,79335853,3923127,86814816,24421750,794725,1309423,6909313
2000-05-15 00:00:00,31,3106200,MG,642678438,17246872,14836054,54922749,56322382,45900057,190357821,5591696,138835127,79839058,18019671,1878163,2959728
2000-05-15 00:00:00,50,5002704,MS,92934871,1980169,919044,7760763,13237799,17363569,2521128,16841034,19881552,5541153,387,379281,2795995
2000-06-15 00:00:00,15,1501402,PA,98747872,3682156,3027754,10534018,20118202,17591078,14222109,2957229,7893689,9043291,384417,101056,7801709
2000-06-15 00:00:00,17,1721000,TO,23604742,785657,1724800,14228,583679,8900660,808154,1072922,6876305,2066813,0,455328,0
2000-06-15 00:00:00,21,2111300,MA,62893177,3908195,1396729,5144718,9617362,7520718,6319076,764793,18540712,7200517,46735,0,306509
2000-06-15 00:00:00,23,2304400,CE,156216681,2393670,1670592,15327823,17350313,21774754,43676133,167653,30816647,16393780,4678792,712501,597629
