Data;DolarComercial
15/01/1999;1.721
15/02/1999;1.9137
15/03/1999;1.8968
15/04/1999;1.6941
15/05/1999;1.6835
15/06/1999;1.7654
15/07/1999;1.8003
15/08/1999;1.8808
15/09/1999;1.8981
15/10/1999;1.9695
15/11/1999;1.9299
15/12/1999;1.8428
15/01/2000;1.8037
15/02/2000;1.7753
15/03/2000;1.742
15/04/2000;1.7682
15/05/2000;1.8279
15/06/2000;1.8083
15/07/2000;1.7978
15/08/2000;1.8092
15/09/2000;1.8392
15/10/2000;1.8796
15/11/2000;1.948
15/12/2000;1.9632
15/01/2001;1.9545
15/02/2001;2.0019
15/03/2001;2.089
15/04/2001;2.1925
15/05/2001;2.2972
15/06/2001;2.3758
15/07/2001;2.466
15/08/2001;2.5106
15/09/2001;2.6717
15/10/2001;2.7402
15/11/2001;2.5431
15/12/2001;2.3627
15/01/2002;2.3779
15/02/2002;2.4196
15/03/2002;2.3466
15/04/2002;2.3204
15/05/2002;2.4804
15/06/2002;2.714
15/07/2002;2.9346
15/08/2002;3.1101
15/09/2002;3.342
15/10/2002;3.8059
15/11/2002;3.5764
15/12/2002;3.6259
15/01/2003;3.4384
15/02/2003;3.5908
15/03/2003;3.4469
15/04/2003;3.1187
15/05/2003;2.9557
15/06/2003;2.8832
15/07/2003;2.8798
15/08/2003;3.0025
15/09/2003;2.9228
15/10/2003;2.8615
15/11/2003;2.9138
15/12/2003;2.9253
15/01/2004;2.8518
15/02/2004;2.9303
15/03/2004;2.9055
15/04/2004;2.906
15/05/2004;3.1004
15/06/2004;3.1291
15/07/2004;3.0368
15/08/2004;3.0029
15/09/2004;2.8911
15/10/2004;2.8529
15/11/2004;2.786
15/12/2004;2.7182
15/01/2005;2.693
15/02/2005;2.5978
15/03/2005;2.7047
15/04/2005;2.5792
15/05/2005;2.4528
15/06/2005;2.4135
15/07/2005;2.3735
15/08/2005;2.3606
15/09/2005;2.2944
15/10/2005;2.2564
15/11/2005;2.2108
15/12/2005;2.2855
15/01/2006;2.2739
15/02/2006;2.1619
15/03/2006;2.152
15/04/2006;2.1293
15/05/2006;2.1781
15/06/2006;2.2483
15/07/2006;2.1893
15/08/2006;2.1559
15/09/2006;2.1687
15/10/2006;2.1483
15/11/2006;2.1579
15/12/2006;2.1499
15/01/2007;2.1385
15/02/2007;2.0962
15/03/2007;2.0887
15/04/2007;2.032
15/05/2007;1.9816
15/06/2007;1.9319
15/07/2007;1.8828
15/08/2007;1.966
15/09/2007;1.8996
15/10/2007;1.801
15/11/2007;1.7699
15/12/2007;1.786
15/01/2008;1.7743
15/02/2008;1.7277
15/03/2008;1.7076
15/04/2008;1.6889
15/05/2008;1.6605
15/06/2008;1.6189
15/07/2008;1.5914
15/08/2008;1.6123
15/09/2008;1.7996
15/10/2008;2.1729
15/11/2008;2.2663
15/12/2008;2.3944
15/01/2009;2.3074
15/02/2009;2.3127
15/03/2009;2.3138
15/04/2009;2.2058
15/05/2009;2.0609
15/06/2009;1.9576
15/07/2009;1.9328
15/08/2009;1.8452
15/09/2009;1.8198
15/10/2009;1.7384
15/11/2009;1.7262
15/12/2009;1.7503
15/01/2010;1.7798
15/02/2010;1.8416
15/03/2010;1.7858
15/04/2010;1.7566
15/05/2010;1.8132
15/06/2010;1.8065
15/07/2010;1.7696
15/08/2010;1.7596
15/09/2010;1.7187
15/10/2010;1.6835
15/11/2010;1.7133
15/12/2010;1.6934
15/01/2011;1.6749
15/02/2011;1.668
15/03/2011;1.6591
15/04/2011;1.5864
15/05/2011;1.6135
15/06/2011;1.587
15/07/2011;1.5639
15/08/2011;1.597
15/09/2011;1.7498
15/10/2011;1.7726
15/11/2011;1.7905
15/12/2011;1.8369
15/01/2012;1.7897
15/02/2012;1.7184
15/03/2012;1.7953
15/04/2012;1.8548
15/05/2012;1.986
15/06/2012;2.0492
15/07/2012;2.0287
15/08/2012;2.0294
15/09/2012;2.0281
15/10/2012;2.0298
15/11/2012;2.0678
15/12/2012;2.0778
15/01/2013;2.0311
15/02/2013;1.9732
15/03/2013;1.9828
15/04/2013;2.0022
15/05/2013;2.0348
15/06/2013;2.173
15/07/2013;2.2522
15/08/2013;2.3422
15/09/2013;2.2705
15/10/2013;2.1886
15/11/2013;2.2954
15/12/2013;2.3455
15/01/2014;2.3822
15/02/2014;2.3837
15/03/2014;2.3261
15/04/2014;2.2328
15/05/2014;2.2209
15/06/2014;2.2355
15/07/2014;2.2246
15/08/2014;2.268
15/09/2014;2.3329
15/10/2014;2.4483
15/11/2014;2.5484
15/12/2014;2.6394
15/01/2015;2.6342
15/02/2015;2.8164
15/03/2015;3.1395
15/04/2015;3.0432
15/05/2015;3.0617
15/06/2015;3.1117
15/07/2015;3.2231
15/08/2015;3.5143
15/09/2015;3.9065
15/10/2015;3.8801
15/11/2015;3.7765
15/12/2015;3.8711
15/01/2016;4.0524
15/02/2016;3.9737
15/03/2016;3.7039
15/04/2016;3.5658
15/05/2016;3.5393
15/06/2016;3.4245
15/07/2016;3.2756
15/08/2016;3.2097
15/09/2016;3.2564
15/10/2016;3.1858
15/11/2016;3.342
15/12/2016;3.3523
15/01/2017;3.1966
15/02/2017;3.1042
15/03/2017;3.1279
15/04/2017;3.1362
15/05/2017;3.2095
15/06/2017;3.2954
15/07/2017;3.2061
15/08/2017;3.1509
15/09/2017;3.1348
15/10/2017;3.1912
15/11/2017;3.2594
15/12/2017;3.2919
15/01/2018;3.2106
15/02/2018;3.2415
15/03/2018;3.2792
15/04/2018;3.4075
15/05/2018;3.6361
15/06/2018;3.7732
15/07/2018;3.8288
15/08/2018;3.9298
15/09/2018;4.1165
15/10/2018;3.7584
15/11/2018;3.7867
15/12/2018;3.8851
15/01/2019;3.7417
15/02/2019;3.7236
15/03/2019;3.8465
15/04/2019;3.8962
15/05/2019;4.0015
15/06/2019;3.8588
15/07/2019;3.7793
15/08/2019;4.02
15/09/2019;4.1215
15/10/2019;4.087
15/11/2019;4.1553
15/12/2019;4.1096
15/01/2020;4.1495
15/02/2020;4.341
15/03/2020;4.8839
15/04/2020;5.3256
15/05/2020;5.6434
15/06/2020;5.1966
15/07/2020;5.2802
15/08/2020;5.4612
15/09/2020;5.3995
15/10/2020;5.6258
15/11/2020;5.4178
15/12/2020;5.1456
15/01/2021;5.3562
15/02/2021;5.4165
15/03/2021;5.6461
15/04/2021;5.5621
15/05/2021;5.2911
15/06/2021;5.0319
15/07/2021;5.1567
15/08/2021;5.2517
15/09/2021;5.2797
15/10/2021;5.54
15/11/2021;5.5569
15/12/2021;5.6514
15/01/2022;5.5341
15/02/2022;5.1966
15/03/2022;4.9684
15/04/2022;4.758
15/05/2022;4.955
15/06/2022;5.0492
15/07/2022;5.3681
15/08/2022;5.1433
15/09/2022;5.237
15/10/2022;5.2503
15/11/2022;5.2746
15/12/2022;5.2424
15/01/2023;5.2007
15/02/2023;5.1717
