Data;idUF;sigla;EXP;IMP;BalancaUF
15/01/2000;12;AC;75192;93749;-18557
15/01/2000;27;AL;25055929;5314818;19741111
15/01/2000;16;AP;2624561;1654433;970128
15/01/2000;13;AM;41029862;277873355;-236843493
15/01/2000;29;BA;136945740;127062827;9882913
15/01/2000;23;CE;32361900;47904749;-15542849
15/01/2000;53;DF;301949;46285222;-45983273
15/01/2000;32;ES;209439751;153437675;56002076
15/01/2000;52;GO;21168034;26855674;-5687640
15/01/2000;21;MA;69813594;13681979;56131615
15/01/2000;51;MT;15259344;6234143;9025201
15/01/2000;50;MS;7000549;10522485;-3521936
15/01/2000;31;MG;530233434;161495295;368738139
15/01/2000;15;PA;180552055;20433807;160118248
15/01/2000;25;PB;7450773;6573756;877017
15/01/2000;41;PR;215246267;234087981;-18841714
15/01/2000;26;PE;19845220;55758451;-35913231
15/01/2000;22;PI;2710067;831111;1878956
15/01/2000;33;RJ;127023442;354623999;-227600557
15/01/2000;24;RN;9888057;5892282;3995775
15/01/2000;43;RS;339501859;247064215;92437644
15/01/2000;11;RO;3930651;187701;3742950
15/01/2000;14;RR;146903;185641;-38738
15/01/2000;42;SC;157856916;67788936;90067980
15/01/2000;35;SP;1235978059;1685606705;-449628646
15/01/2000;28;SE;2231974;4994557;-2762583
15/01/2000;17;TO;1013100;1231730;-218630
15/02/2000;12;AC;7483;51685;-44202
15/02/2000;27;AL;13964859;5813767;8151092
15/02/2000;16;AP;5510439;265606;5244833
15/02/2000;13;AM;50501936;226868401;-176366465
15/02/2000;29;BA;169765913;142960816;26805097
15/02/2000;23;CE;36820620;45387178;-8566558
15/02/2000;53;DF;52859;32215913;-32163054
15/02/2000;32;ES;208967378;160521816;48445562
15/02/2000;52;GO;32469069;24579038;7890031
15/02/2000;21;MA;46242188;17356346;28885842
15/02/2000;51;MT;34273713;2393150;31880563
15/02/2000;50;MS;17640846;8668967;8971879
15/02/2000;31;MG;514747426;213774396;300973030
15/02/2000;15;PA;212517248;19207479;193309769
15/02/2000;25;PB;4503988;15061932;-10557944
15/02/2000;41;PR;236541374;272027661;-35486287
15/02/2000;26;PE;30331315;77678405;-47347090
15/02/2000;22;PI;4640808;1167579;3473229
15/02/2000;33;RJ;131768143;405034914;-273266771
15/02/2000;24;RN;9964081;4205969;5758112
15/02/2000;43;RS;351771973;272790348;78981625
15/02/2000;11;RO;4144836;233868;3910968
15/02/2000;14;RR;184285;257443;-73158
15/02/2000;42;SC;215486765;81621555;133865210
15/02/2000;35;SP;1636188901;2002855014;-366666113
15/02/2000;28;SE;990898;9684788;-8693890
15/02/2000;17;TO;88910;100556;-11646
15/03/2000;12;AC;157726;17145;140581
15/03/2000;27;AL;6480592;5364962;1115630
15/03/2000;16;AP;2097462;5207907;-3110445
15/03/2000;13;AM;49074256;295207219;-246132963
15/03/2000;29;BA;148248277;196064587;-47816310
15/03/2000;23;CE;43661172;78555912;-34894740
15/03/2000;53;DF;186357;32851161;-32664804
15/03/2000;32;ES;288137580;188288642;99848938
15/03/2000;52;GO;36133297;22615103;13518194
15/03/2000;21;MA;68128711;27661458;40467253
15/03/2000;51;MT;52852720;5118592;47734128
15/03/2000;50;MS;16589533;8471916;8117617
15/03/2000;31;MG;554351264;221133490;333217774
15/03/2000;15;PA;202234460;19568276;182666184
15/03/2000;25;PB;8000462;16008321;-8007859
15/03/2000;41;PR;308113618;303560110;4553508
15/03/2000;26;PE;20406590;77039110;-56632520
15/03/2000;22;PI;3115814;556530;2559284
15/03/2000;33;RJ;143873503;494554998;-350681495
15/03/2000;24;RN;15542504;3938844;11603660
15/03/2000;43;RS;415373847;357117320;58256527
15/03/2000;11;RO;4736372;186075;4550297
15/03/2000;14;RR;185209;252077;-66868
15/03/2000;42;SC;250667453;83007360;167660093
15/03/2000;35;SP;1622522652;1992919942;-370397290
15/03/2000;28;SE;4710623;5898046;-1187423
15/03/2000;17;TO;51345;3191252;-3139907
15/04/2000;12;AC;122901;4916423;-4793522
15/04/2000;27;AL;11545983;3665016;7880967
15/04/2000;16;AP;2569560;413164;2156396
15/04/2000;13;AM;63681477;288079397;-224397920
15/04/2000;29;BA;122249505;195253175;-73003670
15/04/2000;23;CE;36821621;41540203;-4718582
15/04/2000;53;DF;205793;36568504;-36362711
15/04/2000;32;ES;192867233;145852404;47014829
15/04/2000;52;GO;31277911;20520138;10757773
15/04/2000;21;MA;62879654;12102358;50777296
15/04/2000;51;MT;113363471;4805941;108557530
15/04/2000;50;MS;12411196;7760479;4650717
15/04/2000;31;MG;531028490;161976033;369052457
15/04/2000;15;PA;194510292;9486774;185023518
15/04/2000;25;PB;6548384;7228791;-680407
15/04/2000;41;PR;375305786;377198400;-1892614
15/04/2000;26;PE;16401918;54518720;-38116802
15/04/2000;22;PI;4183241;1214979;2968262
15/04/2000;33;RJ;135656798;289508546;-153851748
15/04/2000;24;RN;8463405;3824580;4638825
15/04/2000;43;RS;464741682;247501145;217240537
15/04/2000;11;RO;4211735;283908;3927827
15/04/2000;14;RR;256915;272292;-15377
15/04/2000;42;SC;213969892;73122444;140847448
15/04/2000;35;SP;1480652066;1991416684;-510764618
15/04/2000;28;SE;2618072;8568268;-5950196
15/04/2000;17;TO;43911;447494;-403583
15/05/2000;12;AC;104928;43014;61914
15/05/2000;27;AL;7353991;8200848;-846857
15/05/2000;16;AP;3198516;2075755;1122761
15/05/2000;13;AM;50819830;317735374;-266915544
15/05/2000;29;BA;190619745;210937379;-20317634
15/05/2000;23;CE;48220707;76821907;-28601200
15/05/2000;53;DF;66547;32669093;-32602546
15/05/2000;32;ES;264906817;152857340;112049477
15/05/2000;52;GO;58186808;23921788;34265020
15/05/2000;21;MA;51871944;72117371;-20245427
15/05/2000;51;MT;115635566;2560041;113075525
15/05/2000;50;MS;29973284;11555143;18418141
15/05/2000;31;MG;622617117;240642040;381975077
15/05/2000;15;PA;220415124;16572736;203842388
15/05/2000;25;PB;7868459;13485042;-5616583
15/05/2000;41;PR;471417608;388860608;82557000
15/05/2000;26;PE;21223192;88814221;-67591029
15/05/2000;22;PI;4605811;856805;3749006
15/05/2000;33;RJ;167431349;454774624;-287343275
15/05/2000;24;RN;12542945;8378924;4164021
15/05/2000;43;RS;472327914;289749230;182578684
15/05/2000;11;RO;4461915;116490;4345425
15/05/2000;14;RR;241937;456953;-215016
15/05/2000;42;SC;231108559;82078698;149029861
15/05/2000;35;SP;1659470165;2180041343;-520571178
15/05/2000;28;SE;832518;7999785;-7167267
15/05/2000;17;TO;110836;1437786;-1326950
15/06/2000;12;AC;74112;21258;52854
15/06/2000;27;AL;2238814;3429174;-1190360
15/06/2000;16;AP;1333781;1782813;-449032
15/06/2000;13;AM;72352758;299566007;-227213249
