Data;IBC_Br
15/01/2003;96,15
15/02/2003;98,67
15/03/2003;103,41
15/04/2003;102,19
15/05/2003;100,30
15/06/2003;98,58
15/07/2003;103,05
15/08/2003;101,47
15/09/2003;102,87
15/10/2003;105,06
15/11/2003;101,95
15/12/2003;99,74
15/01/2004;98,59
15/02/2004;99,45
15/03/2004;111,98
15/04/2004;107,36
15/05/2004;106,03
15/06/2004;107,00
15/07/2004;111,47
15/08/2004;110,65
15/09/2004;109,21
15/10/2004;108,89
15/11/2004;109,59
15/12/2004;107,56
15/01/2005;103,52
15/02/2005;104,00
15/03/2005;115,42
15/04/2005;112,35
15/05/2005;110,86
15/06/2005;111,50
15/07/2005;113,15
15/08/2005;115,15
15/09/2005;110,95
15/10/2005;111,33
15/11/2005;111,73
15/12/2005;111,25
15/01/2006;108,55
15/02/2006;107,80
15/03/2006;119,09
15/04/2006;112,61
15/05/2006;117,19
15/06/2006;114,40
15/07/2006;119,41
15/08/2006;121,06
15/09/2006;116,21
15/10/2006;119,33
15/11/2006;118,67
15/12/2006;116,30
15/01/2007;114,79
15/02/2007;113,33
15/03/2007;125,11
15/04/2007;120,29
15/05/2007;123,90
15/06/2007;122,38
15/07/2007;127,85
15/08/2007;129,05
15/09/2007;123,24
15/10/2007;129,17
15/11/2007;125,88
15/12/2007;122,43
15/01/2008;121,86
15/02/2008;121,91
15/03/2008;128,99
15/04/2008;129,48
15/05/2008;128,92
15/06/2008;130,59
15/07/2008;136,53
15/08/2008;133,87
15/09/2008;132,60
15/10/2008;132,80
15/11/2008;124,58
15/12/2008;118,90
15/01/2009;115,20
15/02/2009;115,26
15/03/2009;127,81
15/04/2009;123,09
15/05/2009;124,41
15/06/2009;125,61
15/07/2009;131,44
15/08/2009;130,70
15/09/2009;129,81
15/10/2009;132,48
15/11/2009;129,62
15/12/2009;129,23
15/01/2010;125,81
15/02/2010;127,61
15/03/2010;143,44
15/04/2010;136,87
15/05/2010;136,52
15/06/2010;136,09
15/07/2010;141,64
15/08/2010;141,55
15/09/2010;139,46
15/10/2010;139,33
15/11/2010;139,68
15/12/2010;136,69
15/01/2011;132,66
15/02/2011;136,18
15/03/2011;144,93
15/04/2011;139,89
15/05/2011;143,23
15/06/2011;141,75
15/07/2011;145,19
15/08/2011;147,51
15/09/2011;142,30
15/10/2011;142,02
15/11/2011;141,87
15/12/2011;139,23
15/01/2012;133,34
15/02/2012;135,35
15/03/2012;146,35
15/04/2012;139,85
15/05/2012;144,56
15/06/2012;142,28
15/07/2012;147,46
15/08/2012;149,91
15/09/2012;141,60
15/10/2012;147,71
15/11/2012;144,15
15/12/2012;139,52
15/01/2013;139,32
15/02/2013;136,14
15/03/2013;148,01
15/04/2013;149,79
15/05/2013;147,03
15/06/2013;144,87
15/07/2013;152,13
15/08/2013;151,81
15/09/2013;147,27
15/10/2013;151,90
15/11/2013;147,79
15/12/2013;145,77
15/01/2014;142,72
15/02/2014;143,53
15/03/2014;149,03
15/04/2014;147,69
15/05/2014;147,14
15/06/2014;140,88
15/07/2014;149,85
15/08/2014;148,27
15/09/2014;148,12
15/10/2014;149,70
15/11/2014;144,92
15/12/2014;145,48
15/01/2015;138,73
15/02/2015;136,55
15/03/2015;149,50
15/04/2015;142,43
15/05/2015;139,81
15/06/2015;138,53
15/07/2015;143,15
15/08/2015;140,83
15/09/2015;138,07
15/10/2015;140,19
15/11/2015;135,94
15/12/2015;136,22
15/01/2016;128,26
15/02/2016;130,81
15/03/2016;140,29
15/04/2016;136,03
15/05/2016;133,56
15/06/2016;135,27
15/07/2016;136,70
15/08/2016;138,17
15/09/2016;133,88
15/10/2016;132,74
15/11/2016;132,37
15/12/2016;133,32
15/01/2017;128,47
15/02/2017;129,39
15/03/2017;141,90
15/04/2017;133,76
15/05/2017;135,99
15/06/2017;134,89
15/07/2017;138,43
15/08/2017;140,14
15/09/2017;134,85
15/10/2017;136,06
15/11/2017;135,08
15/12/2017;135,77
15/01/2018;132,12
15/02/2018;129,95
15/03/2018;141,57
15/04/2018;139,08
15/05/2018;132,29
15/06/2018;136,96
15/07/2018;141,07
15/08/2018;143,43
15/09/2018;135,78
15/10/2018;139,86
15/11/2018;137,67
15/12/2018;136,34
15/01/2019;133,58
15/02/2019;133,92
15/03/2019;139,04
15/04/2019;139,70
15/05/2019;139,41
15/06/2019;135,13
15/07/2019;143,15
15/08/2019;141,95
15/09/2019;138,33
15/10/2019;142,94
15/11/2019;138,88
15/12/2019;137,43
15/01/2020;133,92
15/02/2020;134,36
15/03/2020;136,03
15/04/2020;118,32
15/05/2020;119,45
15/06/2020;125,80
15/07/2020;135,81
15/08/2020;135,62
15/09/2020;137,09
15/10/2020;139,80
15/11/2020;138,14
15/12/2020;139,27
15/01/2021;131,12
15/02/2021;134,17
15/03/2021;144,72
15/04/2021;139,28
15/05/2021;137,69
15/06/2021;137,91
15/07/2021;143,07
15/08/2021;141,97
15/09/2021;138,79
15/10/2021;138,02
15/11/2021;139,75
15/12/2021;141,61
15/01/2022;131,64
15/02/2022;136,65
15/03/2022;149,28
15/04/2022;142,92
15/05/2022;142,92
15/06/2022;142,53
15/07/2022;149,83
15/08/2022;149,98
15/09/2022;144,69
15/10/2022;142,54
15/11/2022;140,99
15/12/2022;142,94
15/01/2023;136,10
15/02/2023;140,96
15/03/2023;157,96
15/04/2023;147,82
15/05/2023;145,99
