Data;EXP_BC_US;EXP_CL_US;EXP_BI_US;EXP_BK_US;EXP_BNEA_US;IMP_BK_US;IMP_BC_US;IMP_BI_US;IMP_BK_US;IMP_BNEA_US
15/01/2000;735700406;103593354;2280244987;324063434;3166325;567413913;350483538;2319478712;567413913;24471120
15/02/2000;890445621;115512325;2571205884;540457010;3172551;696154414;375253883;2588381431;696154414;3185111
15/03/2000;911874542;123438428;2809342201;618363203;4429275;642721039;461259855;2791662998;642721039;41046495
15/04/2000;865439497;69413424;2740829936;490226856;4310885;605392774;401397108;2615540976;605392774;153115
15/05/2000;931331574;178446301;3270544742;672642320;7424327;714954827;443781760;2985794481;714954827;40309
15/06/2000;1023456856;160269858;3094768367;564888156;6718920;680684399;393621452;2956774846;680684399;97966
15/07/2000;1038179333;270637693;3168589320;517764202;5136903;760385056;486888664;3066004334;760385056;493606
15/08/2000;1146601102;186808113;3422249757;755483517;5265425;768291393;523966583;3391912781;768291393;613822
15/09/2000;998796176;175785342;2870336465;655092930;5718703;779443258;578187039;3096647409;779443258;234364
15/10/2000;1067201501;108921517;2908431677;544968330;5297902;758456045;521150848;3283592548;758456045;1352838
15/11/2000;969682162;142780954;2792251316;464449017;5013184;779754836;575542559;3143517498;779754836;58474
15/12/2000;1026456528;237362905;2719506359;656449778;6219972;940181243;566842830;2846256853;940181243;253007
15/01/2001;842662337;402895391;2751114112;527158600;4845416;890240713;469984000;3025942770;890240713;340898
15/02/2001;918103273;352706405;2307768947;468174816;16134223;693875023;395256683;2531687878;693875023;15982102
15/03/2001;1080071238;224584468;3058678569;784921475;5513718;931409795;587368498;3393260756;931409795;604950
15/04/2001;997443455;337686640;2817639576;555766304;5167733;701479529;531955320;3016809790;701479529;417715
15/05/2001;1107821444;288296570;3383804873;574416288;7844562;885716891;504616112;3221770128;885716891;426423
15/06/2001;1100016021;266932909;3065043490;593687510;7728277;754034595;459572173;2871116042;754034595;398771
15/07/2001;1144985807;241373791;3105326019;461422050;4457152;768331521;505943759;2998265533;768331521;2913339
15/08/2001;1255872285;240389427;3495288292;721207410;7180545;808216021;496768988;3178183890;808216021;2025834
15/09/2001;1130543989;202432587;2857064383;542527764;5661700;687656337;431869657;2507578381;687656337;3170981
15/10/2001;1251453238;207272517;3086221910;395807283;3177187;739488267;491001814;2861433624;739488267;1473300
15/11/2001;1167084016;215877892;2628230944;470966067;5222366;671386795;475995826;2499724189;671386795;18069932
15/12/2001;1014571337;221661485;2552540557;537487614;4357989;648288196;402837245;2051287172;648288196;340080
15/01/2002;824920064;168681683;2273785787;677815093;6835521;701691574;373487327;2342133861;701691574;551710
15/02/2002;957020453;135905708;2170244952;383777102;5742996;554428338;341300112;2135239993;554428338;0
15/03/2002;1028145481;292321989;2464375112;462735576;4177163;550711189;442221529;2271364095;550711189;350526
