DATA;Exportacao;Importacao;Saldo;Corrente
15/06/2023;29959414070;19501632807;10457781263;49461046877
15/05/2023;32722610152;21688451849;11034158303;54411062001
15/04/2023;27097370110;19141301054;7956069056;46238671164
15/03/2023;32823911628;22071807459;10752104169;54895719087
15/02/2023;20254669359;17683513588;2571155771;37938182947
15/01/2023;22821864891;20528519512;2293345379;43350384403
15/12/2022;26342396058;21809042646;4533353412;48151438704
15/11/2022;27652303451;21451985909;6200317542;49104289360
15/10/2022;26852476461;23477105126;3375371335;50329581587
15/09/2022;28587334142;24892711361;3694622781;53480045503
15/08/2022;30786908834;26680226835;4106681999;57467135669
15/07/2022;29844324640;24487010025;5357314615;54331334665
15/06/2022;32742194543;23852259120;8889935423;56594453663
15/05/2022;29642851197;24685194348;4957656849;54328045545
15/04/2022;28969694687;20742942801;8226751886;49712637488
15/03/2022;29422320196;21809139241;7613180955;51231459437
15/02/2022;23513305117;18884032639;4629272478;42397337756
15/01/2022;19779928894;19839036895;-59108001;39618965789
15/12/2021;24432406778;20419466049;4012940729;44851872827
15/11/2021;20501766210;21611840519;-1110074309;42113606729
15/10/2021;22602637234;20538918428;2063718806;43141555662
15/09/2021;24376129510;19975447581;4400681929;44351577091
15/08/2021;27216375900;19557276638;7659099262;46773652538
15/07/2021;25508595503;18128645229;7379950274;43637240732
15/06/2021;28257895138;17843605079;10414290059;46101500217
15/05/2021;26200662606;17664681736;8535980870;43865344342
15/04/2021;26059431856;16096324095;9963107761;42155755951
15/03/2021;24335759852;17865278864;6470480988;42201038716
15/02/2021;16375290870;14539172569;1836118301;30914463439
15/01/2021;14947626003;15167392393;-219766390;30115018396
15/12/2020;18451708927;15748589294;2703119633;34200298221
15/11/2020;17344900538;14856582072;2488318466;32201482610
15/10/2020;17649335596;13245304357;4404031239;30894639953
15/09/2020;18223387712;13139951686;5083436026;31363339398
15/08/2020;17403775488;11585200604;5818574884;28988976092
15/07/2020;19416007176;11814764185;7601242991;31230771361
15/06/2020;17478971342;10977106324;6501865018;28456077666
15/05/2020;17519841090;10681945943;6837895147;28201787033
15/04/2020;17593798650;11431019725;6162778925;29024818375
15/03/2020;18312350349;14266744622;4045605727;32579094971
15/02/2020;15356449520;13849450579;1506998941;29205900099
15/01/2020;14429715267;17190165488;-2760450221;31619880755
15/12/2019;18463268592;13248186239;5215082353;31711454831
15/11/2019;17609813357;14868295894;2741517463;32478109251
15/10/2019;19483912811;16987200927;2496711884;36471113738
15/09/2019;18620814373;15362321786;3258492587;33983136159
15/08/2019;19565551588;17603930758;1961620830;37169482346
15/07/2019;19920683762;18032908964;1887774798;37953592726
15/06/2019;18306721692;13944367799;4362353893;32251089491
15/05/2019;20500498556;16130590785;4369907771;36631089341
15/04/2019;19090646313;14664020352;4426625961;33754666665
15/03/2019;17308721624;14066000746;3242720878;31374722370
15/02/2019;15618080347;13566766788;2051313559;29184847135
15/01/2019;16638094632;17453376542;-815281910;34091471174
15/12/2018;19257634148;13640421233;5617212915;32898055381
15/11/2018;19199739213;15529846968;3669892245;34729586181
15/10/2018;21671364889;16921935159;4749429730;38593300048
15/09/2018;19041023535;14948421194;4092602341;33989444729
15/08/2018;20084138252;19768276314;315861938;39852414566
15/07/2018;21055288607;17759842765;3295445842;38815131372
15/06/2018;19830021392;15008152809;4821868583;34838174201
15/05/2018;19271601072;14039984530;5231616542;33311585602
15/04/2018;19678336251;14653559274;5024776977;34331895525
15/03/2018;20228663646;14668560310;5560103336;34897223956
15/02/2018;15801987736;13268767883;2533219853;29070755619
15/01/2018;16769724658;15114215063;1655509595;31883939721
15/12/2017;17476274644;13323465863;4152808781;30799740507
15/11/2017;16584235219;13951600049;2632635170;30535835268
15/10/2017;18694329848;14598898881;4095430967;33293228729
15/09/2017;18533214138;14242528368;4290685770;32775742506
15/08/2017;19336799997;14789290641;4547509356;34126090638
15/07/2017;17658900096;13263065205;4395834891;30921965301
15/06/2017;19535151809;13408998263;6126153546;32944150072
15/05/2017;19726040175;12968955269;6757084906;32694995444
15/04/2017;17484572350;11459643696;6024928654;28944216046
