Data;IGPM
15/06/1989;19.68
15/07/1989;35.9051127766
15/08/1989;36.9161407533
15/09/1989;39.9175643343
15/10/1989;40.6362671267
15/11/1989;40.4817298239
15/12/1989;47.1319259269
15/01/1990;61.4600847127
15/02/1990;81.2853455849
15/03/1990;83.9452765318
15/04/1990;28.3500801557
15/05/1990;5.9263885249
15/06/1990;9.936978169
15/07/1990;12.0116832126
15/08/1990;13.6199210219
15/09/1990;12.802432292
15/10/1990;12.9695004447
15/11/1990;16.8589170143
15/12/1990;17.9992594653
15/01/1991;17.7005607501
15/02/1991;21.0181836704
15/03/1991;9.1862670137
15/04/1991;7.8065907426
15/05/1991;7.4812412055
15/06/1991;8.4803065232
15/07/1991;13.219950432
15/08/1991;15.2514638463
15/09/1991;14.9253452955
15/10/1991;22.6331036833
15/11/1991;25.6223448604
15/12/1991;23.6342662094
15/01/1992;23.5566292164
15/02/1992;27.8574901466
15/03/1992;21.3938962426
15/04/1992;19.9387266337
15/05/1992;20.4250723797
15/06/1992;23.6087355105
15/07/1992;21.83508272
15/08/1992;24.6286073221
15/09/1992;25.270852797
15/10/1992;26.7614387209
15/11/1992;23.4288958274
15/12/1992;25.0754718559
15/01/1993;25.8299819813
15/02/1993;28.4113400939
15/03/1993;26.2532094451
15/04/1993;28.8333434388
15/05/1993;29.7004125004
15/06/1993;31.4951749568
15/07/1993;31.2515382263
15/08/1993;31.7854829361
15/09/1993;35.2818164571
15/10/1993;35.0370198023
15/11/1993;36.153228852
15/12/1993;38.3235619411
15/01/1994;39.0707146662
15/02/1994;40.7784226083
15/03/1994;45.7108290285
15/04/1994;40.9092905969
15/05/1994;42.5775294701
15/06/1994;45.2129380997
15/07/1994;4.33
15/08/1994;3.94
15/09/1994;1.751
15/10/1994;1.8191467406
15/11/1994;2.84840061
15/12/1994;0.84183458
15/01/1995;0.9232201024
15/02/1995;1.3859943564
15/03/1995;1.1214698258
15/04/1995;2.1047329508
15/05/1995;0.5752391691
15/06/1995;2.4638480875
15/07/1995;1.8207618136
15/08/1995;2.1953758584
15/09/1995;-0.7064873613
15/10/1995;0.524534827
15/11/1995;1.1950322214
15/12/1995;0.7140823879
15/01/1996;1.7313640144
15/02/1996;0.9723997238
15/03/1996;0.4032955457
15/04/1996;0.3249422542
15/05/1996;1.5538905799
15/06/1996;1.0175144673
15/07/1996;1.3450492601
15/08/1996;0.2807533799
15/09/1996;0.1010577377
15/10/1996;0.1914419467
15/11/1996;0.1970472764
15/12/1996;0.7322596505
15/01/1997;1.7659456461
15/02/1997;0.4294652395
15/03/1997;1.1511967816
15/04/1997;0.6774205086
15/05/1997;0.2117349476
15/06/1997;0.744469654
15/07/1997;0.0921950876
15/08/1997;0.0928132976
15/09/1997;0.4840080645
15/10/1997;0.3670250696
15/11/1997;0.636636553
15/12/1997;0.8402488909
15/01/1998;0.9581660318
15/02/1998;0.1801605809
15/03/1998;0.189337387
15/04/1998;0.1259863853
15/05/1998;0.1352987735
15/06/1998;0.3830537559
15/07/1998;-0.1675774625
15/08/1998;-0.1550502565
15/09/1998;-0.084397302
15/10/1998;0.0783868526
15/11/1998;-0.3187035787
15/12/1998;0.4491017964
15/01/1999;0.8375423997
15/02/1999;3.6112430032
15/03/1999;2.8347737409
15/04/1999;0.7117527067
15/05/1999;-0.2885472301
15/06/1999;0.3606340159
15/07/1999;1.5488282588
15/08/1999;1.5595486324
15/09/1999;1.445625985
15/10/1999;1.7047923475
15/11/1999;2.3867354165
15/12/1999;1.8063439256
15/01/2000;1.236390996
15/02/2000;0.3516342117
15/03/2000;0.1541990217
15/04/2000;0.232322006
15/05/2000;0.3050072948
15/06/2000;0.8540581484
15/07/2000;1.5722876813
15/08/2000;2.3859532561
15/09/2000;1.1565412613
15/10/2000;0.3843825822
15/11/2000;0.2880849309
15/12/2000;0.6310412695
15/01/2001;0.6219775618
15/02/2001;0.2263442361
15/03/2001;0.5645826898
15/04/2001;0.99946628
15/05/2001;0.8639470365
15/06/2001;0.9815938791
15/07/2001;1.48352993
15/08/2001;1.384193189
15/09/2001;0.305407424
15/10/2001;1.179020455
15/11/2001;1.0996582903
15/12/2001;0.2216194914
15/01/2002;0.3613014253
15/02/2002;0.0599232982
15/03/2002;0.0930558243
15/04/2002;0.5568953773
15/05/2002;0.8265975852
15/06/2002;1.5415902529
15/07/2002;1.9531669111
15/08/2002;2.3200340266
15/09/2002;2.3977064299
15/10/2002;3.8737272069
15/11/2002;5.1897872272
15/12/2002;3.7486594147
15/01/2003;2.3280798325
15/02/2003;2.2848545854
15/03/2003;1.534006335
15/04/2003;0.9230341665
15/05/2003;-0.263328193
15/06/2003;-1.0022536903
15/07/2003;-0.4162555823
15/08/2003;0.3801868727
15/09/2003;1.182973826
15/10/2003;0.3798336591
15/11/2003;0.4903357839
15/12/2003;0.6143710897
15/01/2004;0.8775534462
15/02/2004;0.6928383142
15/03/2004;1.1324085497
15/04/2004;1.2122955264
15/05/2004;1.3068714458
15/06/2004;1.3757770384
15/07/2004;1.3081270534
15/08/2004;1.2180879786
15/09/2004;0.6944530601
15/10/2004;0.3924214002
15/11/2004;0.8170591394
15/12/2004;0.7355715973
15/01/2005;0.3906285404
15/02/2005;0.2979253562
15/03/2005;0.8506156837
15/04/2005;0.8648619702
15/05/2005;-0.2156151373
15/06/2005;-0.4428035554
15/07/2005;-0.3378849825
15/08/2005;-0.6521421783
15/09/2005;-0.5349742409
15/10/2005;0.6041786005
15/11/2005;0.4012658304
15/12/2005;-0.0080589076
15/01/2006;0.9184910121
15/02/2006;0.013310341
15/03/2006;-0.2333435859
15/04/2006;-0.42034867
15/05/2006;0.3762789465
15/06/2006;0.7494402183
15/07/2006;0.1766201959
15/08/2006;0.3708361739
15/09/2006;0.2889564194
15/10/2006;0.4653185856
15/11/2006;0.7528584504
15/12/2006;0.3160815121
15/01/2007;0.5033894699
15/02/2007;0.2663096801
15/03/2007;0.3403475939
15/04/2007;0.0432165633
15/05/2007;0.042913698
15/06/2007;0.2602124879
15/07/2007;0.2788040891
15/08/2007;0.984403255
15/09/2007;1.2851003346
15/10/2007;1.0489037202
15/11/2007;0.6943798969
15/12/2007;1.7595443266
15/01/2008;1.089871003
15/02/2008;0.5294272895
15/03/2008;0.7416527962
15/04/2008;0.6903273387
15/05/2008;1.607743672
15/06/2008;1.9842482781
15/07/2008;1.7643150791
15/08/2008;-0.32372388
15/09/2008;0.1058782105
15/10/2008;0.9757549372
15/11/2008;0.384873966
15/12/2008;-0.1283656553
15/01/2009;-0.4356435644
15/02/2009;0.2603823496
15/03/2009;-0.740174614
15/04/2009;-0.153748823
15/05/2009;-0.072694944
15/06/2009;-0.098062106
15/07/2009;-0.4349473291
15/08/2009;-0.3619804407
15/09/2009;0.419587703
15/10/2009;0.0454382694
15/11/2009;0.1034238477
15/12/2009;-0.2586623532
15/01/2010;0.6304094695
15/02/2010;1.1777451855
15/03/2010;0.9447775002
15/04/2010;0.7656337947
15/05/2010;1.1859151097
15/06/2010;0.850230605
15/07/2010;0.1546238617
15/08/2010;0.7695900969
15/09/2010;1.1537971236
15/10/2010;1.0095709896
15/11/2010;1.4465926697
15/12/2010;0.6920747933
15/01/2011;0.7936913309
15/02/2011;0.9963095566
15/03/2011;0.6221681206
15/04/2011;0.4470470397
15/05/2011;0.4316754836
15/06/2011;-0.1822437037
15/07/2011;-0.115402088
15/08/2011;0.4399399043
15/09/2011;0.645323284
15/10/2011;0.5311583773
15/11/2011;0.49674844
15/12/2011;-0.1173471111
15/01/2012;0.248704707
15/02/2012;-0.0613368913
15/03/2012;0.4277235741
15/04/2012;0.8532738583
15/05/2012;1.0226371169
15/06/2012;0.6600156656
15/07/2012;1.3410683496
15/08/2012;1.4277891495
15/09/2012;0.9656205611
15/10/2012;0.0240724225
15/11/2012;-0.0258420361
15/12/2012;0.6821298553
15/01/2013;0.3380682486
15/02/2013;0.2910286986
15/03/2013;0.2062449972
15/04/2013;0.1457652286
15/05/2013;0.0044636273
15/06/2013;0.747915288
15/07/2013;0.2610020553
15/08/2013;0.1463954445
15/09/2013;1.4992230514
15/10/2013;0.8573291626
15/11/2013;0.2899061319
15/12/2013;0.5983167902
15/01/2014;0.480896038
15/02/2014;0.3843174806
15/03/2014;1.6663658897
15/04/2014;0.7848400705
15/05/2014;-0.1331727831
15/06/2014;-0.7423350532
15/07/2014;-0.607737411
15/08/2014;-0.2657779432
15/09/2014;0.2000932793
15/10/2014;0.2842075865
15/11/2014;0.9779830942
15/12/2014;0.6207989271
15/01/2015;0.7647618382
15/02/2015;0.2705864365
15/03/2015;0.9808441075
15/04/2015;1.1656857512
15/05/2015;0.4063001692
15/06/2015;0.6715458172
15/07/2015;0.6911045826
15/08/2015;0.2755675908
15/09/2015;0.9461909183
15/10/2015;1.8911533913
15/11/2015;1.5242249087
15/12/2015;0.4874187975
15/01/2016;1.1370339879
15/02/2016;1.2905810339
15/03/2016;0.5117747748
15/04/2016;0.3281660945
15/05/2016;0.8184376735
15/06/2016;1.6875411382
15/07/2016;0.175211478
15/08/2016;0.146798016
15/09/2016;0.1970707838
15/10/2016;0.157255204
15/11/2016;-0.0265986956
15/12/2016;0.540021163
15/01/2017;0.6408550379
15/02/2017;0.083691187
15/03/2017;0.0147125277
15/04/2017;-1.0956218656
15/05/2017;-0.9318589524
15/06/2017;-0.6662499732
15/07/2017;-0.7160603878
15/08/2017;0.0958422781
15/09/2017;0.4681998128
15/10/2017;0.1964782206
15/11/2017;0.5243019585
15/12/2017;0.8873239653
15/01/2018;0.755025013
15/02/2018;0.0731715412
15/03/2018;0.6351470125
15/04/2018;0.5697173435
15/05/2018;1.3781659311
15/06/2018;1.8672336349
15/07/2018;0.5067165546
15/08/2018;0.6999138921
15/09/2018;1.5243480975
15/10/2018;0.8859122959
15/11/2018;-0.489505819
15/12/2018;-1.0801688
15/01/2019;0.0066436636
15/02/2019;0.8846793161
15/03/2019;1.2553467825
15/04/2019;0.9186295414
15/05/2019;0.4454675833
15/06/2019;0.7952552229
15/07/2019;0.3961154951
15/08/2019;-0.66689508
15/09/2019;-0.0054318158
15/10/2019;0.6750755742
15/11/2019;0.300135027
15/12/2019;2.0918341273
15/01/2020;0.4770047108
15/02/2020;-0.0406433182
15/03/2020;1.2440600559
15/04/2020;0.8022976831
15/05/2020;0.2800407659
15/06/2020;1.5570051776
15/07/2020;2.2278336608
15/08/2020;2.7441632524
15/09/2020;4.3407948692
15/10/2020;3.231419024
15/11/2020;3.2773938796
15/12/2020;0.9581082789
15/01/2021;2.5767096938
15/02/2021;2.5258540493
15/03/2021;2.9382654011
15/04/2021;1.5082790815
15/05/2021;4.0963346382
15/06/2021;0.6026434388
15/07/2021;0.7773304342
15/08/2021;0.663687223
15/09/2021;-0.6394267335
15/10/2021;0.6428961406
15/11/2021;0.0183270517
15/12/2021;0.8708335357
15/01/2022;1.8175493284
15/02/2022;1.8329186734
15/03/2022;1.7407971295
15/04/2022;1.4112920585
15/05/2022;0.5216465488
15/06/2022;0.5852428264
15/07/2022;0.2061497277
15/08/2022;-0.6982939438
15/09/2022;-0.9460727559
15/10/2022;-0.9713808142
15/11/2022;-0.5645260502
15/12/2022;0.4479036259
15/01/2023;0.2117990777
15/02/2023;-0.0605089109
15/03/2023;0.0514293135
15/04/2023;-0.9500076932
15/05/2023;-1.8440398262
15/06/2023;-1.9298745069
