Data;DataReferencia;IPCA;IPCA_Livres;IPCA_Servicos;IPCA_BensIndustrializados;IPCA_AlimentacaoDomicilio;IPCA_Administrados;Cambio;IGP-M;TaxaDesocupacao;Caminho
02/12/2021;15/11/2023;0.32;0.345;0.305;0.2398;0.59;0.415;5.5;;12.7;C:\Users\cacau\OneDrive - uema.br\Documentos\MESTRADO\DISSERTACAO\Dados_Abertos
02/12/2021;15/10/2023;0.3;0.415;0.31;0.41;0.53;0.2914;5.5;;12.7;C:\Users\cacau\OneDrive - uema.br\Documentos\MESTRADO\DISSERTACAO\Dados_Abertos
02/12/2021;15/09/2023;0.2262;0.29;0.35;0.3;0.15;0.31;5.5;;12.7;C:\Users\cacau\OneDrive - uema.br\Documentos\MESTRADO\DISSERTACAO\Dados_Abertos
02/12/2021;15/08/2023;0.15;0.14;0.2022;0.22;0.06;0.3178;5.5;;12.7;C:\Users\cacau\OneDrive - uema.br\Documentos\MESTRADO\DISSERTACAO\Dados_Abertos
02/12/2021;15/07/2023;0.2;0.2062;0.48;0.1151;0.0;0.495;5.52;;12.7;C:\Users\cacau\OneDrive - uema.br\Documentos\MESTRADO\DISSERTACAO\Dados_Abertos
02/12/2021;15/06/2023;0.19;0.21;0.3017;0.194;0.0684;0.48;5.5;;12.7;C:\Users\cacau\OneDrive - uema.br\Documentos\MESTRADO\DISSERTACAO\Dados_Abertos
02/12/2021;15/05/2023;0.25;0.21;0.125;0.2695;0.22;0.42;5.5;0.2411;12.7;C:\Users\cacau\OneDrive - uema.br\Documentos\MESTRADO\DISSERTACAO\Dados_Abertos
02/12/2021;15/03/2023;0.3;0.31;0.27;0.3;0.5;0.3;5.515;0.3181;14.2;C:\Users\cacau\OneDrive - uema.br\Documentos\MESTRADO\DISSERTACAO\Dados_Abertos
02/12/2021;15/02/2023;0.3881;0.47;0.92;0.2577;0.3;0.32;5.51;0.35;12.3;C:\Users\cacau\OneDrive - uema.br\Documentos\MESTRADO\DISSERTACAO\Dados_Abertos
02/12/2021;15/01/2023;0.4;0.45;0.39;0.305;0.9;0.3815;5.6;0.4265;12.35;C:\Users\cacau\OneDrive - uema.br\Documentos\MESTRADO\DISSERTACAO\Dados_Abertos
02/12/2021;15/12/2022;0.575;0.675;0.7696;0.4983;0.81;0.4281;5.6;0.49;12.0;C:\Users\cacau\OneDrive - uema.br\Documentos\MESTRADO\DISSERTACAO\Dados_Abertos
02/12/2021;15/11/2022;0.4;0.38;0.33;0.32;0.575;0.52;5.6;0.5;12.0;C:\Users\cacau\OneDrive - uema.br\Documentos\MESTRADO\DISSERTACAO\Dados_Abertos
02/12/2021;15/04/2023;0.3;0.3;0.285;0.2702;0.45;0.37;5.52;0.3444;12.0;C:\Users\cacau\OneDrive - uema.br\Documentos\MESTRADO\DISSERTACAO\Dados_Abertos
