Data,Reservas_Internacionais,Reservas_InternacionaisDolar
2000-02-15 00:00:00,68107609200.00001,38364000000
2000-03-15 00:00:00,68286400000,39200000000
2000-04-15 00:00:00,50784472200,28721000000
2000-05-15 00:00:00,52223103000,28570000000
2000-06-15 00:00:00,51111599500,28265000000
2000-07-15 00:00:00,52520929200,29214000000
2000-08-15 00:00:00,56781742000,31385000000
2000-09-15 00:00:00,57807895200,31431000000
2000-10-15 00:00:00,57126682800,30393000000
2000-11-15 00:00:00,63374284000,32533000000
2000-12-15 00:00:00,64807195200,33011000000
2001-01-15 00:00:00,69576291000,35598000000
2001-02-15 00:00:00,70893284700,35413000000
2001-03-15 00:00:00,71876223000,34407000000
2001-04-15 00:00:00,75976702500,34653000000
2001-05-15 00:00:00,81456414800,35459000000
2001-06-15 00:00:00,88660104400,37318000000
2001-07-15 00:00:00,87671232000,35552000000
2001-08-15 00:00:00,91132269400,36299000000
2001-09-15 00:00:00,107012271800,40054000000
2001-10-15 00:00:00,102735578400,37492000000
2001-11-15 00:00:00,94689785400,37234000000
2001-12-15 00:00:00,84740598200,35866000000
2002-01-15 00:00:00,86001509300,36167000000
2002-02-15 00:00:00,86878157600,35906000000
2002-03-15 00:00:00,86169498600,36721000000
2002-04-15 00:00:00,76591763200,33008000000
2002-05-15 00:00:00,81577875600,32889000000
2002-06-15 00:00:00,113985286000,41999000000
2002-07-15 00:00:00,114625476000,39060000000
2002-08-15 00:00:00,117073494300,37643000000
2002-09-15 00:00:00,128269302000,38381000000
2002-10-15 00:00:00,136460544500,35855000000
2002-11-15 00:00:00,127291228800,35592000000
2002-12-15 00:00:00,137142415700,37823000000
2003-01-15 00:00:00,133313644800,38772000000
2003-02-15 00:00:00,138353524000,38530000000
2003-03-15 00:00:00,145924511500,42335000000
2003-04-15 00:00:00,129426050000,41500000000
2003-05-15 00:00:00,128197576100.00002,43373000000
2003-06-15 00:00:00,138266739200,47956000000
2003-07-15 00:00:00,137208071000,47645000000
2003-08-15 00:00:00,143498482500,47793000000
2003-09-15 00:00:00,153958490000,52675000000
2003-10-15 00:00:00,154787119500,54093000000
2003-11-15 00:00:00,158589392600,54427000000
2003-12-15 00:00:00,144205588800,49296000000
2004-01-15 00:00:00,151889719800,53261000000
2004-02-15 00:00:00,155188688000,52960000000
