Data;Taxa_SELIC_Periodo
15/06/1986;18,23
15/07/1986;23,51
15/08/1986;35,55
15/09/1986;39,39
15/10/1986;23,65
15/11/1986;34,32
15/12/1986;83,98
15/01/1987;250,03
15/02/1987;854,45
15/03/1987;314,71
15/04/1987;560,69
15/05/1987;1502,24
15/06/1987;630,28
15/07/1987;154,67
15/08/1987;154,24
15/09/1987;151,44
15/10/1987;195,52
15/11/1987;362,14
15/12/1987;366,05
15/01/1988;606,33
15/02/1988;833,98
15/03/1988;480,08
15/04/1988;1054,31
15/05/1988;762,51
15/06/1988;720,75
15/07/1988;1312,80
15/08/1988;835,07
15/09/1988;1539,21
15/10/1988;3076,43
15/11/1988;1909,30
15/12/1988;1962,12
15/01/1989;1253,74
15/02/1989;1034,67
15/03/1989;829,22
15/04/1989;324,54
15/05/1989;266,37
15/06/1989;1486,02
15/07/1989;3005,24
15/08/1989;2687,61
15/09/1989;6002,01
15/10/1989;10676,54
15/11/1989;14365,32
15/12/1989;51659,46
15/01/1990;36957,20
15/02/1990;438898,83
15/03/1990;3507,42
15/04/1990;73,21
15/05/1990;88,57
15/06/1990;187,11
15/07/1990;339,35
15/08/1990;230,48
15/09/1990;554,26
15/10/1990;524,39
15/11/1990;877,02
15/12/1990;1237,94
15/01/1991;789,54
15/02/1991;166,94
15/03/1991;213,32
15/04/1991;187,77
15/05/1991;198,99
15/06/1991;244,79
15/07/1991;259,48
15/08/1991;434,02
15/09/1991;772,46
15/10/1991;1152,41
15/11/1991;3343,48
15/12/1991;2495,22
15/01/1992;1757,41
15/02/1992;2316,07
15/03/1992;1903,48
15/04/1992;1619,83
15/05/1992;1257,14
15/06/1992;1257,75
15/07/1992;1181,45
15/08/1992;1447,92
15/09/1992;1773,24
15/10/1992;1866,66
15/11/1992;1815,18
15/12/1992;1300,85
15/01/1993;2259,56
15/02/1993;3397,11
15/03/1993;1441,34
15/04/1993;3326,22
15/05/1993;2430,28
15/06/1993;2676,49
15/07/1993;2461,37
15/08/1993;2916,19
15/09/1993;4359,96
15/10/1993;5902,32
15/11/1993;5892,16
15/12/1993;4010,32
15/01/1994;7065,02
15/02/1994;13442,03
15/03/1994;7784,35
15/04/1994;15710,86
15/05/1994;8784,03
15/06/1994;13532,65
15/07/1994;131,03
15/08/1994;56,46
15/09/1994;57,06
15/10/1994;60,30
15/11/1994;65,36
15/12/1994;53,25
15/01/1995;46,25
15/02/1995;56,54
15/03/1995;57,98
15/04/1995;85,47
15/05/1995;61,05
15/06/1995;60,84
15/07/1995;60,53
15/08/1995;51,11
15/09/1995;51,00
15/10/1995;44,11
15/11/1995;42,93
15/12/1995;41,22
15/01/1996;33,83
15/02/1996;36,11
15/03/1996;30,16
15/04/1996;29,42
15/05/1996;25,64
15/06/1996;29,65
15/07/1996;23,28
15/08/1996;25,01
15/09/1996;25,40
15/10/1996;23,48
15/11/1996;25,27
15/12/1996;23,94
15/01/1997;21,73
15/02/1997;26,14
15/03/1997;24,11
15/04/1997;21,84
15/05/1997;21,91
15/06/1997;21,08
15/07/1997;19,04
15/08/1997;20,78
15/09/1997;19,81
15/10/1997;19,93
15/11/1997;45,90
15/12/1997;39,87
15/01/1998;37,19
15/02/1998;34,32
15/03/1998;28,32
15/04/1998;25,16
15/05/1998;22,60
15/06/1998;21,02
15/07/1998;20,33
15/08/1998;19,23
15/09/1998;34,29
15/10/1998;41,60
15/11/1998;38,73
15/12/1998;31,24
15/01/1999;31,19
15/02/1999;38,97
15/03/1999;43,25
15/04/1999;36,12
15/05/1999;27,11
15/06/1999;22,01
15/07/1999;20,74
15/08/1999;19,51
15/09/1999;19,38
15/10/1999;18,91
15/11/1999;18,95
15/12/1999;18,99
15/01/2000;18,94
15/02/2000;18,87
15/03/2000;18,85
15/04/2000;18,62
15/05/2000;18,51
15/06/2000;18,04
15/07/2000;16,85
15/08/2000;16,52
15/09/2000;16,56
15/10/2000;16,60
15/11/2000;16,51
15/12/2000;16,19
15/01/2001;15,49
15/02/2001;15,20
15/03/2001;15,39
15/04/2001;16,02
15/05/2001;16,43
15/06/2001;17,28
15/07/2001;18,57
15/08/2001;19,00
15/09/2001;19,06
15/10/2001;19,06
15/11/2001;19,05
15/12/2001;19,05
15/01/2002;19,05
15/02/2002;18,97
15/03/2002;18,72
15/04/2002;18,38
15/05/2002;18,37
15/06/2002;18,10
15/07/2002;18,17
15/08/2002;17,84
15/09/2002;17,89
15/10/2002;19,59
15/11/2002;21,25
15/12/2002;23,03
15/01/2003;25,06
15/02/2003;25,68
15/03/2003;26,32
15/04/2003;26,32
15/05/2003;26,31
15/06/2003;26,09
15/07/2003;25,36
15/08/2003;23,50
15/09/2003;21,02
15/10/2003;19,54
15/11/2003;18,31
15/12/2003;16,91
15/01/2004;16,32
15/02/2004;16,30
15/03/2004;16,19
15/04/2004;15,96
15/05/2004;15,77
15/06/2004;15,80
15/07/2004;15,77
15/08/2004;15,86
15/09/2004;16,09
15/10/2004;16,41
15/11/2004;16,96
15/12/2004;17,50
15/01/2005;17,93
15/02/2005;18,47
15/03/2005;18,97
15/04/2005;19,32
15/05/2005;19,61
15/06/2005;19,75
15/07/2005;19,72
15/08/2005;19,75
15/09/2005;19,61
15/10/2005;19,25
15/11/2005;18,87
15/12/2005;18,24
15/01/2006;17,65
15/02/2006;17,28
15/03/2006;16,74
15/04/2006;16,19
15/05/2006;15,70
15/06/2006;15,18
15/07/2006;14,98
15/08/2006;14,66
15/09/2006;14,17
15/10/2006;13,95
15/11/2006;13,65
15/12/2006;13,19
15/01/2007;13,13
15/02/2007;12,93
15/03/2007;12,74
15/04/2007;12,58
15/05/2007;12,43
15/06/2007;12,03
15/07/2007;11,73
15/08/2007;11,43
15/09/2007;11,22
15/10/2007;11,18
15/11/2007;11,18
15/12/2007;11,18
15/01/2008;11,18
15/02/2008;11,18
15/03/2008;11,18
15/04/2008;11,37
15/05/2008;11,63
15/06/2008;12,09
15/07/2008;12,36
15/08/2008;12,92
15/09/2008;13,39
15/10/2008;13,66
15/11/2008;13,64
15/12/2008;13,66
15/01/2009;13,32
15/02/2009;12,66
15/03/2009;11,70
15/04/2009;11,11
15/05/2009;10,16
15/06/2009;9,54
15/07/2009;9,01
15/08/2009;8,65
15/09/2009;8,65
15/10/2009;8,65
15/11/2009;8,65
15/12/2009;8,65
15/01/2010;8,65
15/02/2010;8,65
15/03/2010;8,65
15/04/2010;8,72
15/05/2010;9,40
15/06/2010;9,94
15/07/2010;10,32
15/08/2010;10,66
15/09/2010;10,66
15/10/2010;10,66
15/11/2010;10,66
15/12/2010;10,66
15/01/2011;10,85
15/02/2011;11,17
15/03/2011;11,62
15/04/2011;11,74
15/05/2011;11,92
15/06/2011;12,10
15/07/2011;12,25
15/08/2011;12,42
15/09/2011;11,91
15/10/2011;11,70
15/11/2011;11,40
15/12/2011;10,90
15/01/2012;10,70
15/02/2012;10,40
15/03/2012;9,82
15/04/2012;9,35
15/05/2012;8,87
15/06/2012;8,39
15/07/2012;8,07
15/08/2012;7,85
15/09/2012;7,39
15/10/2012;7,23
15/11/2012;7,14
15/12/2012;7,16
15/01/2013;7,11
15/02/2013;7,12
15/03/2013;7,15
15/04/2013;7,26
15/05/2013;7,42
15/06/2013;7,90
15/07/2013;8,23
15/08/2013;8,45
15/09/2013;8,90
15/10/2013;9,25
15/11/2013;9,45
15/12/2013;9,90
15/01/2014;10,17
15/02/2014;10,43
15/03/2014;10,65
15/04/2014;10,87
15/05/2014;10,90
15/06/2014;10,90
15/07/2014;10,90
15/08/2014;10,90
15/09/2014;10,90
15/10/2014;10,92
15/11/2014;11,15
15/12/2014;11,58
15/01/2015;11,82
15/02/2015;12,15
15/03/2015;12,58
15/04/2015;12,68
15/05/2015;13,15
15/06/2015;13,58
15/07/2015;13,69
15/08/2015;14,15
15/09/2015;14,15
15/10/2015;14,15
15/11/2015;14,15
15/12/2015;14,15
15/01/2016;14,15
15/02/2016;14,15
15/03/2016;14,15
15/04/2016;14,15
15/05/2016;14,15
15/06/2016;14,15
15/07/2016;14,15
15/08/2016;14,15
15/09/2016;14,15
15/10/2016;14,05
15/11/2016;13,90
15/12/2016;13,65
15/01/2017;13,17
15/02/2017;12,82
15/03/2017;12,15
15/04/2017;11,59
15/05/2017;11,15
15/06/2017;10,15
15/07/2017;10,01
15/08/2017;9,15
15/09/2017;8,35
15/10/2017;8,01
15/11/2017;7,40
15/12/2017;7,00
15/01/2018;6,90
15/02/2018;6,72
15/03/2018;6,58
15/04/2018;6,40
15/05/2018;6,40
15/06/2018;6,40
15/07/2018;6,40
15/08/2018;6,40
15/09/2018;6,40
15/10/2018;6,40
15/11/2018;6,40
15/12/2018;6,40
15/01/2019;6,40
15/02/2019;6,40
15/03/2019;6,40
15/04/2019;6,40
15/05/2019;6,40
15/06/2019;6,40
15/07/2019;6,40
15/08/2019;5,90
15/09/2019;5,71
15/10/2019;5,38
15/11/2019;4,90
15/12/2019;4,59
15/01/2020;4,40
15/02/2020;4,19
15/03/2020;3,95
15/04/2020;3,65
15/05/2020;3,01
15/06/2020;2,58
15/07/2020;2,15
15/08/2020;1,94
15/09/2020;1,90
15/10/2020;1,90
15/11/2020;1,90
15/12/2020;1,90
15/01/2021;1,90
15/02/2021;1,90
15/03/2021;2,23
15/04/2021;2,65
15/05/2021;3,29
15/06/2021;3,76
15/07/2021;4,15
15/08/2021;5,01
15/09/2021;5,43
15/10/2021;6,30
15/11/2021;7,65
15/12/2021;8,76
15/01/2022;9,15
15/02/2022;10,49
15/03/2022;11,15
15/04/2022;11,65
15/05/2022;12,51
15/06/2022;12,89
15/07/2022;13,15
15/08/2022;13,58
15/09/2022;13,65
15/10/2022;13,65
15/11/2022;13,65
15/12/2022;13,65
15/01/2023;13,65
15/02/2023;13,65
15/03/2023;13,65
15/04/2023;13,65
15/05/2023;13,65
15/06/2023;13,65
