Data;SalarioMinimo
15/04/2023;1302
15/03/2023;1302
15/02/2023;1302
15/01/2023;1302
15/12/2022;1212
15/11/2022;1212
15/10/2022;1212
15/09/2022;1212
15/08/2022;1212
15/07/2022;1212
15/06/2022;1212
15/05/2022;1212
15/04/2022;1212
15/03/2022;1212
15/02/2022;1212
15/01/2022;1212
15/12/2021;1100
15/11/2021;1100
15/10/2021;1100
15/09/2021;1100
15/08/2021;1100
15/07/2021;1100
15/06/2021;1100
15/05/2021;1100
15/04/2021;1100
15/03/2021;1100
15/02/2021;1100
15/01/2021;1100
15/12/2020;1045
15/11/2020;1045
15/10/2020;1045
15/09/2020;1045
15/08/2020;1045
15/07/2020;1045
15/06/2020;1045
15/05/2020;1045
15/04/2020;1045
15/03/2020;1045
15/02/2020;1045
15/01/2020;1039
15/12/2019;998
15/11/2019;998
15/10/2019;998
15/09/2019;998
15/08/2019;998
15/07/2019;998
15/06/2019;998
15/05/2019;998
15/04/2019;998
15/03/2019;998
15/02/2019;998
15/01/2019;998
15/12/2018;954
15/11/2018;954
15/10/2018;954
15/09/2018;954
15/08/2018;954
15/07/2018;954
15/06/2018;954
15/05/2018;954
15/04/2018;954
15/03/2018;954
15/02/2018;954
15/01/2018;954
15/12/2017;937
15/11/2017;937
15/10/2017;937
15/09/2017;937
15/08/2017;937
15/07/2017;937
15/06/2017;937
15/05/2017;937
15/04/2017;937
15/03/2017;937
15/02/2017;937
15/01/2017;937
15/12/2016;880
15/11/2016;880
15/10/2016;880
15/09/2016;880
15/08/2016;880
15/07/2016;880
15/06/2016;880
15/05/2016;880
15/04/2016;880
15/03/2016;880
15/02/2016;880
15/01/2016;880
15/12/2015;788
15/11/2015;788
15/10/2015;788
15/09/2015;788
15/08/2015;788
15/07/2015;788
15/06/2015;788
15/05/2015;788
15/04/2015;788
15/03/2015;788
15/02/2015;788
15/01/2015;788
15/12/2014;724
15/11/2014;724
15/10/2014;724
15/09/2014;724
15/08/2014;724
15/07/2014;724
15/06/2014;724
15/05/2014;724
15/04/2014;724
15/03/2014;724
15/02/2014;724
15/01/2014;724
15/12/2013;678
15/11/2013;678
15/10/2013;678
15/09/2013;678
15/08/2013;678
15/07/2013;678
15/06/2013;678
15/05/2013;678
15/04/2013;678
15/03/2013;678
15/02/2013;678
15/01/2013;678
15/12/2012;622
15/11/2012;622
15/10/2012;622
15/09/2012;622
15/08/2012;622
15/07/2012;622
15/06/2012;622
15/05/2012;622
15/04/2012;622
15/03/2012;622
15/02/2012;622
15/01/2012;622
15/12/2011;545
15/11/2011;545
15/10/2011;545
15/09/2011;545
15/08/2011;545
15/07/2011;545
15/06/2011;545
15/05/2011;545
15/04/2011;545
15/03/2011;545
15/02/2011;540
15/01/2011;540
15/12/2010;510
15/11/2010;510
15/10/2010;510
15/09/2010;510
15/08/2010;510
15/07/2010;510
15/06/2010;510
15/05/2010;510
15/04/2010;510
15/03/2010;510
15/02/2010;510
15/01/2010;510
15/12/2009;465
15/11/2009;465
15/10/2009;465
15/09/2009;465
15/08/2009;465
15/07/2009;465
15/06/2009;465
15/05/2009;465
15/04/2009;465
15/03/2009;465
15/02/2009;465
15/01/2009;415
15/12/2008;415
15/11/2008;415
15/10/2008;415
15/09/2008;415
15/08/2008;415
15/07/2008;415
15/06/2008;415
15/05/2008;415
15/04/2008;415
15/03/2008;415
15/02/2008;380
15/01/2008;380
15/12/2007;380
15/11/2007;380
15/10/2007;380
15/09/2007;380
15/08/2007;380
15/07/2007;380
15/06/2007;380
15/05/2007;380
15/04/2007;380
15/03/2007;350
15/02/2007;350
15/01/2007;350
15/12/2006;350
15/11/2006;350
15/10/2006;350
15/09/2006;350
15/08/2006;350
15/07/2006;350
15/06/2006;350
15/05/2006;350
15/04/2006;350
15/03/2006;300
15/02/2006;300
15/01/2006;300
15/12/2005;300
15/11/2005;300
15/10/2005;300
15/09/2005;300
15/08/2005;300
15/07/2005;300
15/06/2005;300
15/05/2005;300
15/04/2005;260
15/03/2005;260
15/02/2005;260
15/01/2005;260
15/12/2004;260
15/11/2004;260
15/10/2004;260
15/09/2004;260
15/08/2004;260
15/07/2004;260
15/06/2004;260
15/05/2004;260
15/04/2004;240
15/03/2004;240
15/02/2004;240
15/01/2004;240
15/12/2003;240
15/11/2003;240
15/10/2003;240
15/09/2003;240
15/08/2003;240
15/07/2003;240
15/06/2003;240
15/05/2003;240
15/04/2003;240
15/03/2003;200
15/02/2003;200
15/01/2003;200
15/12/2002;200
15/11/2002;200
15/10/2002;200
15/09/2002;200
15/08/2002;200
15/07/2002;200
15/06/2002;200
15/05/2002;200
15/04/2002;200
15/03/2002;180
15/02/2002;180
15/01/2002;180
15/12/2001;180
15/11/2001;180
15/10/2001;180
15/09/2001;180
15/08/2001;180
15/07/2001;180
15/06/2001;180
15/05/2001;180
15/04/2001;180
15/03/2001;151
15/02/2001;151
15/01/2001;151
15/12/2000;151
15/11/2000;151
15/10/2000;151
15/09/2000;151
15/08/2000;151
15/07/2000;151
15/06/2000;151
15/05/2000;151
15/04/2000;151
15/03/2000;136
15/02/2000;136
15/01/2000;136
