Data;Atividades imobiliárias
15/01/2008;53367
15/01/2008;54894
15/07/2008;56667
15/10/2008;56372
15/01/2009;58925
15/01/2009;60415
15/07/2009;62786
15/10/2009;65091
15/01/2010;65789
15/01/2010;67426
15/07/2010;68897
15/10/2010;72308
15/01/2011;73849
15/01/2011;77027
15/07/2011;78874
15/10/2011;81630
15/01/2012;86325
15/01/2012;88537
15/07/2012;91096
15/10/2012;92989
15/01/2013;99892
15/01/2013;103003
15/07/2013;106083
15/10/2013;110224
15/01/2014;111646
15/01/2014;114082
15/07/2014;116943
15/10/2014;121110
15/01/2015;122331
15/01/2015;123169
15/07/2015;125409
15/10/2015;127975
15/01/2016;129263
15/01/2016;130634
15/07/2016;132041
15/10/2016;135068
15/01/2017;135713
15/01/2017;139004
15/07/2017;140970
15/10/2017;142367
15/01/2018;143815
15/01/2018;145691
15/07/2018;148898
15/10/2018;149631
15/01/2019;151054
15/01/2019;154216
15/07/2019;156637
15/10/2019;157677
15/01/2020;159460
15/01/2020;162586
15/07/2020;166508
15/10/2020;169778
15/01/2021;171413
15/01/2021;173765
15/07/2021;175849
15/10/2021;179211
15/01/2022;183875
15/01/2022;188307
