Data;CN_Br_AtvOutras
15/01/2008;93652
15/04/2008;99046
15/07/2008;101652
15/10/2008;104572
15/01/2009;106821
15/04/2009;111989
15/07/2009;117079
15/10/2009;119961
15/01/2010;120515
15/04/2010;123501
15/07/2010;133558
15/10/2010;139918
15/01/2011;135234
15/04/2011;147272
15/07/2011;151286
15/10/2011;155941
15/01/2012;157475
15/04/2012;164721
15/07/2012;170584
15/10/2012;183889
15/01/2013;177598
15/04/2013;188225
15/07/2013;197569
15/10/2013;205475
15/01/2014;200739
15/04/2014;213834
15/07/2014;222576
15/10/2014;230317
15/01/2015;215471
15/04/2015;224045
15/07/2015;226429
15/10/2015;231943
15/01/2016;226778
15/04/2016;235070
15/07/2016;240213
15/10/2016;247951
15/01/2017;234463
15/04/2017;247116
15/07/2017;252265
15/10/2017;262076
15/01/2018;253476
15/04/2018;266976
15/07/2018;274272
15/10/2018;283718
15/01/2019;271617
15/04/2019;284589
15/07/2019;288853
15/10/2019;303203
15/01/2020;271446
15/04/2020;244128
15/07/2020;249888
15/10/2020;275830
15/01/2021;251616
15/04/2021;268678
15/07/2021;290697
15/10/2021;309142
15/01/2022;286320
15/04/2022;317667
