Data;CN_Br_Comer
15/01/2008;69266
15/04/2008;78838
15/07/2008;87104
15/10/2008;86901
15/01/2009;77957
15/04/2009;87872
15/07/2009;95957
15/10/2009;100128
15/01/2010;93764
15/04/2010;103672
15/07/2010;106646
15/10/2010;112147
15/01/2011;108848
15/04/2011;117527
15/07/2011;122825
15/10/2011;129042
15/01/2012;123485
15/04/2012;133580
15/07/2012;143923
15/10/2012;147352
15/01/2013;139087
15/04/2013;150895
15/07/2013;159081
15/10/2013;165024
15/01/2014;161747
15/04/2014;164015
15/07/2014;172393
15/10/2014;178406
15/01/2015;167646
15/04/2015;167006
15/07/2015;174425
15/10/2015;176632
15/01/2016;164949
15/04/2016;170407
15/07/2016;179604
15/10/2016;184807
15/01/2017;172829
15/04/2017;182820
15/07/2017;193319
15/10/2017;197192
15/01/2018;183235
15/04/2018;188951
15/07/2018;205220
15/10/2018;205642
15/01/2019;191965
15/04/2019;201616
15/07/2019;214146
15/10/2019;214863
15/01/2020;201635
15/04/2020;183371
15/07/2020;234461
15/10/2020;257188
15/01/2021;255235
15/04/2021;275158
15/07/2021;299633
15/10/2021;300920
15/01/2022;298509
15/04/2022;324802
