Data;CN_Br_DespFam
15/01/2008;433753
15/04/2008;456473
15/07/2008;480468
15/10/2008;486816
15/01/2009;474264
15/04/2009;504220
15/07/2009;534397
15/10/2009;552152
15/01/2010;546392
15/04/2010;568567
15/07/2010;596732
15/10/2010;628475
15/01/2011;623585
15/04/2011;648649
15/07/2011;668612
15/10/2011;696968
15/01/2012;694701
15/04/2012;718126
15/07/2012;753551
15/10/2012;790457
15/01/2013;777713
15/04/2013;805985
15/07/2013;833145
15/10/2013;873579
15/01/2014;873826
15/04/2014;888390
15/07/2014;912055
15/10/2014;964132
15/01/2015;936573
15/04/2015;938600
15/07/2015;959600
15/10/2015;1000420
15/01/2016;974569
15/04/2016;986759
15/07/2016;1016030
15/10/2016;1050778
15/01/2017;1017669
15/04/2017;1035801
15/07/2017;1070399
15/10/2017;1123390
15/01/2018;1088307
15/04/2018;1099246
15/07/2018;1143251
15/10/2018;1194997
15/01/2019;1157388
15/04/2019;1174378
15/07/2019;1215960
15/10/2019;1265854
15/01/2020;1194514
15/04/2020;1046685
15/07/2020;1170802
15/10/2020;1284415
15/01/2021;1242744
15/04/2021;1258657
15/07/2021;1337948
15/10/2021;1452207
15/01/2022;1406895
15/04/2022;1490557
