Data;CN_Br_Eletric
15/01/2008;17136
15/04/2008;17551
15/07/2008;16668
15/10/2008;17484
15/01/2009;16993
15/04/2009;18371
15/07/2009;19542
15/10/2009;21710
15/01/2010;20021
15/04/2010;20664
15/07/2010;26280
15/10/2010;25948
15/01/2011;23622
15/04/2011;24328
15/07/2011;25327
15/10/2011;25943
15/01/2012;25742
15/04/2012;24710
15/07/2012;25556
15/10/2012;24226
15/01/2013;21209
15/04/2013;20728
15/07/2013;25337
15/10/2013;25544
15/01/2014;24511
15/04/2014;20911
15/07/2014;25958
15/10/2014;22596
15/01/2015;27326
15/04/2015;32117
15/07/2015;32117
15/10/2015;31623
15/01/2016;33279
15/04/2016;35704
15/07/2016;36905
15/10/2016;37831
15/01/2017;37379
15/04/2017;36725
15/07/2017;40314
15/10/2017;41825
15/01/2018;40398
15/04/2018;41538
15/07/2018;44011
15/10/2018;45486
15/01/2019;45427
15/04/2019;45392
15/07/2019;50170
15/10/2019;49872
15/01/2020;46440
15/04/2020;48698
15/07/2020;48820
15/10/2020;45821
15/01/2021;45709
15/04/2021;48991
15/07/2021;50374
15/10/2021;53717
15/01/2022;58010
15/04/2022;51184
