Data;CN_Br_ImportBens
15/01/2008;86426
15/04/2008;98761
15/07/2008;114297
15/10/2008;127292
15/01/2009;93767
15/04/2009;88904
15/07/2009;95863
15/10/2009;96585
15/01/2010;101274
15/04/2010;111182
15/07/2010;126847
15/10/2010;123369
15/01/2011;116374
15/04/2011;130951
15/07/2011;141579
15/10/2011;151662
15/01/2012;137048
15/04/2012;160923
15/07/2012;162814
15/10/2012;176532
15/01/2013;164280
15/04/2013;181369
15/07/2013;201819
15/10/2013;201290
15/01/2014;190906
15/04/2014;189516
15/07/2014;204433
15/10/2014;205328
15/01/2015;201724
15/04/2015;204931
15/07/2015;219745
15/10/2015;216214
15/01/2016;195808
15/04/2016;192717
15/07/2016;184596
15/10/2016;183399
15/01/2017;184061
15/04/2017;185085
15/07/2017;200300
15/10/2017;207692
15/01/2018;211493
15/04/2018;226675
15/07/2018;290819
15/10/2018;268487
15/01/2019;245440
15/04/2019;260312
15/07/2019;300802
15/10/2019;284625
15/01/2020;296747
15/04/2020;273060
15/07/2020;282614
15/10/2020;349521
15/01/2021;398241
15/04/2021;384588
15/07/2021;409677
15/10/2021;463440
15/01/2022;429122
15/04/2022;451943
