Data;CN_Br_PIB
15/01/2008;712055
15/04/2008;769525
15/07/2008;812603
15/10/2008;815620
15/01/2009;756127
15/04/2009;803577
15/07/2009;852843
15/10/2009;920492
15/01/2010;886397
15/04/2010;944145
15/07/2010;997935
15/10/2010;1057370
15/01/2011;1016531
15/04/2011;1086712
15/07/2011;1112334
15/10/2011;1160805
15/01/2012;1129474
15/04/2012;1183126
15/07/2012;1230449
15/10/2012;1271712
15/01/2013;1241614
15/04/2013;1322580
15/07/2013;1354134
15/10/2013;1413291
15/01/2014;1385979
15/04/2014;1422320
15/07/2014;1462125
15/10/2014;1508528
15/01/2015;1456666
15/04/2015;1479977
15/07/2015;1508228
15/10/2015;1550915
15/01/2016;1500268
15/04/2016;1559019
15/07/2016;1577170
15/10/2016;1632871
15/01/2017;1585806
15/04/2017;1630853
15/07/2017;1648635
15/10/2017;1720185
15/01/2018;1681579
15/04/2018;1733663
15/07/2018;1767874
15/10/2018;1821026
15/01/2019;1759313
15/04/2019;1828764
15/07/2019;1880632
15/10/2019;1920422
15/01/2020;1845561
15/04/2020;1722448
15/07/2020;1888242
15/10/2020;2011364
15/01/2021;2065955
15/04/2021;2140603
15/07/2021;2215185
15/10/2021;2257747
15/01/2022;2249225
15/04/2022;2403990
