Data;Impostos líquidos sobre produtos
15/01/2008;112393
15/01/2008;118037
15/07/2008;124860
15/10/2008;128036
15/01/2009;109021
15/01/2009;113854
15/07/2009;121456
15/10/2009;138945
15/01/2010;133337
15/01/2010;142130
15/07/2010;148006
15/10/2010;159534
15/01/2011;155337
15/01/2011;160490
15/07/2011;166521
15/10/2011;173573
15/01/2012;167465
15/01/2012;174753
15/07/2012;188233
15/10/2012;190051
15/01/2013;180358
15/01/2013;192757
15/07/2013;190557
15/10/2013;214187
15/01/2014;197110
15/01/2014;196143
15/07/2014;194453
15/10/2014;218513
15/01/2015;206685
15/01/2015;206311
15/07/2015;210534
15/10/2015;216656
15/01/2016;212809
15/01/2016;211142
15/07/2016;209098
15/10/2016;216457
15/01/2017;214442
15/01/2017;216095
15/07/2017;227376
15/10/2017;255639
15/01/2018;239636
15/01/2018;240442
15/07/2018;253687
15/10/2018;259226
15/01/2019;250228
15/01/2019;249415
15/07/2019;258364
15/10/2019;274440
15/01/2020;261138
15/01/2020;175093
15/07/2020;269017
15/10/2020;311086
15/01/2021;301533
15/01/2021;297685
15/07/2021;334261
15/10/2021;357101
15/01/2022;335309
15/01/2022;332215
