Data;Indústria - total
15/01/2008;151286
15/01/2008;176613
15/07/2008;204856
15/10/2008;185152
15/01/2009;152809
15/01/2009;173009
15/07/2009;192928
15/10/2009;210476
15/01/2010;192711
15/01/2010;221147
15/07/2010;245530
15/10/2010;244769
15/01/2011;228636
15/01/2011;250398
15/07/2011;263385
15/10/2011;268615
15/01/2012;248133
15/01/2012;263934
15/07/2012;280234
15/10/2012;273381
15/01/2013;259835
15/01/2013;281661
15/07/2013;301155
15/10/2013;288975
15/01/2014;283275
15/01/2014;285798
15/07/2014;315402
15/10/2014;298619
15/01/2015;278532
15/01/2015;283650
15/07/2015;307137
15/10/2015;291469
15/01/2016;262057
15/01/2016;286363
15/07/2016;302916
15/10/2016;299384
15/01/2017;281823
15/01/2017;292546
15/07/2017;311503
15/10/2017;311928
15/01/2018;298783
15/01/2018;319726
15/07/2018;348467
15/10/2018;346234
15/01/2019;311563
15/01/2019;348505
15/07/2019;376763
15/10/2019;348973
15/01/2020;315272
15/01/2020;310700
15/07/2020;355745
15/10/2020;340175
15/01/2021;353862
15/01/2021;410694
15/07/2021;455359
15/10/2021;416874
15/01/2022;410916
15/01/2022;475597
