data;valor
01/01/1990;0.2
01/02/1990;0.4
01/03/1990;0.8
01/04/1990;0.7
01/05/1990;0.8
01/06/1990;0.8
01/07/1990;0.9
01/08/1990;1.0
01/09/1990;1.1
01/10/1990;1.4
01/11/1990;1.7
01/12/1990;1.8
01/01/1991;2.1
01/02/1991;2.4
01/03/1991;2.5
01/04/1991;3.1
01/05/1991;3.6
01/06/1991;4.1
01/07/1991;4.6
01/08/1991;5.3
01/09/1991;5.6
01/10/1991;7.5
01/11/1991;9.2
01/12/1991;10.5
01/01/1992;13.1
01/02/1992;16.3
01/03/1992;19.6
01/04/1992;23.6
01/05/1992;30.1
01/06/1992;37.5
01/07/1992;46.1
01/08/1992;56.7
01/09/1992;70.8
01/10/1992;89.0
01/11/1992;110.4
01/12/1992;127.7
01/01/1993;164.0
01/02/1993;206.9
01/03/1993;294.6
01/04/1993;368.1
01/05/1993;481.6
01/06/1993;613.5
01/07/1993;841.4
01/08/1993;1149.5
01/09/1993;1578.4
01/10/1993;2071.3
01/11/1993;2792.8
01/12/1993;3534.9
01/01/1994;4562.8
01/02/1994;5793.0
01/03/1994;8520.4
01/04/1994;12828.8
01/05/1994;20504.2
01/06/1994;33126.6
01/07/1994;40788.0
01/08/1994;43873.4
01/09/1994;43836.2
01/10/1994;45234.9
01/11/1994;45926.2
01/12/1994;44210.2
01/01/1995;47028.6
01/02/1995;49954.5
01/03/1995;60024.3
01/04/1995;57789.5
01/05/1995;56350.5
01/06/1995;56726.2
01/07/1995;58788.1
01/08/1995;60950.3
01/09/1995;60610.8
01/10/1995;63428.1
01/11/1995;67762.9
01/12/1995;66577.7
01/01/1996;64133.3
01/02/1996;62202.2
01/03/1996;62987.8
01/04/1996;64019.1
01/05/1996;69488.7
01/06/1996;71103.0
01/07/1996;74969.9
01/08/1996;74798.8
01/09/1996;71744.6
01/10/1996;77200.1
01/11/1996;80449.1
01/12/1996;81667.1
01/01/1997;77582.6
01/02/1997;71072.8
01/03/1997;70461.6
01/04/1997;73576.4
01/05/1997;78110.8
01/06/1997;81202.4
01/07/1997;82058.7
01/08/1997;82132.5
01/09/1997;81987.3
01/10/1997;87297.2
01/11/1997;85390.1
01/12/1997;81216.8
01/01/1998;79363.9
01/02/1998;75828.1
01/03/1998;80508.7
01/04/1998;81166.1
01/05/1998;85207.5
01/06/1998;85562.4
01/07/1998;86938.5
01/08/1998;86371.3
01/09/1998;84733.5
01/10/1998;87302.8
01/11/1998;86316.5
01/12/1998;83051.8
01/01/1999;80936.3
01/02/1999;80929.1
01/03/1999;88802.6
01/04/1999;87739.0
01/05/1999;89223.0
01/06/1999;91746.9
01/07/1999;91230.4
01/08/1999;92283.4
01/09/1999;90611.8
01/10/1999;95872.4
01/11/1999;99563.1
01/12/1999;98772.5
01/01/2000;92576.6
01/02/2000;91770.4
01/03/2000;92579.9
01/04/2000;91376.2
01/05/2000;98727.0
01/06/2000;102685.4
01/07/2000;103410.4
01/08/2000;105177.8
01/09/2000;100307.6
01/10/2000;106951.1
01/11/2000;107678.0
01/12/2000;105851.6
01/01/2001;102530.7
01/02/2001;101635.3
01/03/2001;108303.8
01/04/2001;107572.0
01/05/2001;111202.2
01/06/2001;104949.4
01/07/2001;110758.9
01/08/2001;113064.7
01/09/2001;108700.8
01/10/2001;116139.0
01/11/2001;117882.0
01/12/2001;113016.7
01/01/2002;112374.8
01/02/2002;111477.1
01/03/2002;118444.7
01/04/2002;120385.9
01/05/2002;123552.5
01/06/2002;123424.4
01/07/2002;126856.6
01/08/2002;127800.1
01/09/2002;125137.8
01/10/2002;133125.4
01/11/2002;135966.6
01/12/2002;130241.2
01/01/2003;125711.1
01/02/2003;131383.0
01/03/2003;140147.5
01/04/2003;141003.2
01/05/2003;140058.2
01/06/2003;137926.0
01/07/2003;144626.0
01/08/2003;144367.2
01/09/2003;150356.6
01/10/2003;158352.2
01/11/2003;154756.8
01/12/2003;149262.6
01/01/2004;142458.5
01/02/2004;141650.7
01/03/2004;160674.2
01/04/2004;159111.3
01/05/2004;160113.8
01/06/2004;162569.9
01/07/2004;168215.1
01/08/2004;168069.3
01/09/2004;168968.0
01/10/2004;174389.4
01/11/2004;178016.0
01/12/2004;173515.1
01/01/2005;161645.2
01/02/2005;159967.2
01/03/2005;178097.9
01/04/2005;177915.9
01/05/2005;178126.3
01/06/2005;179515.2
01/07/2005;181671.6
01/08/2005;186714.7
01/09/2005;184472.8
01/10/2005;192952.2
01/11/2005;196416.4
01/12/2005;193089.0
01/01/2006;181703.8
01/02/2006;176995.3
01/03/2006;195571.4
01/04/2006;188584.2
01/05/2006;198732.6
01/06/2006;194660.1
01/07/2006;203497.8
01/08/2006;208796.1
01/09/2006;205553.8
01/10/2006;219040.8
01/11/2006;220983.2
01/12/2006;215330.9
01/01/2007;206665.4
01/02/2007;201550.6
01/03/2007;223206.9
01/04/2007;218922.4
01/05/2007;227533.9
01/06/2007;224198.4
01/07/2007;230915.0
01/08/2007;233903.0
01/09/2007;227028.0
01/10/2007;245688.9
01/11/2007;243269.5
01/12/2007;237380.9
01/01/2008;232828.5
01/02/2008;231983.8
01/03/2008;247243.0
01/04/2008;253193.5
01/05/2008;255741.0
01/06/2008;260590.7
01/07/2008;271286.3
01/08/2008;268548.1
01/09/2008;272768.2
01/10/2008;284924.2
01/11/2008;272113.4
01/12/2008;258582.5
01/01/2009;244784.2
01/02/2009;242501.2
01/03/2009;268841.6
01/04/2009;263428.8
01/05/2009;268742.3
01/06/2009;271406.4
01/07/2009;281459.6
01/08/2009;282508.7
01/09/2009;288874.9
01/10/2009;309134.7
01/11/2009;307944.4
01/12/2009;303412.3
01/01/2010;284389.3
01/02/2010;283356.4
01/03/2010;318651.7
01/04/2010;311651.0
01/05/2010;315947.5
01/06/2010;316546.6
01/07/2010;328891.3
01/08/2010;332382.6
01/09/2010;336660.8
01/10/2010;350937.7
01/11/2010;358427.1
01/12/2010;348004.9
01/01/2011;327590.9
01/02/2011;332322.4
01/03/2011;356617.4
01/04/2011;354617.8
01/05/2011;368272.7
01/06/2011;363821.7
01/07/2011;367333.1
01/08/2011;374887.3
01/09/2011;370113.8
01/10/2011;383776.1
01/11/2011;391537.9
01/12/2011;385490.9
01/01/2012;364190.6
01/02/2012;367525.1
01/03/2012;397758.3
01/04/2012;385880.0
01/05/2012;401862.3
01/06/2012;395383.3
01/07/2012;409021.0
01/08/2012;418752.0
01/09/2012;402675.8
01/10/2012;431405.6
01/11/2012;426600.5
01/12/2012;413705.5
01/01/2013;408889.9
01/02/2013;398093.8
01/03/2013;434630.4
01/04/2013;446505.2
01/05/2013;441335.5
01/06/2013;434739.7
01/07/2013;452597.6
01/08/2013;453781.6
01/09/2013;447754.9
01/10/2013;475713.5
01/11/2013;470324.6
01/12/2013;467252.4
01/01/2014;453278.5
01/02/2014;455501.1
01/03/2014;477199.7
01/04/2014;479720.8
01/05/2014;481273.1
01/06/2014;461326.3
01/07/2014;486903.0
01/08/2014;483777.9
01/09/2014;491444.6
01/10/2014;508979.1
01/11/2014;498513.6
01/12/2014;501035.4
01/01/2015;474388.7
01/02/2015;466767.4
01/03/2015;515510.3
01/04/2015;497081.9
01/05/2015;492325.5
01/06/2015;490569.6
01/07/2015;507145.5
01/08/2015;501375.5
01/09/2015;499707.1
01/10/2015;521374.9
01/11/2015;513605.4
01/12/2015;515935.1
01/01/2016;481796.0
01/02/2016;490435.2
01/03/2016;528037.1
01/04/2016;520795.5
01/05/2016;516527.6
01/06/2016;521695.7
01/07/2016;522068.6
01/08/2016;530733.9
01/09/2016;524367.5
01/10/2016;539543.1
01/11/2016;546064.9
01/12/2016;547263.0
01/01/2017;513739.3
01/02/2017;510940.3
01/03/2017;561126.7
01/04/2017;537720.5
01/05/2017;551063.1
01/06/2017;542068.9
01/07/2017;548420.0
01/08/2017;555963.7
01/09/2017;544251.3
01/10/2017;568701.3
01/11/2017;573924.3
01/12/2017;577559.6
01/01/2018;552462.3
01/02/2018;539836.4
01/03/2018;589280.0
01/04/2018;587505.1
01/05/2018;561966.4
01/06/2018;584191.5
01/07/2018;592133.8
01/08/2018;599110.9
01/09/2018;576629.0
01/10/2018;612411.0
01/11/2018;608052.1
01/12/2018;600562.5
01/01/2019;579129.7
01/02/2019;577163.8
01/03/2019;603019.1
01/04/2019;614332.5
01/05/2019;616570.5
01/06/2019;597861.1
01/07/2019;632382.2
01/08/2019;629503.1
01/09/2019;618746.6
01/10/2019;649652.3
01/11/2019;637102.3
01/12/2019;633667.7
01/01/2020;608505.8
01/02/2020;610630.9
01/03/2020;626424.8
01/04/2020;558691.5
01/05/2020;567747.5
01/06/2020;596009.4
01/07/2020;630447.6
01/08/2020;623545.5
01/09/2020;634249.1
01/10/2020;660300.6
01/11/2020;665238.3
01/12/2020;685825.5
01/01/2021;653757.8
01/02/2021;676196.6
01/03/2021;736000.3
01/04/2021;713584.9
01/05/2021;712134.3
01/06/2021;714883.7
01/07/2021;743091.8
01/08/2021;740532.1
01/09/2021;731560.8
01/10/2021;739207.9
01/11/2021;754057.6
01/12/2021;764481.9
01/01/2022;708462.9
