Data_Receita;UF;RECEITA;DolarComercial;IPVA;ICMS;ICMS_DvAtTrb;ICMS_TOTAL;ST_EXTERNO;ST_INTERNO;ICMS_SIMP_NACIO;ICMS_DvAtTrb_Muns;ICMS_Muns;IPVA_Muns;TOTAL_ArrecMun;Exportacao;Importacao;IBC_Br;IGPM;Tx_SELIC_Perd;SalarioMinimo;ResvInternac;INPC;SINAP_Alto;SINAP_Baixo;SINAP_Minimo;SINAP_Normal;TxDesocupados;TxIPCA;Petroleo_Brent_Brasil;Gasolina_Brasil;IPP;PIB_MenBR;Coef_CIFPM_SLZ;PercResSP_Nom;PercResSP_Prim;PIB_Mun;FtInvRndPrCap_Mun;PrcInvRndPrCpMn;RndPrCap_Mun;VA_BrtAdm;VA_BrtAgro;VA_BrtIndust;VA_BrtServExclAdm;VA_ImpostosProd_;VA_BrtTotal;CFEM_MA;CFEM_Total;CFEM_Mun;EXPT_SLZ_TOTAL;EXPT_SLZ_ProdIndQuim;MetaisCcomuns;Prod_Minerais;TransacoesEspeciais;Coef_IPM;DvLq_Gov_MA;DvLq_Sao_Luis_MA;DvLq_MA_ExcCapital;FinMA_MnRestPrim;FinMA_MnRestNom;Ajustes_MA_Munic;Veic_PgtoIPVA;FinMA_Mn_JrNom;Realizado;X_1;X_2;X_3
16/01/2022;MA;CFEM;5,53;52170605;610099715,9;7042739,1;937527521;128691368,1;75511937,62;27782293,18;2522549,89;433787678,9;2487431,62;438797660,5;1,98E+10;1,98E+10;132,4;1,82;9,15;1212;1,98E+12;0,67;27952,44;23887,69;23027,44;34226,92;11,20994455;1,54;463,93;6,64;4,4;7,29E+11;0,5394907;-5,81;-10,94;33605801000;0,4;3.704;30699,57;3.568.480.000;20.396.000;7.460.218.000;16.141.426.000;6.415.281.000;27.190.520.000;2651430,89;751200973,2;16160,13;201729323;149801530;12969;51441795;0;31,979145;6792253,33;-172790;-259503,33;-87950;-82543,33;7290;34380,83;5406,67;14208,74;17124,43;9586,44;13481,47
18/01/2022;MA;FEP;5,53;52170605;610099715,9;7042739,1;937527521;128691368,1;75511937,62;27782293,18;2522549,89;433787678,9;2487431,62;438797660,5;1,98E+10;1,98E+10;132,4;1,82;9,15;1212;1,98E+12;0,67;27952,44;23887,69;23027,44;34226,92;11,20994455;1,54;463,93;6,64;4,4;7,29E+11;0,5394907;-5,81;-10,94;33605801000;0,4;3.704;30699,57;3.568.480.000;20.396.000;7.460.218.000;16.141.426.000;6.415.281.000;27.190.520.000;2651430,89;751200973,2;16160,13;201729323;149801530;12969;51441795;0;31,979145;6792253,33;-172790;-259503,33;-87950;-82543,33;7290;34380,83;5406,67;719937,71;1550562,87;1376103,78;1284653,02
19/01/2022;MA;FPM;5,53;52170605;610099715,9;7042739,1;937527521;128691368,1;75511937,62;27782293,18;2522549,89;433787678,9;2487431,62;438797660,5;1,98E+10;1,98E+10;132,4;1,82;9,15;1212;1,98E+12;0,67;27952,44;23887,69;23027,44;34226,92;11,20994455;1,54;463,93;6,64;4,4;7,29E+11;0,5394907;-5,81;-10,94;33605801000;0,4;3.704;30699,57;3.568.480.000;20.396.000;7.460.218.000;16.141.426.000;6.415.281.000;27.190.520.000;2651430,89;751200973,2;16160,13;201729323;149801530;12969;51441795;0;31,979145;6792253,33;-172790;-259503,33;-87950;-82543,33;7290;34380,83;5406,67;56972497,09;70182964,88;67590417,1;51886650,57
20/01/2022;MA;ICMS;5,53;52170605;610099715,9;7042739,1;937527521;128691368,1;75511937,62;27782293,18;2522549,89;433787678,9;2487431,62;438797660,5;1,98E+10;1,98E+10;132,4;1,82;9,15;1212;1,98E+12;0,67;27952,44;23887,69;23027,44;34226,92;11,20994455;1,54;463,93;6,64;4,4;7,29E+11;0,5394907;-5,81;-10,94;33605801000;0,4;3.704;30699,57;3.568.480.000;20.396.000;7.460.218.000;16.141.426.000;6.415.281.000;27.190.520.000;2651430,89;751200973,2;16160,13;201729323;149801530;12969;51441795;0;31,979145;6792253,33;-172790;-259503,33;-87950;-82543,33;7290;34380,83;5406,67;70700563,89;73650371,32;69609123,45;67577149,16
21/01/2022;MA;IPI;5,53;52170605;610099715,9;7042739,1;937527521;128691368,1;75511937,62;27782293,18;2522549,89;433787678,9;2487431,62;438797660,5;1,98E+10;1,98E+10;132,4;1,82;9,15;1212;1,98E+12;0,67;27952,44;23887,69;23027,44;34226,92;11,20994455;1,54;463,93;6,64;4,4;7,29E+11;0,5394907;-5,81;-10,94;33605801000;0,4;3.704;30699,57;3.568.480.000;20.396.000;7.460.218.000;16.141.426.000;6.415.281.000;27.190.520.000;2651430,89;751200973,2;16160,13;201729323;149801530;12969;51441795;0;31,979145;6792253,33;-172790;-259503,33;-87950;-82543,33;7290;34380,83;5406,67;702313,98;687603,04;672568,8;772512,79
22/01/2022;MA;IPVA;5,53;52170605;610099715,9;7042739,1;937527521;128691368,1;75511937,62;27782293,18;2522549,89;433787678,9;2487431,62;438797660,5;1,98E+10;1,98E+10;132,4;1,82;9,15;1212;1,98E+12;0,67;27952,44;23887,69;23027,44;34226,92;11,20994455;1,54;463,93;6,64;4,4;7,29E+11;0,5394907;-5,81;-10,94;33605801000;0,4;3.704;30699,57;3.568.480.000;20.396.000;7.460.218.000;16.141.426.000;6.415.281.000;27.190.520.000;2651430,89;751200973,2;16160,13;201729323;149801530;12969;51441795;0;31,979145;6792253,33;-172790;-259503,33;-87950;-82543,33;7290;34380,83;5406,67;5833637,06;3323415,23;3590606,21;5248552,66
23/01/2022;MA;CFEM AFETADOS;5,53;52170605;610099715,9;7042739,1;937527521;128691368,1;75511937,62;27782293,18;2522549,89;433787678,9;2487431,62;438797660,5;1,98E+10;1,98E+10;132,4;1,82;9,15;1212;1,98E+12;0,67;27952,44;23887,69;23027,44;34226,92;11,20994455;1,54;463,93;6,64;4,4;7,29E+11;0,5394907;-5,81;-10,94;33605801000;0,4;3.704;30699,57;3.568.480.000;20.396.000;7.460.218.000;16.141.426.000;6.415.281.000;27.190.520.000;2651430,89;751200973,2;16160,13;201729323;149801530;12969;51441795;0;31,979145;6792253,33;-172790;-259503,33;-87950;-82543,33;7290;34380,83;5406,67;7379090,1;8874277,86;10958458,51;14593997,76
16/02/2022;MA;CFEM;5,2;117851146;557960332,5;6325314,62;783190636;129200891,7;11706203,17;22510705,08;2119160,26;387584158;7100798,47;396804116,8;2,35E+10;1,89E+10;136,3;1,83;10,49;1212;1,86E+12;1;28114,8;24160,87;23234,06;34553,95;11,2037296;2,01;491,54;6,6;35,79;7,52E+11;0,5394907;8,34;2,64;33605801000;0,4;3.704;30699,57;3.568.480.000;20.396.000;7.460.218.000;16.141.426.000;6.415.281.000;27.190.520.000;2251507,93;551753138,4;17426,63;142950826;106033414;4277;36484172;0;31,979145;6792253,33;-172790;-259503,33;-87950;-82543,33;7290;34111,83;5406,67;15555,34;14208,74;17124,43;9586,44
18/02/2022;MA;FEP;5,2;117851146;557960332,5;6325314,62;783190636;129200891,7;11706203,17;22510705,08;2119160,26;387584158;7100798,47;396804116,8;2,35E+10;1,89E+10;136,3;1,83;10,49;1212;1,86E+12;1;28114,8;24160,87;23234,06;34553,95;11,2037296;2,01;491,54;6,6;35,79;7,52E+11;0,5394907;8,34;2,64;33605801000;0,4;3.704;30699,57;3.568.480.000;20.396.000;7.460.218.000;16.141.426.000;6.415.281.000;27.190.520.000;2251507,93;551753138,4;17426,63;142950826;106033414;4277;36484172;0;31,979145;6792253,33;-172790;-259503,33;-87950;-82543,33;7290;34111,83;5406,67;786058,29;719937,71;1550562,87;1376103,78
19/02/2022;MA;FPM;5,2;117851146;557960332,5;6325314,62;783190636;129200891,7;11706203,17;22510705,08;2119160,26;387584158;7100798,47;396804116,8;2,35E+10;1,89E+10;136,3;1,83;10,49;1212;1,86E+12;1;28114,8;24160,87;23234,06;34553,95;11,2037296;2,01;491,54;6,6;35,79;7,52E+11;0,5394907;8,34;2,64;33605801000;0,4;3.704;30699,57;3.568.480.000;20.396.000;7.460.218.000;16.141.426.000;6.415.281.000;27.190.520.000;2251507,93;551753138,4;17426,63;142950826;106033414;4277;36484172;0;31,979145;6792253,33;-172790;-259503,33;-87950;-82543,33;7290;34111,83;5406,67;74870189,54;56972497,09;70182964,88;67590417,1
