;uf;receita;seletor;seletor_model;features;modelo_trinamamento;TempoTotal;LearnRate;LastEpoch;LastmodelLos;LastmodelRMSE;BestSavedEpoch;BestSavedmodelLos;BestSavedmodelRMSE;Data;Predicao;Realizado
0;MA;CFEM;KBest;GradientBoostingRegressor;x_3,DolarComercial,ICMS_TOTAL,ST_EXTERNO,ICMS_SIMP_NACIO,IPVA,Exportacao,Importacao,SalarioMinimo,ResvInternac,Tx_SELIC_Perd,SINAP_Alto,SINAP_Baixo,SINAP_Minimo,SINAP_Normal,TxIPCA,IPP,PIB_MenBR,EXPT_SLZ_TOTAL,EXPT_SLZ_ProdIndQuim,MetaisCcomuns,Prod_Minerais,PIB_Mun,RndPrCap_Mun,VA_BrtAdm,VA_BrtIndust,VA_BrtServExclAdm,VA_ImpostosProd_,VA_BrtTotal,PercResSP_Nom,CFEM_MA,CFEM_Mun,Coef_IPM,Gasolina_Brasil,Ajustes_MA_Munic,DvLq_Gov_MA,ICMS_Muns,TOTAL_ArrecMun;CNN;0.31;1e-04;100;0.3659;0.6049;2;0.0525;0.2292;2022-01-16;20572.87;14208.74
1;MA;CFEM;KBest;GradientBoostingRegressor;x_3,DolarComercial,ICMS_TOTAL,ST_EXTERNO,ICMS_SIMP_NACIO,IPVA,Exportacao,Importacao,SalarioMinimo,ResvInternac,Tx_SELIC_Perd,SINAP_Alto,SINAP_Baixo,SINAP_Minimo,SINAP_Normal,TxIPCA,IPP,PIB_MenBR,EXPT_SLZ_TOTAL,EXPT_SLZ_ProdIndQuim,MetaisCcomuns,Prod_Minerais,PIB_Mun,RndPrCap_Mun,VA_BrtAdm,VA_BrtIndust,VA_BrtServExclAdm,VA_ImpostosProd_,VA_BrtTotal,PercResSP_Nom,CFEM_MA,CFEM_Mun,Coef_IPM,Gasolina_Brasil,Ajustes_MA_Munic,DvLq_Gov_MA,ICMS_Muns,TOTAL_ArrecMun;CNN;0.31;1e-04;100;0.3659;0.6049;2;0.0525;0.2292;2022-02-16;24046.65;15555.34
12;MA;CFEM;KBest;GradientBoostingRegressor;x_3,DolarComercial,ICMS_TOTAL,ST_EXTERNO,ICMS_SIMP_NACIO,IPVA,Exportacao,Importacao,SalarioMinimo,ResvInternac,Tx_SELIC_Perd,SINAP_Alto,SINAP_Baixo,SINAP_Minimo,SINAP_Normal,TxIPCA,IPP,PIB_MenBR,EXPT_SLZ_TOTAL,EXPT_SLZ_ProdIndQuim,MetaisCcomuns,Prod_Minerais,PIB_Mun,RndPrCap_Mun,VA_BrtAdm,VA_BrtIndust,VA_BrtServExclAdm,VA_ImpostosProd_,VA_BrtTotal,PercResSP_Nom,CFEM_MA,CFEM_Mun,Coef_IPM,Gasolina_Brasil,Ajustes_MA_Munic,DvLq_Gov_MA,ICMS_Muns,TOTAL_ArrecMun;LSTM;2.41;1e-04;100;0.0196;0.1399;99;0.0187;0.1367;2022-01-16;15917.73;14208.74
13;MA;CFEM;KBest;GradientBoostingRegressor;x_3,DolarComercial,ICMS_TOTAL,ST_EXTERNO,ICMS_SIMP_NACIO,IPVA,Exportacao,Importacao,SalarioMinimo,ResvInternac,Tx_SELIC_Perd,SINAP_Alto,SINAP_Baixo,SINAP_Minimo,SINAP_Normal,TxIPCA,IPP,PIB_MenBR,EXPT_SLZ_TOTAL,EXPT_SLZ_ProdIndQuim,MetaisCcomuns,Prod_Minerais,PIB_Mun,RndPrCap_Mun,VA_BrtAdm,VA_BrtIndust,VA_BrtServExclAdm,VA_ImpostosProd_,VA_BrtTotal,PercResSP_Nom,CFEM_MA,CFEM_Mun,Coef_IPM,Gasolina_Brasil,Ajustes_MA_Munic,DvLq_Gov_MA,ICMS_Muns,TOTAL_ArrecMun;LSTM;2.41;1e-04;100;0.0196;0.1399;99;0.0187;0.1367;2022-02-16;15000.74;15555.34
24;MA;CFEM;KBest;GradientBoostingRegressor;x_3,DolarComercial,ICMS_TOTAL,ST_EXTERNO,ICMS_SIMP_NACIO,IPVA,Exportacao,Importacao,SalarioMinimo,ResvInternac,Tx_SELIC_Perd,SINAP_Alto,SINAP_Baixo,SINAP_Minimo,SINAP_Normal,TxIPCA,IPP,PIB_MenBR,EXPT_SLZ_TOTAL,EXPT_SLZ_ProdIndQuim,MetaisCcomuns,Prod_Minerais,PIB_Mun,RndPrCap_Mun,VA_BrtAdm,VA_BrtIndust,VA_BrtServExclAdm,VA_ImpostosProd_,VA_BrtTotal,PercResSP_Nom,CFEM_MA,CFEM_Mun,Coef_IPM,Gasolina_Brasil,Ajustes_MA_Munic,DvLq_Gov_MA,ICMS_Muns,TOTAL_ArrecMun;LSTM_COMPLEX;2.43;1e-04;50;0.0201;0.1416;43;0.0189;0.1373;2022-01-16;15385.45;14208.74
25;MA;CFEM;KBest;GradientBoostingRegressor;x_3,DolarComercial,ICMS_TOTAL,ST_EXTERNO,ICMS_SIMP_NACIO,IPVA,Exportacao,Importacao,SalarioMinimo,ResvInternac,Tx_SELIC_Perd,SINAP_Alto,SINAP_Baixo,SINAP_Minimo,SINAP_Normal,TxIPCA,IPP,PIB_MenBR,EXPT_SLZ_TOTAL,EXPT_SLZ_ProdIndQuim,MetaisCcomuns,Prod_Minerais,PIB_Mun,RndPrCap_Mun,VA_BrtAdm,VA_BrtIndust,VA_BrtServExclAdm,VA_ImpostosProd_,VA_BrtTotal,PercResSP_Nom,CFEM_MA,CFEM_Mun,Coef_IPM,Gasolina_Brasil,Ajustes_MA_Munic,DvLq_Gov_MA,ICMS_Muns,TOTAL_ArrecMun;LSTM_COMPLEX;2.43;1e-04;50;0.0201;0.1416;43;0.0189;0.1373;2022-02-16;15099.46;15555.34
36;MA;CFEM;KBest;GradientBoostingRegressor;x_3,DolarComercial,ICMS_TOTAL,ST_EXTERNO,ICMS_SIMP_NACIO,IPVA,Exportacao,Importacao,SalarioMinimo,ResvInternac,Tx_SELIC_Perd,SINAP_Alto,SINAP_Baixo,SINAP_Minimo,SINAP_Normal,TxIPCA,IPP,PIB_MenBR,EXPT_SLZ_TOTAL,EXPT_SLZ_ProdIndQuim,MetaisCcomuns,Prod_Minerais,PIB_Mun,RndPrCap_Mun,VA_BrtAdm,VA_BrtIndust,VA_BrtServExclAdm,VA_ImpostosProd_,VA_BrtTotal,PercResSP_Nom,CFEM_MA,CFEM_Mun,Coef_IPM,Gasolina_Brasil,Ajustes_MA_Munic,DvLq_Gov_MA,ICMS_Muns,TOTAL_ArrecMun;GRU;2.42;1e-04;80;0.035;0.1872;26;0.0226;0.1502;2022-01-16;6581.67;14208.74
37;MA;CFEM;KBest;GradientBoostingRegressor;x_3,DolarComercial,ICMS_TOTAL,ST_EXTERNO,ICMS_SIMP_NACIO,IPVA,Exportacao,Importacao,SalarioMinimo,ResvInternac,Tx_SELIC_Perd,SINAP_Alto,SINAP_Baixo,SINAP_Minimo,SINAP_Normal,TxIPCA,IPP,PIB_MenBR,EXPT_SLZ_TOTAL,EXPT_SLZ_ProdIndQuim,MetaisCcomuns,Prod_Minerais,PIB_Mun,RndPrCap_Mun,VA_BrtAdm,VA_BrtIndust,VA_BrtServExclAdm,VA_ImpostosProd_,VA_BrtTotal,PercResSP_Nom,CFEM_MA,CFEM_Mun,Coef_IPM,Gasolina_Brasil,Ajustes_MA_Munic,DvLq_Gov_MA,ICMS_Muns,TOTAL_ArrecMun;GRU;2.42;1e-04;80;0.035;0.1872;26;0.0226;0.1502;2022-02-16;9055.78;15555.34
48;MA;CFEM;KBest;GradientBoostingRegressor;x_3,DolarComercial,ICMS_TOTAL,ST_EXTERNO,ICMS_SIMP_NACIO,IPVA,Exportacao,Importacao,SalarioMinimo,ResvInternac,Tx_SELIC_Perd,SINAP_Alto,SINAP_Baixo,SINAP_Minimo,SINAP_Normal,TxIPCA,IPP,PIB_MenBR,EXPT_SLZ_TOTAL,EXPT_SLZ_ProdIndQuim,MetaisCcomuns,Prod_Minerais,PIB_Mun,RndPrCap_Mun,VA_BrtAdm,VA_BrtIndust,VA_BrtServExclAdm,VA_ImpostosProd_,VA_BrtTotal,PercResSP_Nom,CFEM_MA,CFEM_Mun,Coef_IPM,Gasolina_Brasil,Ajustes_MA_Munic,DvLq_Gov_MA,ICMS_Muns,TOTAL_ArrecMun;RNN;3.39;1e-04;100;0.0337;0.1836;70;0.0302;0.1738;2022-01-16;16837.65;14208.74
49;MA;CFEM;KBest;GradientBoostingRegressor;x_3,DolarComercial,ICMS_TOTAL,ST_EXTERNO,ICMS_SIMP_NACIO,IPVA,Exportacao,Importacao,SalarioMinimo,ResvInternac,Tx_SELIC_Perd,SINAP_Alto,SINAP_Baixo,SINAP_Minimo,SINAP_Normal,TxIPCA,IPP,PIB_MenBR,EXPT_SLZ_TOTAL,EXPT_SLZ_ProdIndQuim,MetaisCcomuns,Prod_Minerais,PIB_Mun,RndPrCap_Mun,VA_BrtAdm,VA_BrtIndust,VA_BrtServExclAdm,VA_ImpostosProd_,VA_BrtTotal,PercResSP_Nom,CFEM_MA,CFEM_Mun,Coef_IPM,Gasolina_Brasil,Ajustes_MA_Munic,DvLq_Gov_MA,ICMS_Muns,TOTAL_ArrecMun;RNN;3.39;1e-04;100;0.0337;0.1836;70;0.0302;0.1738;2022-02-16;16960.64;15555.34
