Data,Soma de IPVA,Soma de TotRecTributaria,Soma de ICMS_STS_TRANSPORTE,Soma de ICMS_STS_COMUNICACAO,Soma de ICMS_STC_VAREJISTA,Soma de ICMS_STC_ATACADISTA,Soma de ICMS_ST_OUTROS,Soma de ICMS_Setor_SECUNDARIO,Soma de ICMS_Setor_PRIMARIO,Soma de ICMS_OUTRAS,Soma de ICMS_PetroCombusLubr,Soma de ICMS_ENERGIA,Soma de ICMS_DivAtiva,UF
2000-02-15 00:00:00,"1509081,00","52704712,00","685794,00","4668537,00","7257192,00","9115334,00","259187,00","10126916,00","517261,00","35790,00","14179988,00","2661084,00","0,00","Brasil, MA"
2000-03-15 00:00:00,"2377282,00","53543181,00","2223498,00","3753067,00","6854457,00","9661277,00","352707,00","10159632,00","671074,00","76168,00","12064070,00","3409814,00","0,00","Brasil, MA"
2000-04-15 00:00:00,"2765977,00","40708977,00","590158,00","3610115,00","6866631,00","6160471,00","259078,00","5811920,00","567354,00","57348,00","8963290,00","3228328,00","0,00","Brasil, MA"
2000-05-15 00:00:00,"3783381,00","49072966,00","491277,00","5777618,00","8882714,00","5635398,00","263463,00","5988554,00","763385,00","43465,00","7991792,00","7094543,00","0,00","Brasil, MA"
2000-06-15 00:00:00,"3908195,00","62893177,00","1396729,00","5144718,00","9617362,00","7520718,00","306509,00","6319076,00","764793,00","46735,00","18540712,00","7200517,00","0,00","Brasil, MA"
2000-07-15 00:00:00,"4214981,00","62456453,00","502482,00","5240313,00","8415505,00","9060613,00","355799,00","7681270,00","625106,00","593596,00","14592816,00","8932158,00","0,00","Brasil, MA"
2000-08-15 00:00:00,"3952888,00","68223533,00","720501,00","5306320,00","9396334,00","7253073,00","348579,00","8963534,00","721016,00","657452,00","21239148,00","7293578,00","0,00","Brasil, MA"
2000-09-15 00:00:00,"1918153,00","60770185,00","638494,00","5833857,00","7882149,00","7411509,00","369534,00","9433079,00","623940,00","748351,00","16397979,00","7781903,00","0,00","Brasil, MA"
2000-10-15 00:00:00,"1480647,00","58985646,00","611974,00","6170667,00","9354504,00","6176663,00","1504088,00","8204087,00","679183,00","465919,00","14297598,00","8263038,00","0,00","Brasil, MA"
2000-11-15 00:00:00,"1196241,00","63357496,00","783508,00","6380408,00","9066393,00","6950304,00","1189741,00","10157214,00","740212,00","462579,00","16228218,00","8491761,00","0,00","Brasil, MA"
2000-12-15 00:00:00,"994627,00","58651145,00","748208,00","4734094,00","8603484,00","7006477,00","2363755,00","9142824,00","563732,00","508474,00","14763725,00","7614149,00","0,00","Brasil, MA"
2001-01-15 00:00:00,"1065577,00","76500576,00","922023,00","9355099,00","10899854,00","7385532,00","2104245,00","9224572,00","565870,00","0,00","25179621,00","8341100,00","0,00","Brasil, MA"
2001-02-15 00:00:00,"1562502,00","60206219,00","1050454,00","5377388,00","7674726,00","5921582,00","1620800,00","9499236,00","7339352,00","0,00","10025331,00","8887249,00","0,00","Brasil, MA"
2001-03-15 00:00:00,"2969783,00","62279195,00","914176,00","7009070,00","8443968,00","6117847,00","1908816,00","7847070,00","2486180,00","0,00","14372236,00","8503171,00","0,00","Brasil, MA"
2001-04-15 00:00:00,"3254474,00","68015718,00","742121,00","8299036,00","8155026,00","6475317,00","1496690,00","9187790,00","6825995,00","0,00","12213763,00","9534317,00","0,00","Brasil, MA"
2001-05-15 00:00:00,"4160619,00","67496977,00","6494770,00","9274088,00","8457959,00","6120773,00","2113834,00","8208429,00","1050748,00","0,00","10848507,00","8784551,00","0,00","Brasil, MA"
2001-06-15 00:00:00,"3949728,00","78902874,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","73267679,00","0,00","0,00","0,00","Brasil, MA"
2001-07-15 00:00:00,"4904726,00","69906680,00","4213218,00","10288214,00","9273171,00","6228030,00","3398338,00","12423606,00","576056,00","0,00","7725670,00","8997158,00","0,00","Brasil, MA"
2001-08-15 00:00:00,"4478397,00","83419816,00","893501,00","11547882,00","9055456,00","6609586,00","5785362,00","11514134,00","2926667,00","0,00","20949881,00","7568047,00","0,00","Brasil, MA"
2001-09-15 00:00:00,"2277467,00","67193995,00","3162413,00","10704484,00","9327525,00","6516334,00","3417434,00","7868031,00","647781,00","0,00","13292188,00","8420379,00","0,00","Brasil, MA"
2001-10-15 00:00:00,"1901657,00","83838232,00","881612,00","9823145,00","9806718,00","7374065,00","1926960,00","12579548,00","611596,00","0,00","29307127,00","7794479,00","0,00","Brasil, MA"
2001-11-15 00:00:00,"1146210,00","67806575,00","767678,00","8631177,00","9121224,00","8265947,00","2390112,00","9439929,00","775157,00","0,00","18167661,00","7609562,00","0,00","Brasil, MA"
2001-12-15 00:00:00,"1116640,00","73204675,00","1576626,00","9209008,00","9162398,00","7429586,00","3256871,00","14645307,00","829803,00","0,00","16653684,00","7531931,00","0,00","Brasil, MA"
2002-01-15 00:00:00,"1079888,00","82461837,00","3014417,00","10855029,00","12290296,00","9766178,00","509749,00","9053389,00","758463,00","52338,00","22961678,00","10152971,00","0,00","Brasil, MA"
2002-02-15 00:00:00,"1613691,00","73098013,00","2009751,00","10452584,00","9166261,00","8741336,00","514087,00","11276899,00","705159,00","22857,00","18430074,00","8486128,00","0,00","Brasil, MA"
2002-03-15 00:00:00,"2920129,00","67237574,00","1060712,00","9664557,00","8858731,00","8748829,00","474795,00","7683079,00","577800,00","63442,00","16205233,00","8903269,00","0,00","Brasil, MA"
2002-04-15 00:00:00,"3685111,00","77226063,00","973168,00","9586652,00","12493462,00","8934532,00","589429,00","8419063,00","595600,00","18893,00","20385127,00","9223061,00","0,00","Brasil, MA"
2002-05-15 00:00:00,"4624829,00","76221952,00","733395,00","9124969,00","9736651,00","9342271,00","431331,00","9242409,00","889756,00","32534,00","19469799,00","10126466,00","0,00","Brasil, MA"
2002-06-15 00:00:00,"4614606,00","74659126,00","1038050,00","9530077,00","10120208,00","9016257,00","303722,00","8954799,00","687844,00","17710,00","17233684,00","10842381,00","0,00","Brasil, MA"
2002-07-15 00:00:00,"5727885,00","74177927,00","3424399,00","9554784,00","11528398,00","8815029,00","370952,00","7391976,00","958092,00","23766,00","17028124,00","6641418,00","0,00","Brasil, MA"
2002-08-15 00:00:00,"4812453,00","97580721,00","1234171,00","10163618,00","12811353,00","9761953,00","549590,00","12677282,00","782754,00","22195,00","19584573,00","22607875,00","3713,00","Brasil, MA"
2002-09-15 00:00:00,"2609087,00","80050941,00","1566498,00","10674413,00","11009619,00","9874191,00","771517,00","16486243,00","778410,00","30720,00","15694157,00","8254091,00","119285,00","Brasil, MA"
2002-10-15 00:00:00,"1776498,00","113553353,00","21564955,00","10340221,00","11502362,00","23127802,00","1300055,00","11446526,00","801063,00","25659,00","22493974,00","6948209,00","49495,00","Brasil, MA"
2002-11-15 00:00:00,"1207831,00","90089327,00","1194609,00","11119843,00","11471265,00","10302396,00","1287367,00","13179716,00","1047799,00","21826,00","29060959,00","6648302,00","474371,00","Brasil, MA"
2002-12-15 00:00:00,"1171489,00","78777950,00","888713,00","10160059,00","11229269,00","9703046,00","1557291,00","12580806,00","1114138,00","33755,00","22673195,00","5523318,00","152210,00","Brasil, MA"
2003-01-15 00:00:00,"1501208,00","82583324,00","1157846,00","9898257,00","12265438,00","11466495,00","1350062,00","13278371,00","1013878,00","1499375,00","18490233,00","5631469,00","423107,00","Brasil, MA"
2003-02-15 00:00:00,"2455327,00","99183843,00","1254474,00","9728874,00","8446044,00","10675811,00","976578,00","11868826,00","944922,00","1338861,00","43737190,00","5504261,00","102383,00","Brasil, MA"
2003-03-15 00:00:00,"4807393,00","83788217,00","942250,00","10718480,00","9108691,00","9790950,00","1053026,00","14393189,00","689536,00","1343354,00","23337768,00","4988913,00","104157,00","Brasil, MA"
2003-04-15 00:00:00,"5502301,00","93316829,00","1029008,00","11165987,00","8097945,00","10267305,00","775527,00","11016991,00","466826,00","1172445,00","36242934,00","4905077,00","61933,00","Brasil, MA"
2003-05-15 00:00:00,"6212877,00","86808261,00","830825,00","11024450,00","9624081,00","10112984,00","1230620,00","11119885,00","764103,00","2850209,00","24958986,00","4977232,00","168824,00","Brasil, MA"
2003-06-15 00:00:00,"6418739,00","82588330,00","804399,00","4340624,00","10787659,00","11158035,00","898580,00","10481925,00","1077803,00","2593039,00","24830169,00","5521450,00","683257,00","Brasil, MA"
2003-07-15 00:00:00,"6649041,00","103948527,00","1054407,00","8878778,00","10054240,00","10824353,00","1399517,00","11595231,00","1098414,00","1454421,00","40852253,00","5984107,00","554960,00","Brasil, MA"
2003-08-15 00:00:00,"3564790,00","100934679,00","1267754,00","8208534,00","10285535,00","14032248,00","952841,00","10896644,00","990417,00","1368332,00","39094204,00","6577690,00","940569,00","Brasil, MA"
2003-09-15 00:00:00,"2625412,00","91323120,00","1224972,00","9654758,00","9652482,00","10658764,00","768508,00","11745090,00","1482520,00","2009153,00","31247875,00","7314665,00","191529,00","Brasil, MA"
2003-10-15 00:00:00,"1829618,00","93845246,00","840706,00","5516712,00","11555343,00","12217476,00","1066829,00","12514359,00","1061616,00","3916729,00","31665094,00","7296349,00","1293362,00","Brasil, MA"
2003-11-15 00:00:00,"1133496,00","74369443,00","842709,00","9218331,00","10295987,00","14038674,00","823823,00","13266335,00","770351,00","1881266,00","11138302,00","8713798,00","128945,00","Brasil, MA"
2003-12-15 00:00:00,"1329336,00","81307593,00","959790,00","12043387,00","11005347,00","12110498,00","952509,00","15388697,00","1213096,00","2026438,00","10657345,00","8163135,00","2626843,00","Brasil, MA"
2004-01-15 00:00:00,"1511650,00","94575213,00","1642677,00","14074129,00","14766701,00","13689149,00","647594,00","10350332,00","640505,00","2650793,00","29277546,00","3294394,00","130764,00","Brasil, MA"
2004-02-15 00:00:00,"2902422,00","100277211,00","1269342,00","13637723,00","9889457,00","12964663,00","743793,00","10170547,00","1270555,00","1654432,00","42479916,00","1479623,00","74000,00","Brasil, MA"
2004-03-15 00:00:00,"6628335,00","97725230,00","1244910,00","11817950,00","9874855,00","11898984,00","623720,00","10527429,00","1036450,00","1858409,00","21495363,00","17767487,00","98034,00","Brasil, MA"
2004-04-15 00:00:00,"6891796,00","95812380,00","1454139,00","13315285,00","10397981,00","16729918,00","732934,00","10575997,00","902041,00","1551046,00","23180440,00","7191068,00","70515,00","Brasil, MA"
2004-05-15 00:00:00,"7963433,00","105039705,00","1125464,00","13647715,00","10782607,00","15266908,00","713044,00","11556061,00","957086,00","1724479,00","30619177,00","7618549,00","141950,00","Brasil, MA"
2004-06-15 00:00:00,"8091791,00","107494913,00","1100698,00","13432949,00","11487521,00","14578865,00","1057035,00","12758761,00","1004050,00","1973076,00","31139292,00","7961922,00","47459,00","Brasil, MA"
