errado,certo
ACUCAR PARICONHA,pariconha
PAO DE,pao de Acucar
IGREJA NOV A,igreja nova
IGREJANOVA,igreja nova
MAJOR IZIDORO,major isidoro
MAJORIZIDORO,major isidoro
IZIDORO,major isidoro
MARA VILHA,maravilha
OLHO D AGUA DAS FLORES,olho d'agua das flores
OLHO DAGUA DASFLORES,olho d'agua das flores
OLHO D AGUA DO CASADO,olho d'agua do casado
OLHO DAGUA DOCASADO,olho d'agua do casado
OLHO DAGUA GRANDE,olho d'agua grande
OLHO D AGUA GRANDE,olho d'agua grande
OLHODAGUAGRANDE,olho d'agua grande
SAO BRAZ,sao bras
SAO JOSE DA LAGE,sao jose da laje
SAO JOSEDA LAGE,sao jose da laje
SAO J OSE DA LAGE,sao jose da laje
SAO LUIZ DO QUITUNDE,sao luis do quitunde
SAO LUIZDOQUITUNDE,sao luis do quitunde
SAO MIGUELDOSCAMPOS,sao miguel dos campos
Diário OficialEstado de Alagoasconforme LEI N° /SAO MIGUEL DOS CAMPOS,sao miguel dos campos
SAO MIGUELDOSMILAGRES,sao miguel dos milagres
SAO MIGUELDOS MILAGRES,sao miguel dos milagres
Diário OficialEstado de Alagoasconforme LEI N° / SAO MIGUEL DOS MILAGRES,sao miguel dos milagres
Diário OficialEstado de Alagoasconforme LEI N° /SAO MIGUEL DOS MILAGRES,sao miguel dos milagres
SAOSEBASTIAO,sao sebastiao
TANQUE DARCA,tanque d'arca
TANQUEDARCA,tanque d'arca
AGUABRANCA,agua branca
BARRA DESANTOANTONIO,barra de santo antonio
BARRA DESANTO ANTONIO,barra de santo antonio
BARRA DESAO MIGUEL,barra de sao miguel
BELOMONTE,belo monte
BOCA DAMATA,boca da mata
CAMPOALEGRE,campo alegre
CAMPOGRANDE,campo grande
COITE DONOIA,coite do noia
COLONIALEOPOLDINA,colonia leopoldina
COQUEIROSECO,coqueiro seco
DELMIROGOUVEIA,delmiro gouveia
DOISRIACHOS,dois riachos
ESTRELA DEALAGOAS,estrela de alagoas
FEIRAGRANDE,feira grande
FELIZDESERTO,feliz deserto
GIRAU DOPONCIANO,girau do ponciano
JACARE DOSHOMENS,jacare dos homens
JEQUIA DAPRAIA,jequia da praia
JOAQUIMGOMES,joaquim gomes
LAGOA DACANOA,lagoa da canoa
LIMOEIRODE ANADIA,limoeiro de anadia
MARVERMELHO,mar vermelho
MARECHALDEODORO,marechal deodoro
MATAGRANDE,mata grande
MATRIZ DECAMARAGIBE,matriz de camaragibe
MINADORDO NEGRAO,minador do negrao
MARAG OGI,maragogi
MONTEIROPOLI S,monteiropolis
MONTEIROPO LIS,monteiropolis
OUROBRANCO,ouro branco
PALMEIRADOS INDIOS,palmeira dos indios
PAO DEACUCAR,pao de acucar
PASSO DECAMARAGIBE,passo de camaragibe
PASSO DECAMARAGIB,passo de camaragibe
EPAULOJACINTO,paulo jacinto
PAULOJACINTO,paulo jacinto
POCO DASTRINCHEIRAS,poco das trincheiras
PORTOCALVO,porto calvo
PORTO DEPEDRAS,porto de pedras
PORTO REALDO COLEGIO,porto real do colegio
QUEBRANGUL O,quebrangulo
SANTALUZIA DONORTE,santa luzia do norte
SANTANADOIPANEMA,santana do ipanema
SENADORRUIPALMEIRA,senador rui palmeira
SANTANADO MUNDAU,santana do mundau
SANTANA DO MUNDA U,santana do mundau
SAO JOSEDA TAPERA,sao jose da tapera
TEOTONIOVILELA,teotonio vilela
UNIAO DOSPALMARES,uniao dos palmares
