Ano,Data,Estado,Subitem ICMS,Arrecadacao
2022,15/01/2022,Acre,Comércio Atacadista,28250651
2022,15/02/2022,Acre,Comércio Atacadista,16488621
2022,15/03/2022,Acre,Comércio Atacadista,35161208
2022,15/04/2022,Acre,Comércio Atacadista,29481403
2022,15/05/2022,Acre,Comércio Atacadista,30948775
2022,15/06/2022,Acre,Comércio Atacadista,31021765
2022,15/07/2022,Acre,Comércio Atacadista,37859203
2022,15/08/2022,Acre,Comércio Atacadista,38151978
2022,15/09/2022,Acre,Comércio Atacadista,38151978
2022,15/10/2022,Acre,Comércio Atacadista,31897824
2022,15/01/2022,Acre,Comércio Varejista,32592748
2022,15/02/2022,Acre,Comércio Varejista,16557313
2022,15/03/2022,Acre,Comércio Varejista,34073293
2022,15/04/2022,Acre,Comércio Varejista,31239019
2022,15/05/2022,Acre,Comércio Varejista,30802468
2022,15/06/2022,Acre,Comércio Varejista,32560555
2022,15/07/2022,Acre,Comércio Varejista,31725025
2022,15/08/2022,Acre,Comércio Varejista,33876284
2022,15/09/2022,Acre,Comércio Varejista,33876284
2022,15/10/2022,Acre,Comércio Varejista,33390310
2022,15/01/2022,Acre,Energia Elétrica Secundária,0
2022,15/02/2022,Acre,Energia Elétrica Secundária,0
2022,15/03/2022,Acre,Energia Elétrica Secundária,0
2022,15/04/2022,Acre,Energia Elétrica Secundária,0
2022,15/05/2022,Acre,Energia Elétrica Secundária,0
2022,15/06/2022,Acre,Energia Elétrica Secundária,0
2022,15/07/2022,Acre,Energia Elétrica Secundária,0
2022,15/08/2022,Acre,Energia Elétrica Secundária,0
2022,15/09/2022,Acre,Energia Elétrica Secundária,0
2022,15/10/2022,Acre,Energia Elétrica Secundária,0
2022,15/01/2022,Acre,Energia Elétrica Terciário,17409077
2022,15/02/2022,Acre,Energia Elétrica Terciário,9760045
2022,15/03/2022,Acre,Energia Elétrica Terciário,25417001
2022,15/04/2022,Acre,Energia Elétrica Terciário,17891156
2022,15/05/2022,Acre,Energia Elétrica Terciário,18573840
2022,15/06/2022,Acre,Energia Elétrica Terciário,17941108
2022,15/07/2022,Acre,Energia Elétrica Terciário,15378463
2022,15/08/2022,Acre,Energia Elétrica Terciário,12778242
2022,15/09/2022,Acre,Energia Elétrica Terciário,12778242
2022,15/10/2022,Acre,Energia Elétrica Terciário,10863771
2022,15/01/2022,Acre,Outros ICMS,8565051
2022,15/02/2022,Acre,Outros ICMS,8269196
2022,15/03/2022,Acre,Outros ICMS,10686612
2022,15/04/2022,Acre,Outros ICMS,9302370
2022,15/05/2022,Acre,Outros ICMS,9995266
2022,15/06/2022,Acre,Outros ICMS,11784844
2022,15/07/2022,Acre,Outros ICMS,9648992
2022,15/08/2022,Acre,Outros ICMS,11992127
2022,15/09/2022,Acre,Outros ICMS,11992127
2022,15/10/2022,Acre,Outros ICMS,9738176
2022,15/01/2022,Acre,Petróleo-Combustível-Lubrificantes Secundário,24923330
2022,15/02/2022,Acre,Petróleo-Combustível-Lubrificantes Secundário,23642685
2022,15/03/2022,Acre,Petróleo-Combustível-Lubrificantes Secundário,35156708
2022,15/04/2022,Acre,Petróleo-Combustível-Lubrificantes Secundário,28093295
2022,15/05/2022,Acre,Petróleo-Combustível-Lubrificantes Secundário,30084197
2022,15/06/2022,Acre,Petróleo-Combustível-Lubrificantes Secundário,27147365
2022,15/07/2022,Acre,Petróleo-Combustível-Lubrificantes Secundário,27417701
